,O15232,O60635,P07585,P08727,P08833,P14136,P16234,P52823,P55259,Q9P0M4,Q9Y653,Class Label
47,-0.0466,-0.4684,-2.0479,1.6422,-0.8914,-1.3531,-1.5771,-0.6145,-0.3812,-1.2834,-2.9592,0
48,-1.9945,-0.4078,-1.5568,-0.2459,1.7303,0.1014,-1.847,-0.3974,-1.3327,0.6121,-1.479,0
49,-0.289,-0.3992,-1.7423,1.6058,-0.0748,-0.476,-1.3697,-0.674,0.2046,-1.16,-1.4837,0
50,-0.324,-0.3396,-1.286,-1.0757,-0.3932,-0.2996,-1.2928,0.3826,-0.9311,-1.0105,-0.1552,0
51,0.0824,-0.5603,-2.1074,-0.1823,-1.1469,0.3076,-1.3315,-0.7021,0.9874,-2.2708,-2.0301,0
52,-1.9059,-0.8687,-2.5379,-1.1945,-0.5721,-1.2921,-1.7777,-1.816,-1.1827,-1.6901,-2.5655,0
53,-0.7468,-0.4333,-2.6332,-0.0651,-2.8834,-1.2179,-1.4112,-0.4169,-1.9592,-0.6921,-1.9468,0
54,0.627,-0.6557,-1.2633,2.0131,0.237,-1.362,-1.3242,-0.0883,-1.6505,-1.114,-0.226,0
55,-0.4672,-0.564,-2.4329,1.8139,-0.3768,-2.7838,-1.5166,0.3499,-1.927,-2.0408,-2.0838,0
56,-0.2941,-0.1772,-0.6498,-0.7752,0.0675,-0.4179,-0.9113,-0.7558,-1.5545,-1.7687,-0.858,0
57,-0.7026,0.4,-0.2032,0.7035,1.675,0.0387,0.737,0.0552,0.7749,-0.9122,2.2999,0
58,-1.9399,-0.2928,-2.0416,1.986,-3.3921,-1.8472,-1.7452,0.2167,-1.6006,-1.6394,-2.4561,0
59,-0.0273,1.8752,-1.4352,2.156,1.0439,0.1802,-0.3345,-0.9835,1.675,-1.3007,0.8109,0
60,-0.7601,-0.2113,-1.4506,5.5691,2.7252,-0.1005,-1.1556,2.7774,1.1285,2.9217,-1.7414,0
61,3.3361,-0.4791,0.3713,0.3347,3.2163,-0.3137,0.7303,3.9282,2.351,0.7957,1.3266,0
62,-1.8213,-0.6029,-2.5472,-1.6798,-4.3444,-1.7203,-1.6033,-1.1544,-2.6218,-2.1539,-2.8154,0
63,-0.6973,-0.4076,-1.6951,-2.0351,0.8977,-1.3854,-1.3276,-0.4205,-2.2016,-1.2131,-2.605,0
64,-0.4496,-0.5948,-0.6268,-0.2586,1.8729,0.0781,-0.2325,-0.7384,-0.4059,0.3532,-1.104,0
65,-0.7893,-0.4875,-2.0779,0.2836,-3.388,-1.0524,-1.6777,-0.1573,-0.7528,-1.3861,-1.5809,0
66,0.8226,0.0234,-1.4941,1.79,0.1494,-0.5254,-1.2828,0.0823,0.3622,0.4902,0.3121,0
67,-1.3243,-0.6028,-0.6235,-0.5533,-2.1855,-0.4961,-1.1432,-0.5943,-1.0927,-0.2266,0.7486,0
68,-0.9865,-0.786,-1.1919,2.473,-2.6334,-0.6388,-1.2113,-0.9776,-1.1528,-1.2975,-1.6696,0
69,-1.1273,-0.6401,-3.0606,0.8719,-2.8681,-1.0101,-2.0111,-1.1599,-1.157,-1.8218,-2.6205,0
70,-2.155,-0.8684,-1.4969,1.4298,-0.3824,-0.3561,-1.6434,0.0122,-1.937,-1.3702,-1.7694,0
71,-1.0623,-0.4407,-2.3959,1.4226,-1.1542,-1.2902,-1.7827,-0.5076,-0.7198,-1.3028,-1.9175,0
72,-0.2548,-0.1209,-1.1835,0.4519,1.8237,-0.0832,-0.1326,-0.3147,-1.1202,4.0249,-1.97,0
73,-1.2248,-0.6282,-1.7623,-0.4994,2.1454,-0.4616,-1.202,-1.0787,-0.3242,-0.2959,-2.4189,0
74,-1.4072,-0.1697,-2.342,1.094,-1.1161,-0.4113,-1.6907,-0.6347,-1.8526,-2.5424,0.3341,0
75,-0.738,-0.4743,-1.8198,0.1591,-3.8335,-1.4011,-1.5015,-0.3686,-1.1488,-1.1136,-1.1394,0
76,-1.1627,-0.5708,-1.9491,0.9485,-0.4508,-0.4923,-1.1431,-1.8331,-0.4259,-1.3096,-2.3592,0
77,-1.2417,-0.8541,-2.7689,0.1409,-2.6048,-0.8054,-2.0204,-0.7274,-1.6921,-0.7157,-2.6135,0
78,-0.2612,-0.3723,-1.8284,-1.4749,-3.6024,0.3222,-1.4461,-1.1365,-0.9087,-0.1074,-2.4789,0
79,-2.3884,0.7526,-2.9238,-2.5462,-5.3324,-0.7544,-1.9794,-1.4744,-1.4625,-2.6879,-2.9338,0
80,-1.1244,-0.4459,-2.551,-0.2797,-5.5291,-1.936,-2.2023,-1.6333,-2.1725,-1.7386,-2.9716,0
81,-1.4204,-0.5083,-2.4863,-2.064,-1.4823,-1.0567,-1.5903,-0.6591,-1.7372,-1.6502,-2.3585,0
82,-0.8742,-0.4247,-1.4757,0.2633,-1.9163,-1.0576,-1.1058,-1.6729,-1.4973,-0.4439,-2.1645,0
83,-1.3674,-0.3622,-1.9408,0.0009,-2.879,-1.8891,-1.5097,-1.0947,-1.1809,-2.0396,-1.0725,0
84,-0.4583,-0.6937,-1.9922,0.992,0.4074,-0.027,-0.8782,0.1668,-1.193,0.1633,-1.5833,0
85,-0.4617,-0.6603,-2.1515,0.4517,-1.8421,-0.8246,-1.8027,-0.6976,-1.1612,-1.7744,-1.8386,0
86,-0.448,-0.3779,-2.52,0.7693,-2.1369,-1.7785,-1.7687,-0.3422,-2.6236,-1.9024,-2.3192,0
87,-0.2772,-0.5437,-1.0087,1.089,-1.5194,-0.2792,-1.1603,1.0257,-1.5479,0.7143,1.5214,0
88,-0.4958,-0.5898,-0.1649,0.6779,1.2334,0.574,0.3529,0.1461,0.8129,-0.6177,0.1883,0
89,0.1573,-0.3776,-1.7197,2.0998,-2.3467,-0.1049,-1.2672,0.3137,-0.9652,-1.0246,-0.6337,0
90,0.1754,-0.657,-1.4224,-0.1384,-1.72,-0.9097,-1.5261,0.3645,0.2274,-1.9363,-2.5561,0
91,-1.4813,-0.2442,-1.8327,-1.0365,-4.5166,-1.2689,-1.3937,-1.036,-1.4651,-0.0127,-1.9369,0
92,-0.9889,-0.5154,-1.8003,1.9552,-1.1406,-0.2169,-1.0862,0.4893,-1.6979,-1.4633,-3.2921,0
93,-1.2926,-0.7773,-2.1074,1.5988,-2.6211,-2.0712,-1.5102,0.1502,-1.0726,-0.9805,-0.5657,0
94,-1.0735,-0.3706,-1.5818,-0.5892,-0.3576,0.6278,-1.5825,-0.5179,-0.3596,0.4292,-0.7076,0
95,-2.0787,-0.287,-0.9892,-1.8291,-5.2188,-1.1401,-1.6142,-0.5851,-0.9488,-0.4389,-1.2862,0
96,0.46,0.1917,-1.6149,2.1125,-1.5295,-0.6186,-1.8883,-0.6124,-1.1895,-0.5904,-1.8982,0
97,-1.8443,-0.3884,-1.7112,-1.592,1.1031,0.2371,-1.6817,0.7495,0.0557,0.6014,-1.6619,0
98,-1.0624,-0.576,-1.8736,0.9495,-1.3299,-1.3902,-1.3927,-0.4422,-2.3166,-1.4588,-2.0069,0
99,-1.4788,-0.346,-1.3739,-0.3744,1.4413,-0.5134,-1.3024,-1.4589,-1.3916,-0.512,-1.7349,0
100,-1.7339,-0.6044,-2.6817,-1.3552,-1.9633,-1.142,-2.1198,-0.3609,-2.2701,-2.1554,-2.2859,0
101,-0.5471,0.0089,-2.2348,-0.4278,-1.0756,-0.9724,-1.6415,0.5546,-1.3697,-2.3054,0.3621,0
102,-0.6279,-0.5795,0.4861,0.2889,-0.2303,0.0474,-0.6552,0.1653,1.7113,0.8313,-1.3527,0
103,-1.0543,-0.19,-1.8613,-1.2057,-2.814,-1.193,-2.2218,-0.7821,-0.3853,-2.2072,-1.9461,0
104,-2.3397,-0.6829,-2.1993,-1.5749,-1.4177,-1.2052,-1.5694,-0.9329,-2.4762,0.7769,-0.8245,0
105,0.849,1.2687,-0.0552,5.2902,2.0013,-0.8051,-0.7316,2.1297,3.1662,-0.2815,1.4189,0
106,-0.7051,-0.8096,-1.7509,-0.1523,1.9083,-0.2829,-0.7873,-1.0505,-2.2311,-0.5876,-1.4822,0
107,-0.3908,0.309,-2.1304,1.3037,-1.6704,-1.9735,-1.2227,-0.2217,-0.2163,-1.7325,0.0998,0
108,-0.5732,-0.2616,-1.6582,0.2945,-3.8141,-1.3388,-1.9096,0.6958,-2.1744,-1.0932,-1.7773,0
109,-0.2803,-0.5937,0.3221,0.8956,0.9418,0.3344,0.0375,0.6811,0.7363,-0.5652,-1.1602,0
110,-1.0938,-0.5728,-0.6004,1.2422,2.4703,-0.8892,0.0185,2.0014,0.1505,0.7413,1.5435,0
111,-0.4183,-0.2011,-0.8618,2.9514,2.4494,0.1782,-1.4823,1.4576,-1.3252,0.7208,-1.082,0
112,-1.4381,-0.6987,-2.9414,-0.6229,3.1664,-0.9811,-1.6583,-1.804,-1.8266,-1.0618,-1.9367,0
113,-0.1827,-0.261,-2.8723,-2.0688,-2.7802,-1.3178,-2.3055,-1.7127,-1.9069,-2.4447,-2.9843,0
114,-0.608,-0.4026,-1.837,0.6921,-0.7348,-0.2221,-1.4412,0.6774,1.1963,-1.7065,-1.2682,0
