,P07585,P08833,P14136,P16234,P52823,P55259,Q9P0M4,Q9Y653,Class Label
63,-1.6951,0.8977,-1.3854,-1.3276,-0.4205,-2.2016,-1.2131,-2.605,0
64,-0.6268,1.8729,0.0781,-0.2325,-0.7384,-0.4059,0.3532,-1.104,0
65,-2.0779,-3.388,-1.0524,-1.6777,-0.1573,-0.7528,-1.3861,-1.5809,0
66,-1.4941,0.1494,-0.5254,-1.2828,0.0823,0.3622,0.4902,0.3121,0
67,-0.6235,-2.1855,-0.4961,-1.1432,-0.5943,-1.0927,-0.2266,0.7486,0
68,-1.1919,-2.6334,-0.6388,-1.2113,-0.9776,-1.1528,-1.2975,-1.6696,0
69,-3.0606,-2.8681,-1.0101,-2.0111,-1.1599,-1.157,-1.8218,-2.6205,0
70,-1.4969,-0.3824,-0.3561,-1.6434,0.0122,-1.937,-1.3702,-1.7694,0
71,-2.3959,-1.1542,-1.2902,-1.7827,-0.5076,-0.7198,-1.3028,-1.9175,0
72,-1.1835,1.8237,-0.0832,-0.1326,-0.3147,-1.1202,4.0249,-1.97,0
73,-1.7623,2.1454,-0.4616,-1.202,-1.0787,-0.3242,-0.2959,-2.4189,0
74,-2.342,-1.1161,-0.4113,-1.6907,-0.6347,-1.8526,-2.5424,0.3341,0
75,-1.8198,-3.8335,-1.4011,-1.5015,-0.3686,-1.1488,-1.1136,-1.1394,0
76,-1.9491,-0.4508,-0.4923,-1.1431,-1.8331,-0.4259,-1.3096,-2.3592,0
77,-2.7689,-2.6048,-0.8054,-2.0204,-0.7274,-1.6921,-0.7157,-2.6135,0
78,-1.8284,-3.6024,0.3222,-1.4461,-1.1365,-0.9087,-0.1074,-2.4789,0
79,-2.9238,-5.3324,-0.7544,-1.9794,-1.4744,-1.4625,-2.6879,-2.9338,0
80,-2.551,-5.5291,-1.936,-2.2023,-1.6333,-2.1725,-1.7386,-2.9716,0
81,-2.4863,-1.4823,-1.0567,-1.5903,-0.6591,-1.7372,-1.6502,-2.3585,0
82,-1.4757,-1.9163,-1.0576,-1.1058,-1.6729,-1.4973,-0.4439,-2.1645,0
83,-1.9408,-2.879,-1.8891,-1.5097,-1.0947,-1.1809,-2.0396,-1.0725,0
