,P07585,P08833,P14136,P16234,P52823,P55259,Q9P0M4,Q9Y653,Class Label
275,-1.9165,-1.6841,-0.4094,-1.4195,-0.4043,-0.6307,-1.8045,-1.2257,0
276,-1.5952,-1.6818,-0.9785,-2.0824,-1.1523,-2.1068,-1.9705,0.2556,0
277,-1.7317,-3.1369,-1.7963,-1.5757,0.1105,-1.9259,-0.9486,-1.9615,0
278,-2.3186,-2.5137,-1.2423,-1.4745,-1.0771,-1.6704,-1.1831,-1.8903,0
279,-1.5423,-0.6022,-0.9795,-1.4738,-0.9144,3.0019,-0.7536,-1.5284,0
280,-1.8901,-1.3096,-0.2105,-1.2575,0.4446,-1.4289,-2.2363,-1.0064,0
281,-1.0279,-0.3796,-0.7096,-1.293,0.4536,-2.297,-1.3892,0.9456,0
282,1.0033,0.3608,0.4527,-0.2349,0.1676,0.9806,-0.9124,1.9186,0
283,-1.7306,-1.9883,-0.8989,-1.3749,-0.0779,-1.372,1.6805,-0.7999,0
284,-2.3781,-1.4758,-0.9824,-1.185,-1.1465,-2.0804,-1.8455,-1.6067,0
285,-2.1795,1.1584,0.2623,-1.351,-1.3392,-0.7965,-1.8469,-1.7769,0
286,-1.6297,-0.2403,0.1511,-0.5164,-1.0559,-1.8628,-1.2494,0.0735,0
287,-1.9653,-1.1685,-1.3855,-1.4051,-0.532,-1.6582,-0.7069,-1.4617,0
288,-2.4097,-2.6678,-1.3203,-1.5304,-1.0062,-2.4216,-1.5811,-1.9708,0
289,-2.0246,2.649,-0.7904,-1.5382,-0.538,-0.4733,-1.152,-2.5807,0
290,-1.6006,0.5349,-0.0877,-1.3011,-0.0854,-1.2557,-2.0257,-1.3954,0
291,-1.9713,-2.5961,-1.3465,-1.5784,-0.3551,-0.5979,-0.96,-1.7137,0
292,-1.5704,-0.9933,-0.9906,-1.2246,-0.9493,-1.6455,0.77,-2.2534,0
293,-2.2105,-2.3903,-0.3812,-1.653,-1.0269,-0.8771,-1.7072,-1.9853,0
294,-2.2615,-2.0067,-1.6829,-1.8713,-1.4356,-1.5593,-2.1149,-2.2718,0
295,-0.9263,0.4409,0.0326,-0.7195,-0.251,-0.91,1.4212,-0.2377,0
296,-0.4382,0.2596,-0.6654,-0.3604,0.7121,0.2987,-1.2606,-1.2168,0
297,-1.9182,-0.7251,0.5595,-1.2869,-1.4749,0.2963,-0.095,-2.0489,0
298,-2.253,-4.2119,-0.8873,-1.4283,-1.2059,-0.8368,-0.7367,-2.3928,0
299,-1.8455,-0.7938,0.035,-1.0356,-0.3943,-0.9185,-0.6777,-0.1327,0
300,-1.6698,-1.6961,-0.2783,-1.3658,-0.7358,-0.3089,-1.728,-1.3289,1
301,-1.7183,0.916,-0.8727,-1.2928,0.2492,-0.7648,-1.293,-1.5457,1
302,-1.3357,0.6942,-0.5701,-0.6603,0.6477,1.7489,1.0042,0.7337,1
303,-0.2333,2.0861,1.0051,-0.5264,0.0309,-0.7026,4.271,-1.1411,1
304,-0.3897,2.0738,-0.6312,-0.9107,-0.0671,1.4209,1.0018,1.2965,1
305,-1.8491,1.2613,-0.6438,-1.2467,-0.3764,-0.317,-0.7777,0.1129,1
306,-2.0934,2.2664,-0.7275,-1.5926,0.2633,-0.4432,-0.3823,0.1339,1
307,0.4121,0.4305,0.7766,-0.824,-0.4539,0.2356,0.8902,-1.0914,1
308,-1.328,2.8875,1.437,0.0431,1.07,5.1099,0.8112,-0.4369,1
309,0.0911,0.2866,0.0446,1.8799,0.0009,5.6295,2.0805,0.6329,1
310,0.8285,4.7982,0.3775,1.1901,2.9389,0.5655,2.8119,0.0035,1
311,-0.9168,3.4583,-0.5245,-0.2872,1.6184,-1.8982,-0.834,-0.241,1
312,-1.4345,1.6857,-0.1688,-1.0755,1.6595,0.5176,3.6428,0.4174,1
313,-0.6767,2.1824,0.0769,-0.7349,0.9809,2.4893,2.9789,0.1196,1
314,-1.3301,2.0307,-0.4493,-1.7367,0.5496,1.2624,-1.8018,-0.6587,1
315,0.2764,1.1066,-0.8922,-0.4923,0.1294,1.2068,1.7462,0.1842,1
316,0.751,2.1862,0.2367,1.9734,2.794,5.5642,-0.161,2.7754,1
317,-1.154,0.4747,-1.3886,0.2125,0.5661,3.1341,0.9467,0.2672,1
318,-1.9434,0.6221,-1.0272,-1.7744,-0.1993,0.7016,-1.2963,0.1722,1
319,-1.7186,0.6362,8.782,-1.2151,1.1592,-0.4189,-1.032,-0.0193,1
320,-0.2639,2.7828,0.7103,-0.3832,4.3898,-0.7026,2.9356,1.1661,1
321,-0.2643,-0.2657,0.546,-1.2235,-0.2343,0.0355,-1.472,-0.0923,1
322,0.2798,3.1437,1.2795,0.0035,1.2751,0.4695,0.6027,-0.6469,1
323,-2.1492,-1.7484,-0.9873,-1.4731,-0.4534,3.5062,-0.9271,0.5213,1
324,-0.8433,3.5139,0.405,-0.2074,-1.3455,2.7313,1.324,-1.0597,1
325,-0.0499,1.1069,0.232,-0.7662,-0.5249,-0.9876,0.8627,0.4132,1
326,-1.8284,-0.4777,-0.7687,-1.2971,-0.7768,-1.7154,0.7799,-1.0091,1
327,0.1748,3.1388,0.1786,-0.4985,3.0761,1.5323,3.7128,0.1431,1
328,0.0934,2.5116,-0.1316,-1.0352,3.8266,-0.6327,2.2019,-0.7045,1
329,-0.5505,1.0497,0.406,-0.805,0.2057,-0.1362,0.4751,-0.0404,1
330,0.3543,2.4033,0.2414,-0.2737,2.7772,-1.385,1.7791,1.4798,1
331,0.384,2.793,0.7328,0.3562,3.3672,2.5554,0.4361,0.6061,1
332,-2.4301,-2.773,-1.9605,-1.7962,-0.8906,-1.8216,-1.9502,0.6181,1
333,0.6448,2.0194,1.3702,0.4592,0.1199,1.6056,1.7063,-0.5389,1
334,-1.1097,-1.8295,-0.4265,-1.2515,1.8152,0.8893,-1.4101,-0.6206,1
335,-1.2406,-1.0306,-0.5282,-0.9465,0.238,-0.3508,-1.2618,0.2267,1
336,-0.3377,-1.9354,-0.6059,-1.1368,0.4851,0.7852,0.0351,0.7177,1
337,0.839,0.6115,3.8622,-0.2291,1.1093,2.1214,3.31,1.0332,1
338,-0.7789,-1.2372,0.6561,-0.5488,0.8657,-0.7243,0.3844,1.2588,1
339,0.0824,2.1331,-0.4734,-0.3291,2.3867,0.9885,1.1664,1.8874,1
340,-1.6721,0.126,-0.1533,-1.5509,-0.8692,0.1633,-0.7645,-2.4301,1
341,-0.5414,0.722,-1.5574,-0.8855,1.5468,-0.648,0.584,1.2652,1
342,-0.6373,2.1902,1.0758,-1.4417,1.2397,0.5175,-0.0589,-0.6997,1
343,0.3649,2.8681,0.8472,-0.1488,1.7518,-0.1014,1.0035,-0.7984,1
