,O14793,O60635,P07585,P08727,P14136,P18627,P24387,P52823,P55259,Q92820,Q969V3,Q96NZ8,Q99748,Q9NZV1,Q9P0M4,Q9UGM5,Q9Y653,Class Label
30,-2.2788,-0.4103,-2.2409,-0.9011,0.0029,0.4143,-2.2088,-1.7484,-0.8248,-1.3794,2.0945,-2.172,0.3225,-1.0045,-0.4277,-1.3575,-0.9516,0
31,-2.9031,-0.2177,-1.5405,2.3232,0.7021,-0.224,-1.5877,-0.0687,-0.9085,-2.2015,-0.3364,-1.5153,0.2481,-0.3497,-0.7159,-1.7117,-2.3992,0
32,-1.5839,-0.2899,-2.3771,-1.4838,-1.1469,-0.5417,-2.2582,-1.0272,-1.6479,-1.0616,-0.8465,-1.2797,-0.5223,-1.6049,0.4643,-1.9594,-2.6264,0
33,-3.0858,-0.3272,1.1527,3.2453,2.6116,0.02,-2.0138,2.3746,1.2906,-1.1931,-0.3758,-3.4142,0.2291,0.2518,3.5425,-3.5332,-0.1208,0
34,-3.267,-0.016,-0.4917,-1.0321,-0.5953,-0.3598,-2.475,0.2761,-0.9761,-1.7181,0.3831,-3.395,0.1153,-0.1781,-0.7792,-1.8723,-0.1469,0
35,-1.2208,-0.2673,-2.5431,2.4025,-1.05,-1.2861,-1.284,-0.1039,-1.4451,-1.0931,-0.39,-2.0329,-0.1738,-1.0597,-1.1333,-1.8387,-2.6336,0
36,-2.4495,-0.3387,-1.2278,2.3377,-0.1869,0.4258,-1.6478,0.7707,-0.8346,-1.3387,-0.2306,-2.6601,-0.0811,-0.5768,-1.4618,-2.6427,2.2021,0
37,-3.3146,-0.7439,-2.7471,-0.7759,-0.2844,-0.7328,-2.2782,-1.5643,-1.0459,-1.5105,-0.923,-2.3409,-1.0666,-1.5001,-2.3139,-1.9878,-2.5304,0
38,-1.6119,-0.8293,-2.1643,-1.1688,-1.0904,-1.1418,-1.6942,-1.5174,-0.7601,-0.6179,0.0194,-2.6221,0.3987,-1.3049,-1.0883,-0.6412,-2.0457,0
39,-2.8627,-0.08,-0.2834,0.1642,-0.6277,-0.0222,-1.2206,-0.3686,-1.0227,-0.998,-0.1019,-2.3749,0.1717,-0.9892,-0.5944,-2.253,1.239,0
40,-1.6043,4.5702,-1.377,3.8743,-0.007,0.3349,-2.4542,0.3586,1.8285,-1.6933,-0.4258,-2.5276,-0.5813,-0.9667,-0.7155,-2.6021,2.2478,0
41,-1.4918,-0.3007,-0.6947,2.5852,0.1802,0.9496,-1.534,0.4423,-0.1938,-1.4393,-0.3954,-2.9803,-0.0401,-0.1586,-0.7795,-1.4584,-1.1646,0
42,-3.2896,-0.4644,-1.878,-0.8912,-0.3151,-1.1773,-1.8369,-0.541,-1.6665,0.2002,-0.7016,-2.4557,0.2446,-1.6108,-0.3355,-2.3588,-2.3599,0
43,-2.7496,-0.5068,-2.1022,-0.4527,-1.8937,-0.8317,-2.6389,-0.9577,3.2841,-2.0345,-0.138,-2.6178,0.0886,-0.7753,-0.5911,-2.7195,0.6887,0
44,-2.3234,-0.3404,-2.1164,1.7506,-1.4149,-1.4618,-1.9049,-0.731,0.9123,-0.6913,-0.5468,-3.0046,0.3867,-1.511,-1.9261,-2.7643,-0.7227,0
45,-2.8938,-0.3993,-1.9789,-1.2995,-0.3656,0.9316,-1.9137,-0.4975,-0.9035,-0.2556,-0.1314,-2.2294,0.1719,-1.177,-2.1152,-1.2553,-1.7442,0
46,-2.4918,-0.8547,-2.2829,1.0837,-1.6338,-0.159,-2.1139,-1.5182,-1.6465,-0.5432,-0.2224,-2.5302,0.0587,-0.908,-0.1163,-1.7617,-2.1267,0
47,-2.8686,-0.4684,-2.0479,1.6422,-1.3531,-1.0736,-1.0702,-0.6145,-0.3812,-1.1914,-0.5678,-2.2805,-0.4859,-1.2482,-1.2834,-2.0986,-2.9592,0
48,-2.0196,-0.4078,-1.5568,-0.2459,0.1014,-0.8372,-3.0084,-0.3974,-1.3327,-1.7051,-0.0662,-3.2949,0.2829,-1.5837,0.6121,-2.2324,-1.479,0
49,-2.9038,-0.3992,-1.7423,1.6058,-0.476,0.2326,-1.6841,-0.674,0.2046,-0.9488,-0.6788,-2.5298,-0.6897,-0.5107,-1.16,-1.9805,-1.4837,0
50,-3.1274,-0.3396,-1.286,-1.0757,-0.2996,-1.0363,-1.6491,0.3826,-0.9311,0.1917,-0.5476,-2.4162,-0.2587,-1.2718,-1.0105,-2.3245,-0.1552,0
51,-3.1844,-0.5603,-2.1074,-0.1823,0.3076,-0.4074,-1.827,-0.7021,0.9874,-1.3644,0.8064,-2.2438,0.2244,-1.0777,-2.2708,-2.8923,-2.0301,0
52,-1.9695,-0.8687,-2.5379,-1.1945,-1.2921,-2.4839,-2.6059,-1.816,-1.1827,-1.5823,-0.1138,-2.8324,0.5139,-2.2387,-1.6901,-0.4865,-2.5655,0
53,-2.6033,-0.4333,-2.6332,-0.0651,-1.2179,-0.3196,-2.2549,-0.4169,-1.9592,-0.9336,-0.5178,-2.4601,0.0199,-2.332,-0.6921,-2.3085,-1.9468,0
54,-3.2356,-0.6557,-1.2633,2.0131,-1.362,0.4798,-1.8546,-0.0883,-1.6505,-1.5788,-0.3268,-2.2445,-0.0503,-0.0515,-1.114,-2.3615,-0.226,0
55,-2.7182,-0.564,-2.4329,1.8139,-2.7838,-1.0512,-1.8469,0.3499,-1.927,-0.3774,-0.4388,-2.4281,0.1207,-1.092,-2.0408,-2.261,-2.0838,0
56,-1.0826,-0.1772,-0.6498,-0.7752,-0.4179,0.0161,-2.8262,-0.7558,-1.5545,-1.0879,-0.2169,-2.0205,-0.541,-0.6815,-1.7687,-1.4612,-0.858,0
57,-2.3801,0.4,-0.2032,0.7035,0.0387,0.5736,-0.9546,0.0552,0.7749,-1.6303,-0.4381,-2.4757,0.0938,0.3089,-0.9122,-2.4749,2.2999,0
58,-2.1933,-0.2928,-2.0416,1.986,-1.8472,-0.2909,-2.1634,0.2167,-1.6006,-0.2806,-0.3058,-2.2568,0.2465,-1.2967,-1.6394,-2.1018,-2.4561,0
