,A1E959,O00626,O14793,O43895,O60635,O95750,O95994,P01579,P01591,P03950,P05783,P07711,P10721,P14136,P14210,P15090,P15336,P17516,P18627,P19801,P21246,P24387,P28827,P30838,P31994,P35225,P35475,P42785,P43629,P51531,P52823,P55259,P58499,P60484,P78423,Q0Z7S8,Q13459,Q29980_Q29983,Q3KPI0,Q4LE39,Q6ISS4,Q7L8A9,Q7Z6M3,Q7Z7D3,Q8IU54,Q8TD06,Q8TD46,Q8WTT0,Q92820,Q92854,Q969V3,Q96DU3,Q96JP9,Q96NZ8,Q99748,Q9BXJ7,Q9NRA1,Q9NX58,Q9P0M4,Q9P232,Q9UGM5,Q9UHF4,Q9UK85,Q9Y286,Q9Y5W5,Q9Y639,Q9Y653
10,-0.742,-1.1122,-2.746,-3.5392,-0.5319,-1.7213,-3.8347,-1.5178,-2.6583,-2.3763,-2.0288,-2.3266,-2.7784,-0.6708,-1.5304,-2.5421,-1.0566,-0.4733,-0.9891,-1.9491,-1.8392,-2.7896,-2.09,-1.4521,-1.1785,-0.4666,-2.9931,-2.1479,-2.4791,-0.2256,-1.821,-0.7049,-2.3064,0.2598,-1.872,-1.3417,-0.6504,-2.6529,-2.7405,-0.4165,-1.2601,0.1035,-1.8162,-0.0633,-0.5778,-1.7642,-2.394,-1.4048,-2.3543,-2.0493,-0.3941,-0.3853,-1.9575,-1.492,-0.417,-1.1309,-1.9157,0.1583,-2.0576,-1.9897,-2.7505,-1.0109,-1.7583,-2.2772,-2.3699,-1.6847,-2.3418
11,-0.2767,-0.5711,-2.1619,-4.1486,0.4001,-1.5608,-0.8276,-1.5274,-0.4122,-1.0608,-2.4245,-1.3337,-2.1469,-0.898,-0.6586,-1.6647,-0.614,-0.7116,0.4226,-1.4603,1.111,-1.8153,-1.8183,0.16,-2.5419,-0.463,-1.9511,-1.7846,-2.8066,0.1743,-1.503,-0.0926,-0.9298,0.3433,-1.6007,-0.8887,0.9949,-1.0954,-1.6598,0.1347,-1.799,0.505,-0.2948,0.0196,-0.1396,0.2276,-0.8013,-0.5791,-2.005,-1.3539,0.7419,-0.6381,-1.7447,-2.2208,-0.4569,-0.7662,-0.8766,0.4868,-1.2532,-1.9935,-1.7782,-0.0912,-1.5904,-0.8599,-1.7175,-1.5444,-0.3552
12,-0.4118,-0.6155,-2.4154,-3.1218,-0.5338,-2.1751,-0.3466,-6.1881,-1.9817,-1.6599,-1.8288,-0.8142,-2.2306,0.7451,-0.8395,0.7417,-0.2674,-0.2525,-0.6937,-1.7339,-0.9196,-1.5223,-1.6183,0.8905,-0.2469,-0.6179,-2.2555,-1.8507,-2.9834,0.2127,-0.1548,0.5265,-0.7516,0.3278,-1.0278,-0.8908,-0.0353,-1.6562,-1.7846,0.0041,-0.9073,0.5158,-1.3788,-0.2652,-0.4241,-0.8582,-1.9924,-2.2656,-0.4903,-2.1761,-0.533,0.1413,-1.8238,-2.4536,-0.4544,-0.9655,-1.2911,0.8205,-0.2798,-1.7691,-1.6966,0.9805,-2.0006,-1.2482,-0.0102,-0.5658,0.811
13,-0.001,-0.2349,-2.3572,-1.7906,-0.154,-2.2971,-0.9311,-0.1432,-0.971,-1.5905,-2.9624,-1.1916,-2.4614,-0.4953,-0.1762,-0.5916,-0.4461,0.2981,-0.7865,-0.9338,-0.2195,-1.9342,-1.5102,3.4085,-1.0345,0.5588,-1.668,-1.6315,-2.8361,0.0675,-1.1618,-1.9932,-1.559,0.0696,-1.9633,-1.113,-0.1554,-6.1329,-2.1056,-0.0442,-0.6753,0.2361,-0.8519,0.1006,-0.5348,-0.5809,-1.9449,-0.9929,-0.7213,-1.4715,-0.2598,0.6177,-1.773,-3.0007,0.3478,0.1748,-1.101,0.3231,-1.1169,-2.8417,-1.4758,-0.5253,-2.1941,-1.9768,-1.2296,0.6809,-1.2235
14,-0.8099,-1.6654,-3.2812,-4.6342,-0.6865,-2.8009,-0.1885,1.034,-1.2204,-2.4294,-0.9608,-1.9785,-2.5003,-0.5176,-0.8481,-1.3514,-0.4219,0.0083,0.4775,-0.7248,0.0285,-2.7414,-2.3162,-0.1085,-0.9728,0.3983,-1.0051,-1.6847,-3.7762,-0.9302,-1.2996,-2.0117,-1.7576,0.2177,-2.052,-1.9276,-0.0219,-1.3698,-1.7683,0.3021,-2.0842,0.3049,-0.3401,-0.1313,1.1457,-0.1411,-1.8484,-1.3161,-1.2766,-1.5564,-0.0188,-0.0189,-1.6523,-1.4247,0.0092,-0.5669,-1.7152,0.5644,-0.8708,-2.1505,-2.294,-1.2183,-1.7625,-1.3402,-2.0657,-1.0944,0.7409
15,-0.1342,-0.7504,-3.4874,-5.1834,-0.5761,-1.7248,-0.0034,-0.2578,-0.5915,-1.5973,-1.5112,-0.6311,-2.7705,0.126,0.5721,-0.0896,-0.6896,0.1546,-0.6899,-2.0912,0.2507,-2.6206,-2.1703,-0.8453,-0.0538,0.955,-2.4321,-2.4372,-1.0129,0.4056,-0.3299,-0.819,-1.4227,0.179,-1.5008,-1.2077,0.9621,-0.1558,-0.907,0.5826,0.1767,-0.1916,-0.1529,0.5518,0.2237,-1.3501,-2.5746,-1.435,-2.0671,-2.1586,-0.1196,-0.293,-2.0631,-2.4768,0.4093,-0.3403,-1.1864,0.4762,-0.7308,-1.9314,-1.9992,-0.6219,-1.0527,-1.6241,-0.3185,-0.5137,0.3453
16,-0.7814,-1.4259,-0.9362,-3.7497,-0.3698,-1.0749,-1.4477,3.7511,-1.3964,-1.2101,-0.7082,-0.6904,-2.6182,0.381,-0.8279,0.6927,-0.7132,-0.0649,1.096,-1.5672,-0.07,-2.3579,-2.5601,-0.2022,-2.645,-0.6027,-1.2959,-2.5687,-2.5849,0.186,-0.0348,-0.2763,-3.6082,-0.2439,-1.6679,-1.6707,-0.4683,-0.9296,-1.7096,0.1081,1.102,0.1852,-0.8691,0.4724,1.2953,-0.962,-0.8748,-1.6246,1.4135,-1.4294,-0.2804,-0.1645,-1.75,-2.1358,0.2132,-0.6369,-0.9714,0.3511,0.2867,-2.4112,-1.7147,-0.7073,-1.4627,-1.6806,-1.6797,-0.463,0.7563
17,1.1151,-0.0774,-2.2089,-5.0987,-0.3803,-2.674,0.4398,-0.1688,0.4542,-0.7608,0.042,-0.6932,-1.909,0.0492,-1.0958,1.8184,-0.3047,-0.1937,0.0426,-2.2727,-0.808,-1.6185,-1.5677,0.4014,-1.9803,-0.9445,-2.2216,-1.4079,-0.4155,-0.4915,-0.2383,-0.431,0.6965,-0.4703,0.2985,-0.7887,-0.8642,-2.1367,1.0201,0.5926,0.3001,-0.1969,0.0296,-0.2007,0.7792,0.2786,-1.5076,-0.8153,-1.497,-1.8155,-0.4613,-0.0937,-1.9721,-0.9232,-0.206,-0.1452,-1.0878,1.3687,1.6519,-2.4034,-3.537,-0.5205,-1.1993,-1.297,-0.8051,-0.2487,-0.4875
18,-0.6778,-1.8587,-3.2927,-1.2724,-0.5298,-2.3145,-0.2067,1.9381,-1.1813,-2.2956,-2.0825,-0.5331,-2.2628,-1.2867,-1.7405,-1.975,-0.2475,-0.2491,-0.2468,-1.8789,-0.8499,-2.3311,-1.8033,-0.8145,-4.2591,-0.5779,-2.6555,-1.8496,-0.6836,-0.0896,-1.1442,0.1909,-2.6777,-0.1667,-1.6961,-2.0336,-0.4724,-4.45,-0.6871,-0.3253,-2.5886,0.1335,-1.5561,0.193,1.9018,-0.8146,-1.6673,-0.8504,-0.907,-1.7579,-0.5852,-0.3625,-2.0728,-2.9073,-0.314,-0.4442,-1.0917,0.5167,-1.2732,-2.2258,-1.3658,-0.8603,-2.1414,-1.6365,-2.2961,-1.5156,-2.3941
19,-0.5346,-1.3871,-1.9923,-3.0417,0.0557,-1.7484,-0.8949,-0.6026,-1.3892,-1.5466,-4.6118,-1.7206,-2.2802,-1.6155,-0.6472,-3.9679,-0.461,-0.2159,-1.5527,-2.5867,-1.3627,-2.2009,-1.7718,-1.2268,-1.2733,-0.8977,-1.5673,-2.4979,-2.4844,0.0688,-0.5193,-2.35,-2.9958,0.1417,-2.7804,-1.6004,-0.2213,-1.5545,-2.2697,-0.0813,-3.7123,0.2895,-1.3113,-0.3513,-0.4539,-1.3181,-1.9861,-0.607,-1.7285,-2.1017,-0.8803,-0.4922,-1.9484,-1.6648,-0.5332,-0.9894,-1.4724,0.4244,-0.9941,-2.9105,-2.2689,-0.6735,-1.0788,-1.9998,-0.8087,-0.8136,-2.5527
