,A1E959,O60635,O95750,O95994,P00750,P01591,P08833,P14136,P14780,P19429,P19801,P21246,P43629,P52823,P55259,P60568,Q29980_Q29983,Q5JZY3,Q8IU54,Q96JP9,Q9P0M4,Q9Y265,Q9Y653
22,-0.6527,-0.3379,-1.567,-0.2014,-2.9137,-2.1364,-1.9215,-1.0901,1.1859,-2.748,-1.204,-0.7381,-0.824,-1.6136,-2.3094,0.4399,-2.0326,-2.216,-0.2952,-1.4293,-0.2189,1.0541,-2.624
23,0.0459,-0.4488,-0.9411,0.1148,-0.5713,-0.8645,2.2202,0.6488,-0.2405,-2.6625,-1.708,0.3204,-1.427,0.6345,-1.4042,0.3267,-4.0641,-2.6831,3.4749,-1.7212,0.0949,-0.9421,0.92
24,-1.0897,-0.5921,-1.7657,-0.5791,-2.8485,-1.3666,-0.2504,-1.3862,-0.7119,-3.429,-1.7005,-1.2446,-2.8531,-1.5525,-1.6687,0.5171,-1.5126,-2.2631,1.104,-1.6825,-1.7853,0.8925,-2.2089
25,-0.1874,-0.4203,-2.9954,-0.8534,-0.4798,-1.8728,0.3436,0.6477,-1.8763,-2.3944,-1.8302,0.0958,-2.1137,-0.7555,-1.3765,0.3483,-2.04,-2.4496,1.6764,-1.7522,-0.8594,0.2045,-0.3697
26,-0.3976,-0.4407,-2.5102,0.1337,0.9663,-1.631,-3.5069,-1.3534,-0.1223,-3.7616,-2.2052,-0.4357,-2.9987,-0.647,-1.5292,-0.2751,0.2192,-2.4438,1.7039,-1.9864,-1.771,1.7866,-1.9856
27,-0.0681,-0.5005,-0.5079,0.9931,-3.0577,-1.598,-3.3602,-0.9432,-0.7502,-2.8639,-1.5931,-1.7363,-2.0396,-2.0554,-1.1191,-0.6163,-1.8749,-1.6736,-0.972,-1.7809,-2.1403,-0.2604,-2.6657
28,-0.8875,-0.4692,-0.211,-1.0374,-1.6363,-0.8618,-1.5213,-0.6794,2.169,-3.4948,-2.7155,-1.7479,-2.5182,-0.3761,2.0859,-0.8567,0.0535,-1.9692,-0.5295,-2.2617,-0.4286,1.2207,0.724
29,-0.4912,-0.5418,-1.7188,2.728,-1.64,-1.0557,-0.7143,-1.2513,-0.4074,-2.2861,-2.0135,-0.7705,-3.3922,-0.1605,-2.0896,0.1588,-2.1853,-2.0248,2.7934,-1.6457,-1.2526,-1.1726,-1.4142
30,-0.4334,-0.4103,-1.0859,0.4991,-1.6768,-0.7467,-1.944,0.0029,0.1008,0.8171,-2.1031,-1.5215,-0.5868,-1.7484,-0.8248,-0.7398,-1.7593,-1.7528,1.699,-1.7547,-0.4277,-0.9036,-0.9516
31,-0.2367,-0.2177,-2.9265,1.6908,-0.8661,-0.9523,-0.9791,0.7021,0.287,-0.8234,-2.1039,-0.4888,-1.1089,-0.0687,-0.9085,0.2791,-1.5536,-2.0175,1.4006,-1.6345,-0.7159,1.0341,-2.3992
32,-0.1688,-0.2899,-3.8293,1.2107,-1.5969,-1.3377,-3.462,-1.1469,-1.3667,-2.85,-2.1442,-0.34,-2.6568,-1.0272,-1.6479,0.3024,-3.8293,-1.5292,-1.2406,-1.6225,0.4643,-0.9546,-2.6264
33,-0.44,-0.3272,-2.3369,3.7555,0.2951,0.2788,2.3017,2.6116,0.9392,2.6864,-1.9836,-0.1182,-0.6347,2.3746,1.2906,0.6915,0.6817,-1.4845,0.4798,-1.1753,3.5425,0.6131,-0.1208
34,-0.422,-0.016,-2.0868,-0.764,-1.7601,-0.6226,0.8256,-0.5953,0.0288,0.1301,-2.4065,-0.1267,-3.3463,0.2761,-0.9761,-0.1865,-0.6559,-2.1171,-0.5925,-1.6973,-0.7792,-0.7548,-0.1469
35,-0.9384,-0.2673,-3.4906,2.6296,-1.0957,-1.162,-4.2872,-1.05,-0.0644,-2.3621,-1.3012,-1.1344,-2.0083,-0.1039,-1.4451,-0.1009,-1.8154,-1.8478,0.9989,-1.2324,-1.1333,-0.6613,-2.6336
36,-0.6252,-0.3387,-2.5626,1.7876,-0.5349,-0.6496,1.4447,-0.1869,0.8454,1.5798,-2.1211,0.5628,-1.5252,0.7707,-0.8346,-0.102,-4.2833,-1.8703,2.2708,-2.008,-1.4618,1.2414,2.2021
37,-0.3561,-0.7439,-1.6731,-1.4856,-2.1984,-2.5564,-1.1537,-0.2844,-0.7237,-2.1001,-2.3834,-1.6669,-1.8188,-1.5643,-1.0459,-0.3978,-1.4433,-1.6509,-0.0329,-1.2996,-2.3139,-1.4953,-2.5304
38,0.1275,-0.8293,-1.7234,-1.3195,-1.0088,-0.936,-2.5117,-1.0904,-1.0132,-3.4782,-1.8524,-0.913,-2.1825,-1.5174,-0.7601,-0.0459,-0.584,-1.7127,0.8747,-1.6555,-1.0883,0.229,-2.0457
39,-0.6828,-0.08,-0.8978,-2.6441,-1.0369,0.2421,-2.0039,-0.6277,0.4449,-3.2826,-0.9201,-0.0977,-0.9352,-0.3686,-1.0227,0.7855,-6.1376,-2.4117,0.2881,-1.7636,-0.5944,-0.7351,1.239
40,-0.1725,4.5702,-0.5902,3.3828,-0.1205,-0.4573,2.6312,-0.007,-0.7649,-0.343,-1.6288,-0.4223,-2.0929,0.3586,1.8285,0.3465,-5.1267,-1.5835,2.8906,-1.3463,-0.7155,-1.7837,2.2478
41,-0.251,-0.3007,-0.8188,1.3821,-1.1582,-1.0005,0.1573,0.1802,0.8251,-2.3252,-3.1677,0.8265,-1.3619,0.4423,-0.1938,0.4189,-1.686,-2.1032,3.7864,-1.9314,-0.7795,1.0406,-1.1646
42,-0.735,-0.4644,-1.7579,-0.9797,-1.3323,-1.1869,0.0564,-0.3151,0.2687,-3.3129,-1.9508,-0.5194,-2.1005,-0.541,-1.6665,0.3995,-1.3192,-2.5373,-0.3775,-1.9304,-0.3355,-1.386,-2.3599
43,-0.6568,-0.5068,-2.0816,-1.1508,-1.0528,-2.2601,1.3091,-1.8937,1.0816,-3.0148,-1.8716,-1.1044,-2.6569,-0.9577,3.2841,0.124,-0.3659,-2.9041,-1.5207,-1.606,-0.5911,-0.4053,0.6887
44,-0.7707,-0.3404,-2.4623,2.1957,-2.653,-0.8941,-2.2801,-1.4149,2.564,-2.672,-2.3369,-1.5983,-1.8655,-0.731,0.9123,-0.1971,-0.3793,-2.0841,1.5945,-1.8182,-1.9261,1.923,-0.7227
45,-0.148,-0.3993,-2.0991,-0.6097,-1.016,-1.0541,-3.3232,-0.3656,-0.1926,-3.3833,-1.6879,-1.2628,-0.9482,-0.4975,-0.9035,-0.3088,-2.1626,-1.9792,2.1587,-1.7818,-2.1152,0.588,-1.7442
46,-0.4695,-0.8547,-0.8923,0.7085,-1.0474,-0.7644,-1.7548,-1.6338,-1.1733,-2.8013,-2.1008,-1.1312,-1.9062,-1.5182,-1.6465,-0.8733,-0.4293,-2.5092,1.6822,-1.2934,-0.1163,-1.8119,-2.1267
47,-0.4719,-0.4684,-3.1318,-0.0611,-1.2442,-1.6199,-0.8914,-1.3531,1.0115,-2.1427,-2.0082,-0.264,-2.2292,-0.6145,-0.3812,0.1756,-5.8904,-2.2043,-0.6895,-1.386,-1.2834,-0.9174,-2.9592
48,-0.4535,-0.4078,-1.0692,-0.5845,-2.1474,-1.3576,1.7303,0.1014,-0.0476,-3.1365,-2.0517,-0.0768,-1.0729,-0.3974,-1.3327,0.4039,-1.624,-3.0399,0.2135,-1.7335,0.6121,0.1813,-1.479
49,-0.3122,-0.3992,-1.9455,1.0938,0.5246,-0.809,-0.0748,-0.476,0.1354,-3.5195,-2.0213,-0.7244,-1.4552,-0.674,0.2046,0.4232,-1.8862,-2.1856,2.1712,-1.8261,-1.16,-0.4816,-1.4837
50,-0.2738,-0.3396,-2.0247,-1.7595,-1.5501,-1.9181,-0.3932,-0.2996,0.4456,-1.9345,-1.5624,0.0009,-0.4594,0.3826,-0.9311,0.2653,-4.8704,-1.781,-0.0545,-2.2291,-1.0105,0.0716,-0.1552
