,A1E959,O00626,O14793,O43895,O60240,O60635,O95994,P01591,P05783,P07585,P08727,P10721,P14136,P14210,P18627,P19429,P24387,P29017,P35225,P42785,P43629,P51531,P52823,P55259,Q8IU54,Q8TD06,Q92820,Q969V3,Q96JP9,Q96NZ8,Q99748,Q9BXJ7,Q9NZV1,Q9P0M4,Q9UGM5,Q9UHF4,Q9Y3P8,Q9Y653
60,-0.2762,-0.7194,-1.9359,-1.9869,5.2021,-0.2113,6.985,-1.2775,1.7435,-1.4506,5.5691,-2.002,-0.1005,-0.3926,-0.9113,1.0424,-1.3799,-2.3729,-0.4362,-1.9866,-0.1157,0.7035,2.7774,1.1285,-0.6856,1.2946,-1.5857,-0.1332,-1.6507,-2.3031,1.2227,-0.1301,-0.9888,2.9217,-2.4882,-0.42,2.3161,-1.7414
61,0.1302,-2.4913,-2.2621,-1.8941,3.2021,-0.4791,-0.9476,-0.1394,1.4543,0.3713,0.3347,-1.7818,-0.3137,2.8322,-0.2298,3.5251,-3.0192,-1.8919,-0.5527,-1.935,-2.5667,0.33,3.9282,2.351,-1.7924,-1.0058,-2.7486,-0.3301,-1.9922,-2.8977,0.6227,0.2717,0.2706,0.7957,-3.395,-0.2656,1.6829,1.3266
62,-0.2878,-0.5547,-1.8502,-3.106,-0.3478,-0.6029,-1.2681,-0.7141,-2.5368,-2.5472,-1.6798,-2.8109,-1.7203,-1.8609,-0.2018,-3.0012,-2.3923,-2.2187,-0.5487,-1.8319,-2.3338,0.452,-1.1544,-2.6218,0.8943,0.026,-1.1117,-0.0466,-1.1813,-1.4299,0.5018,-0.8649,-1.4411,-2.1539,-1.7271,-0.8266,0.806,-2.8154
63,-0.6045,-1.3478,-3.1365,-3.8935,-0.4099,-0.4076,-1.9918,-3.3463,-3.339,-1.6951,-2.0351,-2.0387,-1.3854,-2.5171,-0.2875,-3.2176,-2.6789,-1.8737,-0.6879,-2.6392,-2.4102,0.1904,-0.4205,-2.2016,0.5074,-1.4574,-1.9799,-0.952,-1.5452,-2.0477,0.0891,-0.717,-1.4985,-1.2131,-1.998,-1.3933,0.0872,-2.605
64,-1.1882,-0.3355,-2.4591,-2.1086,-0.7075,-0.5948,-1.1854,0.2506,-1.6888,-0.6268,-0.2586,-2.5757,0.0781,-0.2405,-0.1434,-3.0562,-1.4706,-2.1022,0.6945,-2.4355,-1.3078,0.427,-0.7384,-0.4059,0.0156,-1.0699,-1.9738,-0.1823,-1.4758,-1.9899,-0.256,-0.9131,-0.2368,0.3532,-2.2415,-0.0297,1.1457,-1.104
65,0.0549,-1.2184,-2.2597,-1.1829,-0.3752,-0.4875,-0.0895,-1.3133,-1.6367,-2.0779,0.2836,-2.5606,-1.0524,-0.198,0.0728,-2.811,-1.5235,-2.4908,-0.7038,-1.4167,-0.6816,-0.1838,-0.1573,-0.7528,2.6069,-0.5975,-0.3057,-0.2893,-1.6501,-2.3075,0.4278,-0.6958,-1.1002,-1.3861,-2.2709,-0.4871,0.7512,-1.5809
66,-0.2599,-1.68,-2.5793,-3.5527,-0.0946,0.0234,0.527,-0.8815,-0.7819,-1.4941,1.79,-2.1006,-0.5254,-0.9893,0.8097,-2.9058,-2.5387,-2.4877,-0.4434,-1.5976,-1.2385,0.4742,0.0823,0.3622,1.8909,0.8402,-0.7987,-0.3497,-1.0157,-2.4223,-0.4026,-0.4548,-0.7568,0.4902,-1.8447,-0.5379,0.4041,0.3121
67,-0.3588,-0.0533,-2.778,-3.3934,0.3539,-0.6028,0.5457,-2.2437,-1.0504,-0.6235,-0.5533,-2.6553,-0.4961,-0.3691,0.5084,-2.7993,-1.6303,-2.2936,-0.6015,-0.8543,-2.9874,-0.4245,-0.5943,-1.0927,1.3565,0.4301,-1.4204,-0.2287,-1.6624,-0.1632,-0.5518,-0.0644,-0.7662,-0.2266,-1.7786,-0.6372,0.9676,0.7486
68,-0.4552,-1.0432,-2.5777,-2.2711,0.0221,-0.786,1.8657,-1.8603,-0.0838,-1.1919,2.473,-2.3066,-0.6388,-1.7748,0.4979,-3.2474,-2.3199,-2.5122,-0.6542,1.4712,-0.47,0.3379,-0.9776,-1.1528,2.6968,-0.848,-1.4153,-0.4342,-2.0073,-2.4659,0.2235,-0.8794,-1.078,-1.2975,-1.9025,-0.6883,0.5089,-1.6696
69,-0.5251,-1.8925,-2.8245,-2.526,-0.5555,-0.6401,0.7937,-1.2347,-0.2208,-3.0606,0.8719,-2.5589,-1.0101,-1.6553,0.5264,-3.6926,-1.2488,-2.9892,-0.6143,-1.6878,-1.1097,-0.2896,-1.1599,-1.157,1.0893,-0.5176,-0.8155,-0.3881,-2.0835,-1.8008,-0.4416,-0.9829,-1.2782,-1.8218,-2.1069,-1.0462,-0.0467,-2.6205
70,-0.6472,-1.4302,-2.7224,-4.1643,0.9339,-0.8684,1.229,-1.7594,-0.4009,-1.4969,1.4298,-2.2018,-0.3561,-0.0915,-0.9656,-2.042,-0.9356,-2.1408,-0.688,-1.2795,-0.935,0.1826,0.0122,-1.937,-0.469,-0.9025,-1.1391,-0.1033,-1.5316,-2.5721,0.1021,-0.5932,-1.3644,-1.3702,-2.0208,-0.9038,1.717,-1.7694
71,-0.6208,-0.7208,-2.8766,-3.4881,-0.3092,-0.4407,-1.289,-1.8219,-0.5961,-2.3959,1.4226,-2.8373,-1.2902,-0.48,0.1812,-4.345,-1.9121,-2.6106,-0.9472,-1.121,-2.6051,-0.4442,-0.5076,-0.7198,1.6375,-1.2123,-1.1967,-0.5272,-1.1652,-1.9463,0.1124,-1.0832,-1.2682,-1.3028,-1.0883,-0.4808,0.571,-1.9175
72,0.2676,-0.1433,-2.6799,-1.7279,1.2052,-0.1209,-1.9484,-0.9356,-1.37,-1.1835,0.4519,-2.8043,-0.0832,-0.161,0.9084,-0.5783,-1.8299,-2.9458,-1.0182,-1.5456,-1.2928,0.4883,-0.3147,-1.1202,1.6063,-0.8991,-1.3722,-0.3612,-1.0097,-1.3715,-0.0415,-0.4994,-0.3843,4.0249,-3.4009,-1.0304,0.6347,-1.97
73,-0.8346,-1.4039,-2.2901,-5.1185,0.0788,-0.6282,0.1329,-4.4716,-2.2547,-1.7623,-0.4994,-1.5847,-0.4616,-1.5043,-1.627,-1.2869,-2.3624,-2.6538,-0.6706,-2.8433,-0.9061,-0.2827,-1.0787,-0.3242,-0.0148,-1.2069,-1.854,-0.5019,-1.271,-2.8117,-0.1372,-1.4196,-1.3079,-0.2959,-2.4955,-0.3391,0.2141,-2.4189
74,-0.4848,-1.2018,-2.4479,-2.2146,-0.3948,-0.1697,0.799,-1.4768,-0.8915,-2.342,1.094,-2.5028,-0.4113,-2.2216,-0.4412,-3.3551,-2.5248,-3.0101,-0.448,-2.4168,-2.2238,-0.5438,-0.6347,-1.8526,1.5101,-0.6071,-1.7041,0.2059,-1.0401,-2.9153,0.5706,-0.7307,-1.3935,-2.5424,-2.237,-1.0642,0.0085,0.3341
75,-0.6095,-1.1031,-1.0976,-1.842,-0.3144,-0.4743,-0.7289,-1.4336,-1.6295,-1.8198,0.1591,-2.7352,-1.4011,-0.6405,-0.5565,-3.256,-2.3522,-2.5944,-0.6166,-2.313,-2.3582,-0.1327,-0.3686,-1.1488,1.621,-0.3037,-0.6717,-0.6613,-1.8751,-2.394,-0.3517,-0.5747,-1.556,-1.1136,-1.884,-0.2419,0.8359,-1.1394
76,-1.0255,-0.6155,-2.4775,-2.3316,-0.6197,-0.5708,2.4847,-0.9491,-0.1791,-1.9491,0.9485,-2.5094,-0.4923,-0.7699,-2.03,-3.3038,-3.172,-2.3841,-0.8575,-2.6208,-1.8974,0.3653,-1.8331,-0.4259,-0.8323,-0.7935,-1.5053,-0.3655,-1.8079,-2.2633,0.2277,-0.7325,-1.2979,-1.3096,-2.4454,-1.3773,0.1707,-2.3592
77,-0.3411,-1.3999,-2.3577,-1.7489,-0.0953,-0.8541,1.4849,-1.2457,-0.1626,-2.7689,0.1409,-2.7275,-0.8054,-0.2257,-1.2209,-3.1917,-1.5916,-2.7188,-0.5045,-1.7961,-1.7929,0.4075,-0.7274,-1.6921,0.395,0.1995,-0.3838,-0.015,-1.7896,-2.2483,-0.559,-0.8866,-1.8924,-0.7157,-2.6907,-1.4123,0.6323,-2.6135
78,-0.2673,-2.314,-1.5608,-0.3431,-0.1876,-0.3723,-1.4728,-1.3933,-2.7194,-1.8284,-1.4749,-2.312,0.3222,-1.7315,-0.194,-3.4418,-2.2494,-2.661,-0.1231,-1.897,-1.155,-0.3759,-1.1365,-0.9087,0.2103,-0.3881,-2.0527,-0.3272,-1.7063,-2.548,-0.459,-1.074,-1.5718,-0.1074,-1.7095,-0.7789,1.0652,-2.4789
79,0.1825,-1.2113,-2.6588,-4.5924,-0.7669,0.7526,-0.5272,-1.6144,-2.6542,-2.9238,-2.5462,-2.9311,-0.7544,-0.4901,-1.5147,-2.8613,-2.4946,-2.335,-1.2631,-1.5391,-1.6887,0.0099,-1.4744,-1.4625,-0.3438,-0.8319,-1.2131,-0.7385,-1.7735,0.1782,-0.1326,-1.3636,-1.998,-2.6879,-2.6545,-1.113,1.1014,-2.9338
80,-0.3042,-2.5682,-2.1779,-4.6428,-0.0853,-0.4459,-0.0567,-1.1239,-1.6763,-2.551,-0.2797,-2.9106,-1.936,-1.5144,-1.369,-2.996,-3.1534,-2.5937,-0.702,-2.0176,-1.9664,0.2511,-1.6333,-2.1725,1.1101,-0.6477,-1.3016,-0.6081,-1.7417,-2.3666,0.1599,-0.3064,-1.933,-1.7386,-2.6103,-0.8636,0.2975,-2.9716
81,-0.6993,-1.5203,-3.5069,-3.7798,-0.1026,-0.5083,-2.2241,-1.2879,-3.3637,-2.4863,-2.064,-2.3214,-1.0567,-0.1542,-0.8747,-3.2187,-2.4693,-2.2605,-0.9027,-2.1283,-2.0095,1.6959,-0.6591,-1.7372,-1.106,-1.0296,-1.703,-0.6969,1.179,-1.6022,-0.2755,-1.2456,-1.1547,-1.6502,-2.2475,-0.2721,0.3747,-2.3585
82,-0.3674,-1.6391,-1.8879,-2.1133,-0.4637,-0.4247,-0.1236,-1.5842,2.108,-1.4757,0.2633,-2.4894,-1.0576,-1.4721,0.3889,-2.7579,-1.7264,-3.2728,-0.4555,-1.698,-2.3086,-0.793,-1.6729,-1.4973,1.011,0.5299,0.034,-0.3615,-1.4581,-1.3845,0.3774,-0.263,-1.2422,-0.4439,-0.9244,-0.9389,0.4269,-2.1645
83,0.278,-2.1576,-2.0053,-3.162,-0.6731,-0.3622,-0.783,-2.209,-1.1322,-1.9408,0.0009,-2.4083,-1.8891,-1.4131,0.6851,-3.5013,-2.8129,-2.4385,-0.6646,-1.975,-1.3438,-0.3192,-1.0947,-1.1809,2.5592,-0.1113,-1.2762,-0.4958,-1.7999,-1.9413,-0.3702,0.0325,-1.4872,-2.0396,-1.5368,-0.5625,0.5294,-1.0725
84,-1.1445,-1.273,-2.9968,-4.2161,0.261,-0.6937,-0.403,-0.8912,-0.2858,-1.9922,0.992,-3.0627,-0.027,-1.8516,0.649,-0.095,-3.1157,-3.0865,-0.8888,-2.6369,-2.5455,-0.0334,0.1668,-1.193,2.3139,-0.7228,-1.2643,-0.4113,-2.0735,-2.3602,-0.0514,-0.8397,-0.7041,0.1633,-2.1785,-0.4876,0.1034,-1.5833
85,-0.7343,-1.2907,-1.4471,-1.4078,-0.4332,-0.6603,-0.6725,-0.8191,-1.4088,-2.1515,0.4517,-2.6783,-0.8246,-0.5469,-0.7279,-3.4078,-1.8261,-2.3817,-0.9607,-1.8758,-3.0257,-0.2304,-0.6976,-1.1612,1.1199,-0.8703,-1.0736,-0.734,-1.3243,-2.1055,0.3409,-0.7674,-1.1691,-1.7744,-1.8927,-0.504,0.0725,-1.8386
86,-1.2203,-1.052,-2.1863,-5.0851,-0.4198,-0.3779,0.5908,-0.9406,-0.9495,-2.52,0.7693,-2.7326,-1.7785,-1.6056,-0.6463,-3.1707,-1.5593,-2.3651,-0.4637,-2.3404,-1.9989,-0.0243,-0.3422,-2.6236,2.1095,0.4287,-0.5433,-0.395,-2.205,-2.2977,-0.5344,-0.8453,-1.2651,-1.9024,-2.0913,-0.4568,-0.1652,-2.3192
87,-0.651,-1.1302,-2.6682,-2.2435,0.0113,-0.5437,-0.6086,0.1209,-0.4789,-1.0087,1.089,-2.3139,-0.2792,-0.1519,0.7093,-3.1448,-1.9083,-2.4289,-0.9725,-2.4579,-1.8073,-0.0437,1.0257,-1.5479,2.9602,-0.2714,-0.954,-0.2377,-1.4533,-2.1656,-0.9571,0.1041,-0.7028,0.7143,-1.8047,-0.6308,0.0998,1.5214
88,-0.4592,-1.0103,-2.9508,-3.3032,0.4593,-0.5898,-1.3527,-1.253,-1.0523,-0.1649,0.6779,-2.8149,0.574,2.5633,-0.1382,-1.24,-2.6571,-2.8389,-0.5809,-2.515,-1.9259,0.0545,0.1461,0.8129,-1.3825,-0.8196,-1.6169,0.0352,-1.8593,-2.4725,0.4161,-0.8034,-0.5993,-0.6177,-3.0027,-0.6418,0.5869,0.1883
89,0.1456,0.0678,-2.2599,-3.646,-0.0746,-0.3776,0.5186,-1.1737,0.0993,-1.7197,2.0998,-2.8289,-0.1049,0.1959,-0.8499,-2.9421,-1.2694,-2.6757,0.5761,-1.879,-1.2647,-0.1954,0.3137,-0.9652,1.8328,-0.9126,-0.8592,-0.2027,-1.8979,-2.3975,-0.7779,-0.6499,-0.9871,-1.0246,-2.247,-1.3368,-0.0306,-0.6337
90,-0.6212,-2.3984,-3.5115,-1.9213,-0.6481,-0.657,-1.4517,-1.4523,-1.9969,-1.4224,-0.1384,-2.447,-0.9097,-0.2312,-1.1627,-3.87,-2.0422,-2.8305,-0.5266,-2.3943,-0.8866,0.0838,0.3645,0.2274,0.2593,-0.0753,-0.9502,-0.5808,-1.7485,-2.5576,0.1029,-0.7464,-1.3304,-1.9363,-1.7363,-0.9245,0.8668,-2.5561
91,-0.7615,-0.6302,-1.2345,-3.8888,0.1168,-0.2442,-2.6457,-1.2581,0.0729,-1.8327,-1.0365,-2.3259,-1.2689,-1.2483,-0.471,-2.0607,-2.2714,-2.0568,-0.3875,-2.2845,-1.9819,0.2553,-1.036,-1.4651,2.708,1.455,-0.9546,-0.4827,-1.5584,-1.7837,0.3503,-0.304,-1.0007,-0.0127,-1.0147,-0.5186,1.0458,-1.9369
92,-0.8436,-0.7571,-3.7969,-2.2844,0.1122,-0.5154,0.3019,-2.0791,-0.4026,-1.8003,1.9552,-2.6924,-0.2169,-1.1775,-0.6334,-3.2655,-2.1555,-2.9433,-1.0815,-2.9136,-4.3637,0.0837,0.4893,-1.6979,1.3475,-0.4758,-1.173,-0.1529,-2.2101,-2.7415,0.1597,-0.8707,-0.804,-1.4633,-2.3418,-0.4435,0.4217,-3.2921
93,-0.8179,-1.434,-2.7124,-5.3793,0.108,-0.7773,2.4059,-1.0721,-0.5987,-2.1074,1.5988,-2.8129,-2.0712,-0.1483,-0.003,-2.337,-1.7209,-2.9296,-0.083,-1.7922,-1.5003,-0.9461,0.1502,-1.0726,1.7227,-0.3816,-0.2339,-0.0823,-1.7866,-2.5042,0.2494,-0.9406,-1.0008,-0.9805,-2.5366,-0.6902,0.4652,-0.5657
94,-0.364,-0.2973,-2.6263,-4.1081,-0.0943,-0.3706,-0.1324,-1.4354,-1.6347,-1.5818,-0.5892,-2.5394,0.6278,-1.4292,0.4079,-4.5936,-2.448,-1.7363,-1.0315,-2.0295,-2.6946,-0.0473,-0.5179,-0.3596,0.8269,-0.4519,-1.1929,-0.1828,-1.7543,-2.1041,0.0582,-1.4149,-1.2132,0.4292,-1.6778,-0.9517,1.1208,-0.7076
95,-0.4445,-0.5987,-1.2048,-2.2891,-0.047,-0.287,-1.2581,-0.9954,-2.3201,-0.9892,-1.8291,-2.7202,-1.1401,-0.5986,0.1438,-2.2265,-2.0958,-2.3811,-1.0797,-1.4744,-1.3954,0.298,-0.5851,-0.9488,1.8631,0.1143,-0.3251,-0.4305,-1.5006,-2.3581,-0.1376,-1.7251,-1.1313,-0.4389,-1.399,-0.5045,1.0618,-1.2862
96,-0.0648,-1.8552,-2.6825,-2.7812,0.0399,0.1917,1.6666,-1.4435,0.4522,-1.6149,2.1125,-2.4531,-0.6186,-0.442,0.2219,-2.7122,-2.3355,-2.4047,-0.3932,-2.7486,-2.1488,0.6694,-0.6124,-1.1895,3.1761,0.0516,-0.972,-0.5335,-1.6475,-2.6636,0.6257,-0.8088,-0.7153,-0.5904,-1.814,-0.9284,0.5588,-1.8982
97,-1.2212,-0.7603,-3.2885,-3.8673,-0.161,-0.3884,-0.3059,-0.5001,-2.4086,-1.7112,-1.592,-2.3589,0.2371,-1.1175,0.3122,2.013,-2.3915,-2.3127,-0.7492,-2.2201,-2.1592,-0.9113,0.7495,0.0557,1.463,-0.6906,-1.6613,-0.4479,-1.8296,-2.1286,-0.3509,-1.1042,-1.0578,0.6014,-1.9861,-0.9141,0.5805,-1.6619
98,-0.7862,-1.3804,-2.2985,-1.2612,-0.321,-0.576,2.3397,-1.2941,-0.3911,-1.8736,0.9495,-2.4268,-1.3902,-1.5789,-0.574,-3.4108,-2.7605,-2.6956,-0.9298,-2.5078,-2.0528,-0.2867,-0.4422,-2.3166,2.9519,0.0435,-0.9447,-0.4454,-2.0879,-2.3198,-0.5283,-0.6425,-0.9951,-1.4588,-1.6759,-0.7571,0.2078,-2.0069
99,-0.8852,-0.3727,-1.5647,-2.8154,-0.0949,-0.346,0.6648,-1.2591,-2.2067,-1.3739,-0.3744,-2.047,-0.5134,-0.9317,-1.8992,-2.7855,-1.9852,-1.3145,-0.7051,-2.8944,-0.7725,0.0779,-1.4589,-1.3916,-0.5791,-1.3636,-1.1199,-0.4635,-1.6566,-2.627,-0.1835,-1.3382,-1.1463,-0.512,-1.6089,-1.0269,1.1265,-1.7349
100,-0.3542,-0.8072,-3.3058,-2.324,-0.8428,-0.6044,-1.6921,-2.2914,-2.2205,-2.6817,-1.3552,-2.3492,-1.142,-1.1851,-0.7542,-4.0833,-2.1028,-2.8947,-0.9065,-2.4758,-2.7623,-0.1165,-0.3609,-2.2701,0.7979,-0.7703,-0.4843,-0.0719,-1.4783,-2.525,-0.1788,-0.6617,-1.6142,-2.1554,-2.0983,-0.5078,0.5725,-2.2859
101,-0.6713,-0.8477,-2.2811,-4.572,0.4867,0.0089,-1.9138,-1.2064,-1.8744,-2.2348,-0.4278,-2.6919,-0.9724,-1.3038,-0.4585,-2.7957,-2.873,-2.7619,0.0448,-2.6327,-2.0595,-0.0216,0.5546,-1.3697,1.2858,-0.2426,-1.8938,-0.2689,-1.675,-2.7594,0.3706,-0.337,-0.6443,-2.3054,-2.5537,-0.8566,-0.7352,0.3621
102,-0.4728,-0.781,-1.6303,-1.6512,-0.2959,-0.5795,3.0581,0.5417,-2.436,0.4861,0.2889,-2.0038,0.0474,-0.9022,0.1161,-3.3542,-1.692,-2.867,-1.4516,-2.1244,-1.6855,-1.2338,0.1653,1.7113,0.21,1.7886,-0.7916,-0.4756,-1.4114,-1.4817,-0.3764,-1.3215,-0.4575,0.8313,-2.5296,-0.0081,1.6529,-1.3527
103,-0.6047,-0.6077,-1.7582,-0.3956,-0.2052,-0.19,-0.7952,-0.9728,-2.4669,-1.8613,-1.2057,-2.4212,-1.193,-1.1688,-0.1808,-3.3983,-2.137,-2.164,-1.0059,-2.7432,-0.9425,-0.1056,-0.7821,-0.3853,0.9523,0.001,-1.0272,-0.129,-1.5684,-1.8256,-0.1468,-0.0128,-1.2403,-2.2072,-1.8695,-0.5841,0.4723,-1.9461
104,-0.9283,-0.3891,-2.4008,-4.0286,-0.081,-0.6829,-2.0888,-1.9894,-2.9663,-2.1993,-1.5749,-2.0628,-1.2052,-0.3623,-0.9997,-2.617,-1.6297,-1.7049,0.5543,-1.7998,-2.7459,-0.1907,-0.9329,-2.4762,-0.6778,-0.5477,-1.8448,-0.809,-1.9053,-1.6666,-0.3955,-1.0294,-1.7572,0.7769,-2.7062,-0.433,0.5599,-0.8245
105,-0.467,-0.0576,-1.1953,-5.0331,0.6228,1.2687,4.8488,-1.2852,1.8131,-0.0552,5.2902,-2.7352,-0.8051,0.078,1.0022,-1.717,-2.1594,-3.0093,-0.5856,-1.8696,-1.9576,0.0666,2.1297,3.1662,3.6979,0.3085,-1.6582,-0.2567,-1.5759,-3.2345,0.4224,-0.7307,-0.0427,-0.2815,-3.2757,5.2856,0.867,1.4189
106,-0.4327,0.2964,-3.1783,-0.1753,0.0758,-0.8096,-2.1565,-0.8025,2.7203,-1.7509,-0.1523,-3.2956,-0.2829,0.2412,-0.09,-3.3083,-1.2159,-2.5461,-0.8838,-1.7902,-3.0317,0.0296,-1.0505,-2.2311,1.118,-0.8081,-0.7798,-0.3716,-2.3048,-2.1647,-0.0161,-0.5655,-0.084,-0.5876,-1.9114,-0.6735,1.1707,-1.4822
107,-0.9411,-1.6129,-2.2993,-1.9534,-0.4159,0.309,1.3455,0.1029,0.2028,-2.1304,1.3037,-2.5048,-1.9735,-0.4461,-0.391,-2.9514,-1.8424,-2.8424,-0.587,-2.4941,-1.8215,0.3144,-0.2217,-0.2163,0.3184,-1.0533,-1.1074,-0.3962,-1.9455,-2.0448,0.3876,-0.7886,-1.2835,-1.7325,-1.5213,-0.6621,0.0923,0.0998
108,-0.3771,-1.1123,-1.2236,-3.9234,-0.1061,-0.2616,-0.2461,-0.8706,-1.217,-1.6582,0.2945,-2.4923,-1.3388,-1.0559,-0.157,-3.0386,-2.2796,-2.4494,-0.401,-2.2945,-0.6902,0.1748,0.6958,-2.1744,1.9798,0.2218,-0.5802,-0.3618,-1.4408,-2.1957,0.1421,-0.2864,-1.1153,-1.0932,-1.2951,-0.6815,1.3466,-1.7773
109,-0.5776,0.0458,-0.7559,-2.5024,0.5345,-0.5937,2.5238,-0.2739,-1.8135,0.3221,0.8956,-1.3612,0.3344,0.083,-0.0546,-1.2448,-1.3377,-1.5434,-0.6925,-1.6159,1.4792,0.8512,0.6811,0.7363,0.8318,0.6463,-1.1091,0.1526,-1.5662,-1.886,-0.0737,-1.0843,0.1289,-0.5652,-1.445,-0.6094,2.1305,-1.1602
110,-0.0305,0.8477,-2.7431,-4.1172,0.5705,-0.5728,1.6529,-1.1624,-0.5974,-0.6004,1.2422,-1.6267,-0.8892,1.4791,1.1865,-3.3259,-0.0162,-1.6753,-1.2972,-0.3617,-2.2119,0.1621,2.0014,0.1505,1.6992,-1.128,-0.494,-0.5552,-1.3985,-0.2772,0.2971,-1.0927,-0.3076,0.7413,-0.9766,-0.1814,1.0368,1.5435
111,-0.5304,-0.8473,-3.2456,-4.6697,0.8448,-0.2011,3.1741,-2.6474,0.3597,-0.8618,2.9514,-2.8965,0.1782,-0.3566,0.3952,-0.4383,-2.3579,-2.9394,-1.3379,-2.3474,-2.1319,-0.1802,1.4576,-1.3252,4.3083,-0.5577,-0.8136,-0.48,-1.2994,-2.717,0.3741,0.098,-0.4957,0.7208,-1.8212,-0.2942,0.3613,-1.082
112,-0.3025,-2.3453,-2.822,-3.7175,-0.3675,-0.6987,-1.287,-1.7166,-0.6872,-2.9414,-0.6229,-2.7829,-0.9811,-1.9006,0.1551,-3.2452,-2.2477,-1.6303,-0.4587,-1.8861,-1.2413,-0.2299,-1.804,-1.8266,2.7637,-1.2632,-1.0295,-0.2211,-2.2119,-2.208,-0.285,-0.8745,0.2711,-1.0618,-0.3602,-1.5355,0.1413,-1.9367
113,-0.6048,-1.4356,-2.3331,-1.0405,-0.4229,-0.261,-0.9982,-1.8424,-4.1688,-2.8723,-2.0688,-1.8252,-1.3178,-1.2013,-2.5922,-3.0285,-3.4501,-1.8597,-0.4246,-2.6568,-1.8451,0.2509,-1.7127,-1.9069,-0.9235,-1.1253,-2.4071,-0.1461,-1.737,-2.9494,-0.3394,-1.1677,-1.9005,-2.4447,-1.0944,-1.4182,1.0429,-2.9843
114,-0.373,-1.6913,-3.7347,-3.4244,-0.1735,-0.4026,-0.6657,0.3218,-0.995,-1.837,0.6921,-2.4834,-0.2221,-0.6501,-0.5894,-2.8198,-1.9403,-3.2959,-1.2562,-1.9266,-3.0437,0.2862,0.6774,1.1963,-0.9624,-1.0811,-1.8242,-0.1484,-1.7877,-2.4082,0.2864,1.9927,-1.1365,-1.7065,-2.6184,-0.4969,0.6975,-1.2682
115,-0.8119,0.2165,-1.8666,-3.8207,-0.0307,-0.3949,-1.5555,-1.4016,-0.5076,-1.9253,-1.4518,-2.0101,-0.8188,-1.1803,-2.1947,-2.9055,-1.3329,-1.3956,-0.4827,-1.3331,-1.347,0.1944,-1.7967,0.9908,-0.471,0.486,-1.1329,-0.4038,-1.5767,-1.8432,-0.2524,-0.3091,-1.7175,-1.8553,-0.9321,-0.5851,2.5274,-1.8654
116,-0.6351,-2.0082,-3.5339,-1.8164,-0.4636,-0.802,-0.3283,-1.4468,-2.8193,-2.63,0.0353,-2.9073,-1.5418,-0.5519,-1.3765,-3.1298,-3.0249,-2.5445,-0.8402,-2.6177,-2.3911,-1.3843,1.0365,-1.9931,-0.4762,-1.1181,-2.2801,-0.3776,-2.0263,-1.9486,-0.4366,-0.8146,-2.2965,0.5255,-3.4164,-0.2475,-0.532,-2.1145
117,-0.9258,-2.3336,-2.7128,-2.1531,0.6863,-0.0731,2.7969,-0.2745,0.254,-0.8138,2.8818,-2.5443,0.1983,0.4612,0.4331,-2.6624,-1.9907,-2.298,-0.5119,-2.0327,-1.5086,0.6418,3.4017,-1.0554,2.9541,0.44,-0.1248,-0.527,-1.7838,-1.7721,0.2587,1.2813,0.294,-0.7978,-1.8959,-0.3761,1.6191,-0.8081
118,0.0179,-0.5463,-2.5471,-1.7776,-0.1225,-0.2905,1.304,0.1853,-1.8494,-1.6267,0.1981,-2.6518,-1.3529,-0.8398,-0.2974,-2.745,-2.6509,-2.1524,-0.2491,-2.3562,-3.2234,0.1941,-0.7445,-1.1114,1.7113,-1.4115,-1.0971,-0.0457,-1.6707,-2.2281,0.4024,0.1466,-1.3012,-0.7296,-1.6107,-0.3948,1.0054,-2.3782
119,-1.1108,-3.4673,-3.2422,-5.6395,-0.5826,-0.452,0.9909,-2.7306,-1.1117,-2.3106,0.6119,-3.0232,-2.0707,0.0027,-0.8135,-2.8607,-2.4047,-3.1847,-0.5312,-1.8678,-2.7218,1.3015,0.7478,-0.5601,1.039,0.7655,-1.9548,-0.4293,-1.4665,-2.5191,-0.292,0.1811,-1.3786,-2.9989,-3.4642,-0.7772,-0.2203,-0.3071
120,-0.479,-0.7198,-2.3456,-4.217,0.0289,-0.631,-2.359,-1.6282,-0.877,-2.2741,0.4228,-2.515,-1.357,-0.8891,-0.3395,-2.8331,-2.3595,-2.7322,-0.5579,-2.0466,-1.5431,0.3477,-0.2564,-2.6035,3.0453,-0.7278,-0.8212,-0.0269,-1.833,-2.4831,-0.0941,-0.7507,-1.3452,-0.4172,-1.727,-0.6447,0.1878,-2.9649
121,-0.2163,-1.6822,-3.8021,-2.5955,0.1689,0.5063,3.2001,-1.0478,0.9605,-1.1197,2.7187,-3.0329,-0.696,0.1333,-1.0354,-1.5293,-2.4665,-3.0299,-0.4492,-2.2376,-1.8372,0.2923,1.3,0.2997,1.1068,-0.367,-1.5622,-0.2615,-1.5155,-3.0645,-0.5861,-1.6351,-0.8525,-1.2921,-3.1635,-0.8747,0.4329,-1.3614
122,-0.8695,-0.5105,-2.9778,-3.6245,0.2833,-0.6531,-2.1058,-0.2183,-0.9402,-1.4918,0.2497,-2.0927,0.7344,-1.0984,0.5584,-3.4854,-1.7105,-2.664,-0.6376,-1.4547,-2.3107,-0.0097,0.17,-0.9222,2.3468,-1.7053,-0.8565,-0.586,-2.0461,-1.8157,0.0216,-0.8039,-0.1732,-1.3394,-1.1852,-0.9069,0.8227,-1.2085
