,A1E959,O00626,O14793,O43895,O60240,O60635,O95994,P01591,P05783,P07585,P08727,P10721,P14136,P14210,P18627,P19429,P24387,P29017,P35225,P42785,P43629,P51531,P52823,P55259,Q8IU54,Q8TD06,Q92820,Q969V3,Q96JP9,Q96NZ8,Q99748,Q9BXJ7,Q9NZV1,Q9P0M4,Q9UGM5,Q9UHF4,Q9Y3P8,Q9Y653
13,-0.001,-0.2349,-2.3572,-1.7906,-0.3937,-0.154,-0.9311,-0.971,-2.9624,-1.5713,-0.9121,-2.4614,-0.4953,-0.1762,-0.7865,-3.335,-1.9342,-2.0045,0.5588,-1.6315,-2.8361,0.0675,-1.1618,-1.9932,-0.5348,-0.5809,-0.7213,-0.2598,-1.773,-3.0007,0.3478,0.1748,-1.5993,-1.1169,-1.4758,-0.5253,1.1439,-1.2235
14,-0.8099,-1.6654,-3.2812,-4.6342,-0.1398,-0.6865,-0.1885,-1.2204,-0.9608,-1.4895,-0.9237,-2.5003,-0.5176,-0.8481,0.4775,-2.4864,-2.7414,-2.6497,0.3983,-1.6847,-3.7762,-0.9302,-1.2996,-2.0117,1.1457,-0.1411,-1.2766,-0.0188,-1.6523,-1.4247,0.0092,-0.5669,-1.6179,-0.8708,-2.294,-1.2183,1.362,0.7409
15,-0.1342,-0.7504,-3.4874,-5.1834,0.0857,-0.5761,-0.0034,-0.5915,-1.5112,-1.3794,-0.8406,-2.7705,0.126,0.5721,-0.6899,-0.2009,-2.6206,-2.7282,0.955,-2.4372,-1.0129,0.4056,-0.3299,-0.819,0.2237,-1.3501,-2.0671,-0.1196,-2.0631,-2.4768,0.4093,-0.3403,-0.4807,-0.7308,-1.9992,-0.6219,-0.6619,0.3453
16,-0.7814,-1.4259,-0.9362,-3.7497,0.022,-0.3698,-1.4477,-1.3964,-0.7082,-0.9838,1.2164,-2.6182,0.381,-0.8279,1.096,-2.5828,-2.3579,-2.6755,-0.6027,-2.5687,-2.5849,0.186,-0.0348,-0.2763,1.2953,-0.962,1.4135,-0.2804,-1.75,-2.1358,0.2132,-0.6369,-0.6678,0.2867,-1.7147,-0.7073,0.4733,0.7563
17,1.1151,-0.0774,-2.2089,-5.0987,-0.1719,-0.3803,0.4398,0.4542,0.042,-0.3317,-0.0818,-1.909,0.0492,-1.0958,0.0426,-2.3497,-1.6185,-2.1357,-0.9445,-1.4079,-0.4155,-0.4915,-0.2383,-0.431,0.7792,0.2786,-1.497,-0.4613,-1.9721,-0.9232,-0.206,-0.1452,-0.5142,1.6519,-3.537,-0.5205,1.0281,-0.4875
18,-0.6778,-1.8587,-3.2927,-1.2724,-0.5702,-0.5298,-0.2067,-1.1813,-2.0825,-2.1057,-0.1718,-2.2628,-1.2867,-1.7405,-0.2468,-2.4995,-2.3311,-2.4433,-0.5779,-1.8496,-0.6836,-0.0896,-1.1442,0.1909,1.9018,-0.8146,-0.907,-0.5852,-2.0728,-2.9073,-0.314,-0.4442,-1.5082,-1.2732,-1.3658,-0.8603,0.6213,-2.3941
19,-0.5346,-1.3871,-1.9923,-3.0417,-0.6259,0.0557,-0.8949,-1.3892,-4.6118,-2.4795,-2.136,-2.2802,-1.6155,-0.6472,-1.5527,-3.6085,-2.2009,-1.8147,-0.8977,-2.4979,-2.4844,0.0688,-0.5193,-2.35,-0.4539,-1.3181,-1.7285,-0.8803,-1.9484,-1.6648,-0.5332,-0.9894,-2.113,-0.9941,-2.2689,-0.6735,0.6458,-2.5527
20,-0.6569,-1.6133,-2.1562,-1.6209,-0.7388,-0.5123,4.1991,-1.2042,0.2852,-1.5091,2.7585,-2.4815,-1.5578,0.2451,0.9474,-3.3278,-2.3334,-2.2421,-0.5636,-1.8034,-2.5851,-0.141,0.0619,-1.8753,1.9499,-1.4973,-1.1989,-0.7876,-2.056,-2.5477,0.4812,-1.0043,-0.3486,-0.8581,-2.2945,0.0965,0.1915,-1.3806
21,-0.4554,-0.8349,-2.7431,-1.8193,-0.1013,-0.7125,1.1062,-3.1099,-0.5163,-2.3644,0.5294,-2.7327,-1.1081,-0.5122,0.659,-2.8816,-2.0414,-2.7802,-0.8902,-1.7085,-2.2307,-0.3865,0.1803,-2.3148,2.5028,-0.8274,-0.4888,-1.1222,-2.0907,-2.0905,0.9086,-0.5306,-1.5005,-1.4254,-2.2309,-0.4618,0.3563,-1.4878
22,-0.6527,-1.0608,-3.2648,-5.5262,-0.1664,-0.3379,-0.2014,-2.1364,-3.0835,-2.3466,-1.6883,-3.1503,-1.0901,-0.5878,-1.3058,-2.748,-2.0465,-2.4647,-0.5164,-2.2278,-0.824,0.0231,-1.6136,-2.3094,-0.2952,-0.8256,-0.4411,-0.6509,-1.4293,-2.4888,-0.0382,-0.6657,-2.0192,-0.2189,-3.1239,-0.4166,0.5708,-2.624
23,0.0459,-0.5597,-2.4291,-1.4949,0.2482,-0.4488,0.1148,-0.8645,-0.9676,0.0937,0.4,-2.3294,0.6488,-0.4593,1.1594,-2.6625,-1.9107,-2.0831,-0.5332,-1.5214,-1.427,-0.1085,0.6345,-1.4042,3.4749,-0.2541,-0.1446,-0.4412,-1.7212,-2.5013,0.4309,-0.9625,-0.2415,0.0949,-1.8209,-0.6098,1.7718,0.92
24,-1.0897,-0.7592,-2.1312,-2.4455,-0.6427,-0.5921,-0.5791,-1.3666,-3.1148,-1.7024,-1.6008,-2.0701,-1.3862,-2.0159,-0.1645,-3.429,-2.6473,-1.8915,-0.6872,-2.2039,-2.8531,0.1805,-1.5525,-1.6687,1.104,-0.9617,-2.0772,-0.3666,-1.6825,-2.3633,-0.6138,-0.6865,-1.3362,-1.7853,-2.3518,-1.1474,1.0638,-2.2089
25,-0.1874,-1.1472,-2.8342,-2.6372,-0.3863,-0.4203,-0.8534,-1.8728,-1.1698,-1.5109,0.3835,-2.229,0.6477,-1.2727,-0.3905,-2.3944,-2.6111,-2.5956,-0.4641,-1.9371,-2.1137,0.6257,-0.7555,-1.3765,1.6764,-1.216,-0.7889,-0.2291,-1.7522,-1.9036,0.258,-0.3013,-0.9371,-0.8594,-1.6232,-0.4,-0.6431,-0.3697
26,-0.3976,-0.5238,-1.4614,-3.4244,-0.3571,-0.4407,0.1337,-1.631,-1.6358,-1.5737,-0.6728,-2.6015,-1.3534,0.1591,0.0791,-3.7616,-2.0036,-2.0672,-0.5856,-0.5219,-2.9987,-0.0166,-0.647,-1.5292,1.7039,-0.1994,-0.0327,-0.8271,-1.9864,-1.279,0.2025,-0.1856,-1.4181,-1.771,-1.8909,-1.5161,1.8367,-1.9856
27,-0.0681,-1.6535,-2.7595,-1.7731,-0.2754,-0.5005,0.9931,-1.598,-3.3343,-2.6665,-1.0028,-1.9218,-0.9432,-1.9354,-1.7387,-2.8639,-3.0238,-1.7372,-0.5139,-2.6658,-2.0396,-1.2795,-2.0554,-1.1191,-0.972,-1.0652,-2.3958,-0.524,-1.7809,-2.2049,0.2938,-0.3718,-1.975,-2.1403,-2.2597,-0.509,0.605,-2.6657
28,-0.8875,-1.4619,-3.2955,-3.5378,0.2001,-0.4692,-1.0374,-0.8618,-0.6032,-1.4197,2.327,-3.5338,-0.6794,-0.223,-0.5356,-3.4948,-1.9422,-2.8091,-0.5936,-1.6337,-2.5182,-0.8569,-0.3761,2.0859,-0.5295,-0.5303,-1.7093,-0.2311,-2.2617,-2.5587,-0.4076,-0.6146,-0.8361,-0.4286,-2.7923,-0.865,0.9409,0.724
