,O60635,P07585,P08727,P14136,P18627,P24387,P52823,P55259,Q969V3,Q9NZV1,Q9P0M4,Q9UGM5,Q9Y653,Class Label
173,0.582,-1.6933,-0.9952,-1.1378,-0.8416,-1.9384,-1.148,-1.3859,-0.5365,-1.5255,-1.303,-2.2026,-1.9681,0
174,-0.3751,-2.0422,-1.841,-0.7562,-0.2116,-2.6299,-2.1511,-1.9725,-0.2058,-1.3742,-0.9682,-0.3144,-2.2727,0
175,-0.4569,-2.6541,-1.776,-1.1244,-0.8194,-2.9074,-0.9016,-1.9039,-0.6484,-1.8505,-2.3872,-1.6075,-2.3874,0
176,-0.3914,-1.9012,-2.8834,-1.1987,-0.8052,-2.2886,-1.1411,-1.0827,-0.3759,-0.8854,-1.5061,-2.4187,-1.4977,0
177,-0.5839,-1.8917,-0.4537,-1.2173,-0.1767,-1.8755,-0.405,-0.2525,0.0325,-0.9884,-1.3533,-1.2656,-1.8507,0
178,-0.7539,-1.5273,-0.8603,-1.1382,0.8122,-2.2207,0.3342,-2.4194,-0.5786,-1.548,0.9099,-1.9316,-0.8346,0
179,-0.31,-2.6815,-1.1754,-1.2288,-0.9166,-2.0185,-0.9135,-0.944,-0.0007,-1.3405,-1.5784,-2.9797,-2.6046,0
180,-0.262,-1.8269,-1.1713,-0.9239,-0.1222,-2.3915,-1.0748,-1.4789,-0.3393,-1.7301,-0.8715,-1.3294,-2.4204,0
181,-0.3483,-2.162,2.4806,-0.4614,-1.4195,-2.2039,-0.5575,-0.5331,0.1894,-1.3531,-1.7198,-3.5831,-1.7619,0
182,-0.6261,-1.4998,0.6802,-1.6085,0.2921,-2.1919,-0.3619,-1.9089,-0.1015,-0.9994,-2.1263,-1.6024,-1.4687,0
183,-0.796,-2.689,1.2653,-1.4003,-0.1153,-2.3834,-0.268,-0.1741,-0.0013,-1.2852,-0.8919,-1.8419,-2.0024,0
184,-0.6156,-0.981,-1.4837,-0.4409,-0.9964,-2.3072,-1.4513,-1.5998,0.2908,-1.4171,-1.7224,-1.928,-2.5932,0
185,-0.1887,-1.9764,3.7452,-1.1968,0.439,-2.5055,1.4992,3.0477,-0.3018,-0.5409,0.9227,-3.3407,0.2318,0
186,-0.564,0.3794,2.9714,0.9134,2.5342,-1.8884,2.4421,0.32,-0.5972,-0.4404,2.8034,-2.5192,-1.1193,0
187,-0.6915,-1.161,2.4895,0.1918,-0.0113,-1.6455,-0.3654,-1.1949,-0.2053,-0.9595,-1.1919,-1.1372,-2.1545,0
188,-0.4765,-0.61,-0.0571,-0.4435,0.1978,-2.4465,1.3189,-0.1633,0.0705,-0.1016,-0.2053,-3.0868,0.0054,0
189,-0.6271,-2.0074,-1.5783,-1.1756,-0.8633,-2.9436,-1.3178,-2.4301,-0.3116,-1.3933,-1.961,-1.5045,-2.1215,0
190,-0.5892,-1.6852,1.5082,0.2499,-1.2908,-1.823,-0.4685,-1.8664,-0.0859,-1.2839,0.0944,-1.3834,-1.9788,0
191,-0.4078,-1.9847,1.2012,0.0227,-0.0442,-2.2101,-0.5552,-0.9189,-0.2866,-0.9117,-2.3472,-1.5485,-1.1604,0
192,-0.2667,-2.5552,-0.8201,-0.6521,-0.369,-2.1875,-1.2434,-2.1221,-0.6063,-1.5306,-0.4336,-2.1395,-2.2373,0
193,-0.4148,-0.9791,0.798,-1.0108,0.4551,-2.08,-0.1226,-1.294,-0.6132,-0.6312,-0.1493,-1.5385,-1.0166,0
194,-0.5096,-2.1885,1.0998,-0.7625,1.0231,-1.338,-0.061,-1.1075,-0.4856,-0.7716,0.0749,-0.4244,-1.5974,0
195,-0.3998,-0.7779,-0.1394,-0.0346,-0.1645,-2.7133,-0.4417,-0.3335,-0.5417,-1.1875,1.0072,-2.6796,-0.0822,0
196,-0.8124,-2.2819,1.2102,-0.9749,-0.204,-0.9444,-1.4646,-1.3195,-0.2906,-1.4424,-0.7116,-2.2536,-1.3129,0
197,-0.4451,-1.7354,-0.3672,-0.0315,-1.1362,-2.7734,-0.3718,-0.6935,-0.7495,-1.0916,-0.6987,-2.7349,-1.8599,0
198,-0.8196,-2.3053,-0.365,-0.1153,0.1899,-2.0425,-0.7689,-2.2084,-0.089,-1.126,-1.1718,-1.2191,-2.0619,0
199,-0.3911,-1.9267,0.2889,-1.0597,0.1509,-1.9555,-0.5585,-1.686,-0.4678,-1.4846,-1.1687,-1.2444,-3.3895,0
200,-0.4731,-2.4416,-2.8218,-1.3903,-1.1547,-3.0751,-1.4197,-1.2227,-0.1313,-1.4101,-1.7661,-2.0925,-1.5023,0
201,-0.3805,-1.9225,0.272,-0.7961,0.2501,-1.8143,-1.039,-0.6734,-0.6727,-1.0795,-0.9532,-2.5553,-2.1389,0
202,-0.5498,-1.8646,0.5298,-0.6377,0.5963,-1.8938,-0.0838,-1.9877,-0.2437,-0.9859,-1.9706,-1.295,-2.4532,0
203,-0.1674,-0.6369,1.6266,-0.3354,0.7475,-2.303,-0.9221,4.0274,-0.4612,-0.2841,1.1923,-2.9331,-2.691,0
204,-0.5747,-1.2349,-0.4849,-0.4408,1.4174,-2.1551,-0.2801,-1.713,-0.6967,-0.8339,-0.5128,-2.3298,1.3561,0
205,-0.6316,-1.7602,-0.6938,-1.6611,0.0446,-1.9883,0.6007,-1.9656,-0.3485,-0.9085,-1.3018,-2.158,-1.7102,0
206,-0.5231,-1.9677,2.0517,-0.699,-0.5289,-1.9797,-0.8075,-1.1185,0.1171,-1.022,-0.6518,-2.9668,-0.2482,0
207,-0.562,-0.3699,4.6708,-0.4811,0.6561,-3.3001,0.8774,6.0037,-0.3292,-0.0792,0.146,-2.2602,1.3828,0
208,-0.8339,-1.3826,1.5612,-0.7525,-0.2494,-2.3644,-0.2362,2.2262,-0.6875,-1.0278,-1.8198,-2.1239,-1.6762,0
209,-0.7159,-2.5529,0.2864,-0.8904,-0.3745,-2.4245,-1.1716,0.4152,-0.4029,-1.1708,-1.6364,-2.4361,-1.9502,0
210,-0.6415,-1.3865,0.5518,-1.4545,-0.1474,-2.2489,0.1072,-0.8722,-0.407,-0.8494,-1.1047,-2.0471,-1.3141,0
211,-0.5845,-1.2478,-1.4268,-1.7148,-0.5546,-2.567,1.1996,0.3339,-0.068,-0.9422,-1.5249,-2.7514,-2.0374,0
212,-0.595,-1.4662,2.1315,-1.0023,-0.0412,-2.0396,0.5521,-0.1436,-0.5137,-0.3706,-0.2048,-1.6875,-1.5841,0
213,-0.4744,0.0562,0.3907,0.0635,0.8393,-2.0399,-0.3198,-0.3392,-0.2942,-0.7901,1.0674,-2.0634,-1.8495,0
214,-0.3995,-3.117,-0.0682,-1.5555,-0.1451,-2.1944,-0.9474,-1.9127,-0.078,-1.9468,-1.8769,-1.7082,-2.3257,0
215,-0.2898,-1.9958,-0.4441,-1.1417,0.2138,-2.7546,-1.2171,-0.9349,-0.4597,-1.5394,-1.7206,-1.2278,-2.1518,0
216,-0.431,-2.2149,-0.8834,-1.3092,-0.1915,-2.399,-0.6925,-0.9349,-0.2449,-1.2165,-2.3948,-1.569,-1.8051,0
217,-0.2308,-1.9175,-0.2661,-0.8775,0.3311,-1.8085,-1.0519,-1.3226,-0.4923,1.2584,-0.0627,0.1824,-1.6532,0
218,-0.4885,-2.656,-2.2283,-1.4984,-0.8951,-2.6113,-1.4796,-2.609,-0.1683,-1.814,-1.3403,-1.8153,-3.0713,0
219,-0.4121,-1.6065,-0.9677,-0.821,-0.9024,-2.4375,-1.6213,-0.1068,0.0201,-0.8745,-0.5984,-3.1447,-0.4295,0
220,-0.5011,-2.4236,-1.5938,-0.4761,-0.8111,-4.8141,-0.5163,-1.0168,-0.1173,-0.8795,-2.973,-1.9943,-1.725,0
221,-0.4679,-1.1345,-0.1744,0.0507,-0.1376,-1.1425,-0.6588,1.2133,-0.163,-1.0773,-0.5366,-1.463,0.014,0
222,-0.2813,0.2205,1.1433,0.3606,0.5166,-1.8221,1.8225,-0.869,-0.3662,-0.5628,0.6575,-3.4289,-0.0208,0
223,-0.2138,-1.6871,1.4842,-1.347,-0.2922,-2.4077,-1.2969,-1.4903,-0.4927,-1.1737,-0.7019,-2.2464,0.266,0
224,-0.6715,-0.261,-0.9386,-0.1502,-0.1186,-1.792,0.2181,-0.8512,0.3541,-0.0672,0.6627,-2.2472,0.6285,0
225,-0.3136,-1.787,0.7062,-1.0638,-0.3725,-3.032,-0.207,1.2416,0.7147,-1.2185,-1.6607,-2.4358,-1.7473,0
226,-0.4264,0.8885,4.8613,-0.0109,1.5526,-0.5468,1.85,1.4402,-0.388,0.1766,2.1852,-2.0551,-0.3393,0
227,-0.4343,-0.9695,-0.4097,-0.8144,0.3855,-2.3628,-0.9173,1.7674,-0.3744,-1.1915,0.5495,-2.4369,-0.6117,0
228,-0.5479,-1.5764,0.0615,-1.8699,-0.6808,-2.0358,0.015,-1.3909,-0.1851,-1.1172,-1.9041,-2.3416,-0.3792,0
229,-0.5404,-1.2014,0.8759,-0.4767,-0.5682,-0.9751,4.8475,-1.9408,0.3018,-1.5252,2.0649,-1.8198,-1.3295,0
230,2.5645,-1.3667,0.7918,0.0161,-0.2724,-2.1606,0.1138,0.4009,0.0165,-1.2551,-0.9737,-3.1919,0.3587,0
231,-0.5546,-1.7004,1.8826,-0.1819,-1.9657,-1.7712,-1.2688,0.7611,-0.4345,-1.1566,-0.9284,-1.4215,-0.9199,0
232,-0.8264,-2.275,1.3888,-0.8314,0.2068,-1.7943,0.0791,-0.804,-0.3977,-1.4291,-1.5299,-2.0213,-1.5679,0
233,-0.4053,-0.8034,0.9492,0.2124,-0.1929,-2.8362,-0.1659,1.6618,-0.9338,-0.8578,-1.9186,-2.791,-1.9356,0
234,-0.1656,-1.6928,-1.7673,-0.7276,-0.8687,-2.5865,-1.5571,0.6538,-0.2677,-1.7514,-0.909,-2.5992,-2.3302,0
235,0.0985,-1.3366,2.2726,-1.0886,-0.4788,-1.3715,-1.2983,-1.035,-0.5808,-0.7723,-1.5282,-2.2535,-1.4815,0
236,2.5832,0.3118,4.6509,0.3109,0.7904,-0.6362,2.725,1.9989,-0.2336,0.5392,0.452,-2.1896,-0.666,0
237,-0.439,-2.3467,-1.0424,-0.8605,-1.0683,-2.4243,-0.2255,-1.4486,-0.2049,-1.802,-2.1372,-1.9002,-1.3697,0
238,-0.6015,-1.7507,1.4132,0.0784,0.9145,-1.1149,-1.1252,-1.5968,-0.2616,-1.0499,-0.095,-1.7989,-0.0376,0
239,-0.4727,-1.7746,0.6413,-2.0368,-0.3167,-1.8543,-0.1943,0.8123,-0.0207,-1.0105,-0.2284,-2.3799,-2.1102,0
240,-0.1342,-1.7643,-1.5509,-1.6885,-0.0821,-3.401,-0.6939,-0.9905,-0.1169,-1.2306,-0.6727,-1.8369,-2.4452,0
241,-0.7449,-1.8898,-1.6307,-0.4354,0.7393,-2.596,-0.3747,-1.2203,-0.6836,-0.8649,0.1474,-1.7307,-2.4727,0
242,-0.6592,-1.3589,3.0085,0.0086,1.9002,-1.5561,1.1762,-0.0762,0.6276,0.3248,-0.8709,-2.4815,1.5284,0
243,1.3307,-2.039,2.9727,-0.2354,-0.7789,-1.9709,-0.5926,2.7181,-0.4419,-0.8561,-2.0206,-3.099,-1.28,0
244,-0.4372,-0.8861,2.6116,-0.4347,-0.2636,-2.3765,1.1418,-0.1737,-0.2764,-0.4837,-1.6124,-3.0397,-1.2362,0
245,-0.5534,-1.1561,0.5446,-0.8332,-0.7485,-1.9959,-0.3912,-0.6017,-0.4351,-0.9346,-0.4176,-1.2742,-1.3727,0
246,-0.7799,-1.567,1.1697,0.9013,-0.1645,-1.7556,0.2014,-0.3556,0.0719,-0.7781,0.9284,-2.1163,-1.4503,0
247,-0.165,-2.6332,0.6623,-0.4319,-0.4968,-2.2713,-0.8741,-0.2372,-0.3547,-1.3312,-0.0481,-3.1223,-1.4376,0
248,-0.5012,-2.0581,-1.1925,-0.6106,-1.5193,-1.8996,-0.322,-1.7346,-0.1438,-1.36,-0.7045,-3.1597,-0.9607,0
249,-0.1674,-0.9147,4.3201,-1.9582,0.4157,-1.7402,3.0223,1.8237,-0.2232,-0.1708,-0.4167,-1.8436,0.7917,0
250,-0.843,-2.2792,-0.9551,-1.5802,0.03,-2.4034,-1.595,-0.9601,-0.0211,-1.5412,0.2613,-1.1929,-2.683,0
251,0.329,-2.0816,-2.2481,-0.622,-1.9511,-2.3471,-1.3351,-0.0516,-0.3117,-1.6393,-1.8177,-3.2184,-0.9196,0
252,-0.5403,-1.4421,-0.3987,-0.6082,-0.479,-2.9984,-1.146,-1.9024,-0.25,-1.2807,-0.7994,-1.6698,-0.8382,0
253,-0.3982,-1.9859,4.8389,-0.4913,0.4336,-1.7171,0.7578,-1.5352,-0.6079,-1.1493,-0.1961,-2.1951,-1.3867,0
254,0.1711,-1.7059,3.262,-1.5474,-0.1051,-1.8495,-0.4037,-0.5491,-0.074,-0.8786,-1.8355,-3.1318,-0.3358,0
255,-0.4079,-1.006,-0.5266,0.0641,-0.1334,-2.0325,-0.292,0.782,1.0009,-0.1503,-0.522,-2.2702,-0.8892,0
256,-0.4426,-1.144,0.9168,1.1843,-1.449,-2.7104,0.9662,1.5133,-0.0674,-1.71,0.6449,-3.1559,-1.4814,0
257,-0.2002,1.4063,2.5641,3.2035,0.6889,-2.0945,2.6497,2.1509,0.4958,0.4178,0.9179,-3.7555,0.3014,0
258,-0.639,-1.5039,1.4685,-0.5045,-0.1105,-2.007,-0.2982,-1.1021,-0.6113,-1.2826,-1.1212,-1.2501,-1.6773,0
259,6.8982,-0.2906,1.8321,-0.3588,0.0154,-2.261,0.5266,1.2085,-0.4125,-0.8354,-0.3957,-2.8872,-0.0211,0
260,-0.4767,-0.7283,0.1588,-0.3863,-0.2822,-2.2908,-0.2943,-0.939,-0.5522,-0.502,-1.6236,-2.6147,-1.6413,0
261,-0.6979,-2.5549,-1.8721,-0.9641,-0.3817,-1.9589,-1.1821,-0.8217,-0.3104,-1.8103,-1.3773,-1.3006,-2.59,0
262,-0.5469,-2.5791,-2.5068,-1.3532,-2.0829,-2.428,-2.4139,-2.3699,-0.7277,-2.0554,-0.7971,-0.3269,-2.5395,0
263,-0.1739,-1.4613,0.2665,-0.1035,1.6869,-2.7402,-1.4115,-0.9989,-0.569,-0.5699,-0.4166,-2.3477,-1.2562,0
264,-0.2912,-1.2353,3.7588,0.4032,0.0305,-2.29,0.3554,0.2681,-0.2715,-0.1883,-0.9749,-1.7089,-0.9806,0
265,-0.6262,-2.2763,1.6836,-1.0501,0.256,-1.1618,-0.577,-0.7369,-0.5677,-1.0687,-0.9649,-2.5391,-1.8882,0
266,-0.3858,-2.0107,-0.7572,-0.1924,-0.4679,-2.1433,-1.1682,-0.1907,0.1077,-1.5172,-0.6773,-2.5097,-2.182,0
267,-0.4084,-1.3693,0.3367,0.2597,0.1422,-2.6113,-0.8643,-0.7132,-0.4491,-0.8724,-1.8825,-1.3883,-1.8288,0
268,-0.6894,-1.7936,0.991,-1.1815,-1.7074,-1.5662,0.2154,-0.6754,-0.4951,-1.0649,-1.0684,-2.2914,-2.1164,0
269,-0.5712,-0.0057,0.027,-0.3481,-0.0042,-2.5008,0.2312,0.1305,-0.4107,-0.509,-1.0475,-1.743,-1.6649,0
270,-0.3759,-1.169,2.1117,-0.6504,-0.2948,-1.7721,0.2213,0.0172,-0.3518,-0.6467,-1.2686,-2.2114,-1.0788,0
271,-0.5167,-1.3396,-0.3474,-1.582,-1.499,-1.6899,1.017,-1.2349,0.2907,-1.6808,5.2428,-3.015,0.641,0
272,-0.3792,-2.574,-0.3752,-1.565,0.4285,-3.1128,-1.4633,-2.631,-0.5775,0.3816,-0.9808,-0.5783,-2.9659,0
273,0.8684,-2.0258,2.8627,-0.5791,-0.7689,-2.1673,1.3804,-0.429,-0.2658,-1.0222,-1.2762,-2.6675,-2.042,0
274,-0.3458,-1.2329,1.3728,0.1148,0.682,-3.1067,-0.5443,-0.2656,-0.6038,-1.3292,1.027,-2.1569,-0.623,0
275,-0.3347,-1.9165,-0.0675,-0.4094,0.4057,-2.1191,-0.4043,-0.6307,-0.692,-1.0773,-1.8045,-2.2606,-1.2257,0
276,-0.5445,-1.5952,-2.2758,-0.9785,-1.5254,-2.1606,-1.1523,-2.1068,-0.4202,-1.5586,-1.9705,-1.4744,0.2556,0
277,-0.4362,-1.7317,0.4965,-1.7963,-0.3901,-1.9898,0.1105,-1.9259,-0.3343,-1.0144,-0.9486,-0.8066,-1.9615,0
278,-0.5202,-2.3186,-1.7202,-1.2423,-0.7967,-3.1366,-1.0771,-1.6704,-0.5302,-1.5363,-1.1831,-1.673,-1.8903,0
279,-0.2841,-1.5423,0.7426,-0.9795,-0.4422,-2.1753,-0.9144,3.0019,-0.7176,-0.9352,-0.7536,-2.4066,-1.5284,0
280,-0.42,-1.8901,1.2269,-0.2105,0.1489,-2.1361,0.4446,-1.4289,-0.1653,-0.7193,-2.2363,-0.7416,-1.0064,0
281,-0.7117,-1.0279,1.7551,-0.7096,0.2526,-2.3772,0.4536,-2.297,-0.0425,-0.6637,-1.3892,-1.7983,0.9456,0
282,0.0733,1.0033,0.7772,0.4527,1.9423,-2.7317,0.1676,0.9806,-0.4987,-0.0346,-0.9124,-1.5752,1.9186,0
283,-0.6361,-1.7306,-1.6901,-0.8989,-1.4899,-2.1591,-0.0779,-1.372,-0.5422,-1.3331,1.6805,-2.5444,-0.7999,0
284,-0.4396,-2.3781,-1.8826,-0.9824,-0.5558,-2.5371,-1.1465,-2.0804,-0.6035,-0.9763,-1.8455,-2.1839,-1.6067,0
285,-0.8635,-2.1795,-1.8777,0.2623,-0.4192,-3.505,-1.3392,-0.7965,-0.4045,-1.1776,-1.8469,-2.8137,-1.7769,0
286,-0.5786,-1.6297,1.8701,0.1511,-0.1701,-1.5417,-1.0559,-1.8628,-0.3762,-0.4748,-1.2494,-3.5413,0.0735,0
287,-0.6472,-1.9653,0.9275,-1.3855,0.0724,-2.1627,-0.532,-1.6582,-0.6666,-1.0214,-0.7069,-1.5953,-1.4617,0
288,-0.676,-2.4097,-0.1743,-1.3203,0.0941,-1.4545,-1.0062,-2.4216,-0.4731,-1.0973,-1.5811,-0.8282,-1.9708,0
289,-0.3121,-2.0246,0.5301,-0.7904,-0.5087,-1.5963,-0.538,-0.4733,-0.3533,-1.5284,-1.152,-1.7286,-2.5807,0
290,-0.4578,-1.6006,1.8078,-0.0877,-0.1645,-3.3704,-0.0854,-1.2557,-0.1997,-0.8791,-2.0257,-4.0671,-1.3954,0
291,-0.4138,-1.9713,2.7839,-1.3465,-0.5982,-0.794,-0.3551,-0.5979,-0.7011,-1.3211,-0.96,-1.5669,-1.7137,0
292,-0.6892,-1.5704,-1.6856,-0.9906,-0.8478,-2.917,-0.9493,-1.6455,-0.4654,-1.4241,0.77,-2.5073,-2.2534,0
293,-0.3626,-2.2105,0.2632,-0.3812,-0.0297,-2.318,-1.0269,-0.8771,-0.4017,-1.4594,-1.7072,-1.8336,-1.9853,0
294,-0.5965,-2.2615,-1.5538,-1.6829,-0.6992,-2.383,-1.4356,-1.5593,-0.5517,-1.3129,-2.1149,-1.2508,-2.2718,0
295,1.3244,-0.9263,1.7087,0.0326,0.7845,-2.3386,-0.251,-0.91,-1.0061,-0.3907,1.4212,-2.5861,-0.2377,0
296,-0.5311,-0.4382,0.4351,-0.6654,0.3629,-2.4495,0.7121,0.2987,0.067,0.0816,-1.2606,-1.9931,-1.2168,0
297,0.1849,-1.9182,1.1945,0.5595,-0.3666,-1.6055,-1.4749,0.2963,-0.2326,-0.5979,-0.095,-2.2108,-2.0489,0
298,-0.5367,-2.253,-1.4254,-0.8873,-1.6527,-1.9976,-1.2059,-0.8368,-0.0168,-1.8146,-0.7367,-1.819,-2.3928,0
299,-0.2992,-1.8455,2.081,0.035,0.0948,-1.3967,-0.3943,-0.9185,-0.5596,-0.7873,-0.6777,-1.4664,-0.1327,0
300,0.2499,-1.6698,-0.5413,-0.2783,-0.4578,-2.4758,-0.7358,-0.3089,-0.542,-1.2361,-1.728,-1.9645,-1.3289,1
301,1.0006,-1.7183,2.3744,-0.8727,0.4496,-2.2803,0.2492,-0.7648,-0.8465,-0.7222,-1.293,-2.3505,-1.5457,1
302,1.2467,-1.3357,3.7423,-0.5701,-0.429,-1.5511,0.6477,1.7489,-0.5198,-0.5686,1.0042,-2.0505,0.7337,1
303,-0.612,-0.2333,-0.9349,1.0051,1.1119,-2.6342,0.0309,-0.7026,-0.5592,-0.2057,4.271,-5.157,-1.1411,1
304,5.2078,-0.3897,-0.1269,-0.6312,-0.3331,-2.3655,-0.0671,1.4209,-0.3332,-0.3018,1.0018,-2.2462,1.2965,1
305,-0.6776,-1.8491,1.0319,-0.6438,-0.8216,-1.6813,-0.3764,-0.317,-0.6566,-0.539,-0.7777,-2.3959,0.1129,1
306,-0.4551,-2.0934,3.4654,-0.7275,0.0033,-2.56,0.2633,-0.4432,-0.7665,-0.7823,-0.3823,-2.9718,0.1339,1
307,-0.5284,0.4121,3.033,0.7766,0.8349,-2.4365,-0.4539,0.2356,-1.0092,-0.6008,0.8902,-3.7308,-1.0914,1
308,-0.5389,-1.328,1.4563,1.437,0.7887,-2.9981,1.07,5.1099,-0.5483,-0.0454,0.8112,-4.0363,-0.4369,1
309,-0.4093,0.0911,0.9731,0.0446,0.9527,-5.1991,0.0009,5.6295,-0.0581,0.8829,2.0805,-4.1356,0.6329,1
310,0.5287,0.8285,4.4975,0.3775,2.4728,-3.0234,2.9389,0.5655,-0.0948,1.1156,2.8119,-4.9678,0.0035,1
311,-0.4966,-0.9168,3.3268,-0.5245,1.3253,-2.5019,1.6184,-1.8982,-0.6373,-0.3003,-0.834,-3.0488,-0.241,1
312,-0.3011,-1.4345,-0.1735,-0.1688,0.284,-3.1573,1.6595,0.5176,-0.2935,-1.0624,3.6428,-2.8282,0.4174,1
313,0.5863,-0.6767,3.4129,0.0769,0.1456,-1.8852,0.9809,2.4893,-0.3356,-0.3573,2.9789,-3.7893,0.1196,1
314,-0.5093,-1.3301,3.0675,-0.4493,-0.7954,-3.6534,0.5496,1.2624,-0.7414,-1.1606,-1.8018,-2.8445,-0.6587,1
315,0.129,0.2764,1.0462,-0.8922,1.4779,-1.1579,0.1294,1.2068,-0.3933,0.0198,1.7462,-1.6279,0.1842,1
316,-0.684,0.751,1.2924,0.2367,3.7989,-3.956,2.794,5.5642,-0.1598,1.354,-0.161,-2.5834,2.7754,1
317,-0.1071,-1.154,1.0797,-1.3886,-0.0049,-3.056,0.5661,3.1341,-0.2028,-0.1613,0.9467,-4.122,0.2672,1
318,1.5411,-1.9434,2.5885,-1.0272,-0.7702,-1.9807,-0.1993,0.7016,-0.3987,-1.3188,-1.2963,-3.6265,0.1722,1
319,-0.3054,-1.7186,-1.2033,8.782,-0.3721,-1.6993,1.1592,-0.4189,-0.5539,-0.575,-1.032,-1.2001,-0.0193,1
320,-0.5514,-0.2639,1.3841,0.7103,1.6662,-2.2082,4.3898,-0.7026,-0.9836,0.0612,2.9356,-2.5574,1.1661,1
321,-0.2398,-0.2643,0.8616,0.546,-0.4627,-2.3632,-0.2343,0.0355,-0.7376,-0.8406,-1.472,-3.5301,-0.0923,1
322,-0.4926,0.2798,3.7999,1.2795,1.5873,-1.861,1.2751,0.4695,-0.3395,0.231,0.6027,-2.2869,-0.6469,1
323,-0.3746,-2.1492,0.2884,-0.9873,-0.7883,-2.807,-0.4534,3.5062,-0.2614,-1.3579,-0.9271,-3.6548,0.5213,1
324,1.6089,-0.8433,-0.5175,0.405,-0.2291,-2.3002,-1.3455,2.7313,-0.0358,-0.4399,1.324,-5.0231,-1.0597,1
325,-0.4779,-0.0499,-0.8984,0.232,0.8127,-3.2946,-0.5249,-0.9876,-0.5644,-0.3586,0.8627,-2.8858,0.4132,1
326,-0.1355,-1.8284,0.3528,-0.7687,0.0117,-2.6299,-0.7768,-1.7154,-0.4437,-0.8436,0.7799,-2.522,-1.0091,1
327,-0.2589,0.1748,2.9916,0.1786,1.2174,-2.9601,3.0761,1.5323,-0.3116,0.3091,3.7128,-2.2226,0.1431,1
328,-0.3704,0.0934,3.3264,-0.1316,-0.7279,-2.9998,3.8266,-0.6327,-0.1953,-0.403,2.2019,-2.2896,-0.7045,1
329,-0.3265,-0.5505,1.7968,0.406,1.1415,-1.9239,0.2057,-0.1362,-0.0721,-0.5166,0.4751,-2.4632,-0.0404,1
330,-0.7934,0.3543,1.5541,0.2414,0.8726,-0.4131,2.7772,-1.385,-0.251,0.1189,1.7791,-2.0018,1.4798,1
331,-0.4078,0.384,5.1411,0.7328,0.814,-3.3332,3.3672,2.5554,-0.4161,0.1133,0.4361,-2.7944,0.6061,1
332,-0.6952,-2.4301,-2.2315,-1.9605,-0.4769,-2.3405,-0.8906,-1.8216,-0.6983,-1.4375,-1.9502,-1.9722,0.6181,1
333,4.4864,0.6448,1.2974,1.3702,1.4091,-1.3735,0.1199,1.6056,-0.4754,0.5809,1.7063,-4.1992,-0.5389,1
334,4.0726,-1.1097,3.2954,-0.4265,0.0586,-2.8171,1.8152,0.8893,-0.1457,-0.1428,-1.4101,-1.3051,-0.6206,1
335,-0.3644,-1.2406,2.9659,-0.5282,0.8714,-3.2889,0.238,-0.3508,-0.7516,-0.5573,-1.2618,-2.0838,0.2267,1
336,0.2041,-0.3377,1.744,-0.6059,0.0229,-2.6402,0.4851,0.7852,-0.4305,-0.5591,0.0351,-2.7695,0.7177,1
337,-0.1947,0.839,3.8247,3.8622,0.6798,-2.3632,1.1093,2.1214,0.0423,-0.684,3.31,-3.3561,1.0332,1
338,-0.4507,-0.7789,3.8261,0.6561,1.2785,-1.9384,0.8657,-0.7243,-1.2072,-0.5148,0.3844,-3.2582,1.2588,1
339,0.3672,0.0824,4.8704,-0.4734,1.2499,-1.9707,2.3867,0.9885,-0.6422,-0.4351,1.1664,-2.9712,1.8874,1
340,1.7721,-1.6721,1.8062,-0.1533,-0.5822,-2.4051,-0.8692,0.1633,-0.6247,-1.1981,-0.7645,-2.7253,-2.4301,1
341,-0.5824,-0.5414,3.3035,-1.5574,0.5498,-2.6003,1.5468,-0.648,-0.4086,-0.9553,0.584,-2.443,1.2652,1
342,1.0917,-0.6373,1.6378,1.0758,-0.0733,-2.3618,1.2397,0.5175,-0.3328,-1.1733,-0.0589,-3.0489,-0.6997,1
343,0.0548,0.3649,4.4505,0.8472,1.2853,-2.6084,1.7518,-0.1014,-0.0702,0.6817,1.0035,-2.2663,-0.7984,1
