,O60635,P07585,P08727,P14136,P18627,P24387,P52823,P55259,Q969V3,Q9NZV1,Q9P0M4,Q9UGM5,Q9Y653,Class Label
39,-0.08,-0.2834,0.1642,-0.6277,-0.0222,-1.2206,-0.3686,-1.0227,-0.1019,-0.9892,-0.5944,-2.253,1.239,0
40,4.5702,-1.377,3.8743,-0.007,0.3349,-2.4542,0.3586,1.8285,-0.4258,-0.9667,-0.7155,-2.6021,2.2478,0
41,-0.3007,-0.6947,2.5852,0.1802,0.9496,-1.534,0.4423,-0.1938,-0.3954,-0.1586,-0.7795,-1.4584,-1.1646,0
42,-0.4644,-1.878,-0.8912,-0.3151,-1.1773,-1.8369,-0.541,-1.6665,-0.7016,-1.6108,-0.3355,-2.3588,-2.3599,0
43,-0.5068,-2.1022,-0.4527,-1.8937,-0.8317,-2.6389,-0.9577,3.2841,-0.138,-0.7753,-0.5911,-2.7195,0.6887,0
44,-0.3404,-2.1164,1.7506,-1.4149,-1.4618,-1.9049,-0.731,0.9123,-0.5468,-1.511,-1.9261,-2.7643,-0.7227,0
45,-0.3993,-1.9789,-1.2995,-0.3656,0.9316,-1.9137,-0.4975,-0.9035,-0.1314,-1.177,-2.1152,-1.2553,-1.7442,0
46,-0.8547,-2.2829,1.0837,-1.6338,-0.159,-2.1139,-1.5182,-1.6465,-0.2224,-0.908,-0.1163,-1.7617,-2.1267,0
47,-0.4684,-2.0479,1.6422,-1.3531,-1.0736,-1.0702,-0.6145,-0.3812,-0.5678,-1.2482,-1.2834,-2.0986,-2.9592,0
48,-0.4078,-1.5568,-0.2459,0.1014,-0.8372,-3.0084,-0.3974,-1.3327,-0.0662,-1.5837,0.6121,-2.2324,-1.479,0
49,-0.3992,-1.7423,1.6058,-0.476,0.2326,-1.6841,-0.674,0.2046,-0.6788,-0.5107,-1.16,-1.9805,-1.4837,0
50,-0.3396,-1.286,-1.0757,-0.2996,-1.0363,-1.6491,0.3826,-0.9311,-0.5476,-1.2718,-1.0105,-2.3245,-0.1552,0
51,-0.5603,-2.1074,-0.1823,0.3076,-0.4074,-1.827,-0.7021,0.9874,0.8064,-1.0777,-2.2708,-2.8923,-2.0301,0
52,-0.8687,-2.5379,-1.1945,-1.2921,-2.4839,-2.6059,-1.816,-1.1827,-0.1138,-2.2387,-1.6901,-0.4865,-2.5655,0
53,-0.4333,-2.6332,-0.0651,-1.2179,-0.3196,-2.2549,-0.4169,-1.9592,-0.5178,-2.332,-0.6921,-2.3085,-1.9468,0
54,-0.6557,-1.2633,2.0131,-1.362,0.4798,-1.8546,-0.0883,-1.6505,-0.3268,-0.0515,-1.114,-2.3615,-0.226,0
55,-0.564,-2.4329,1.8139,-2.7838,-1.0512,-1.8469,0.3499,-1.927,-0.4388,-1.092,-2.0408,-2.261,-2.0838,0
56,-0.1772,-0.6498,-0.7752,-0.4179,0.0161,-2.8262,-0.7558,-1.5545,-0.2169,-0.6815,-1.7687,-1.4612,-0.858,0
57,0.4,-0.2032,0.7035,0.0387,0.5736,-0.9546,0.0552,0.7749,-0.4381,0.3089,-0.9122,-2.4749,2.2999,0
58,-0.2928,-2.0416,1.986,-1.8472,-0.2909,-2.1634,0.2167,-1.6006,-0.3058,-1.2967,-1.6394,-2.1018,-2.4561,0
59,1.8752,-1.4352,2.156,0.1802,1.1504,-1.9749,-0.9835,1.675,-0.0049,0.609,-1.3007,-3.2209,0.8109,0
60,-0.2113,-1.4506,5.5691,-0.1005,-0.9113,-1.3799,2.7774,1.1285,-0.1332,-0.9888,2.9217,-2.4882,-1.7414,0
61,-0.4791,0.3713,0.3347,-0.3137,-0.2298,-3.0192,3.9282,2.351,-0.3301,0.2706,0.7957,-3.395,1.3266,0
62,-0.6029,-2.5472,-1.6798,-1.7203,-0.2018,-2.3923,-1.1544,-2.6218,-0.0466,-1.4411,-2.1539,-1.7271,-2.8154,0
63,-0.4076,-1.6951,-2.0351,-1.3854,-0.2875,-2.6789,-0.4205,-2.2016,-0.952,-1.4985,-1.2131,-1.998,-2.605,0
64,-0.5948,-0.6268,-0.2586,0.0781,-0.1434,-1.4706,-0.7384,-0.4059,-0.1823,-0.2368,0.3532,-2.2415,-1.104,0
65,-0.4875,-2.0779,0.2836,-1.0524,0.0728,-1.5235,-0.1573,-0.7528,-0.2893,-1.1002,-1.3861,-2.2709,-1.5809,0
66,0.0234,-1.4941,1.79,-0.5254,0.8097,-2.5387,0.0823,0.3622,-0.3497,-0.7568,0.4902,-1.8447,0.3121,0
67,-0.6028,-0.6235,-0.5533,-0.4961,0.5084,-1.6303,-0.5943,-1.0927,-0.2287,-0.7662,-0.2266,-1.7786,0.7486,0
68,-0.786,-1.1919,2.473,-0.6388,0.4979,-2.3199,-0.9776,-1.1528,-0.4342,-1.078,-1.2975,-1.9025,-1.6696,0
69,-0.6401,-3.0606,0.8719,-1.0101,0.5264,-1.2488,-1.1599,-1.157,-0.3881,-1.2782,-1.8218,-2.1069,-2.6205,0
70,-0.8684,-1.4969,1.4298,-0.3561,-0.9656,-0.9356,0.0122,-1.937,-0.1033,-1.3644,-1.3702,-2.0208,-1.7694,0
71,-0.4407,-2.3959,1.4226,-1.2902,0.1812,-1.9121,-0.5076,-0.7198,-0.5272,-1.2682,-1.3028,-1.0883,-1.9175,0
72,-0.1209,-1.1835,0.4519,-0.0832,0.9084,-1.8299,-0.3147,-1.1202,-0.3612,-0.3843,4.0249,-3.4009,-1.97,0
73,-0.6282,-1.7623,-0.4994,-0.4616,-1.627,-2.3624,-1.0787,-0.3242,-0.5019,-1.3079,-0.2959,-2.4955,-2.4189,0
74,-0.1697,-2.342,1.094,-0.4113,-0.4412,-2.5248,-0.6347,-1.8526,0.2059,-1.3935,-2.5424,-2.237,0.3341,0
75,-0.4743,-1.8198,0.1591,-1.4011,-0.5565,-2.3522,-0.3686,-1.1488,-0.6613,-1.556,-1.1136,-1.884,-1.1394,0
76,-0.5708,-1.9491,0.9485,-0.4923,-2.03,-3.172,-1.8331,-0.4259,-0.3655,-1.2979,-1.3096,-2.4454,-2.3592,0
77,-0.8541,-2.7689,0.1409,-0.8054,-1.2209,-1.5916,-0.7274,-1.6921,-0.015,-1.8924,-0.7157,-2.6907,-2.6135,0
78,-0.3723,-1.8284,-1.4749,0.3222,-0.194,-2.2494,-1.1365,-0.9087,-0.3272,-1.5718,-0.1074,-1.7095,-2.4789,0
79,0.7526,-2.9238,-2.5462,-0.7544,-1.5147,-2.4946,-1.4744,-1.4625,-0.7385,-1.998,-2.6879,-2.6545,-2.9338,0
