,P07585,Q9P0M4,Q9Y653
219,-1.6065,-0.5984,-0.4295
220,-2.4236,-2.973,-1.725
221,-1.1345,-0.5366,0.014
222,0.2205,0.6575,-0.0208
223,-1.6871,-0.7019,0.266
224,-0.261,0.6627,0.6285
225,-1.787,-1.6607,-1.7473
226,0.8885,2.1852,-0.3393
227,-0.9695,0.5495,-0.6117
228,-1.5764,-1.9041,-0.3792
229,-1.2014,2.0649,-1.3295
230,-1.3667,-0.9737,0.3587
231,-1.7004,-0.9284,-0.9199
232,-2.275,-1.5299,-1.5679
233,-0.8034,-1.9186,-1.9356
234,-1.6928,-0.909,-2.3302
235,-1.3366,-1.5282,-1.4815
236,0.3118,0.452,-0.666
237,-2.3467,-2.1372,-1.3697
238,-1.7507,-0.095,-0.0376
239,-1.7746,-0.2284,-2.1102
240,-1.7643,-0.6727,-2.4452
241,-1.8898,0.1474,-2.4727
242,-1.3589,-0.8709,1.5284
243,-2.039,-2.0206,-1.28
244,-0.8861,-1.6124,-1.2362
245,-1.1561,-0.4176,-1.3727
246,-1.567,0.9284,-1.4503
247,-2.6332,-0.0481,-1.4376
248,-2.0581,-0.7045,-0.9607
249,-0.9147,-0.4167,0.7917
250,-2.2792,0.2613,-2.683
251,-2.0816,-1.8177,-0.9196
252,-1.4421,-0.7994,-0.8382
253,-1.9859,-0.1961,-1.3867
254,-1.7059,-1.8355,-0.3358
255,-1.006,-0.522,-0.8892
256,-1.144,0.6449,-1.4814
257,1.4063,0.9179,0.3014
258,-1.5039,-1.1212,-1.6773
259,-0.2906,-0.3957,-0.0211
260,-0.7283,-1.6236,-1.6413
261,-2.5549,-1.3773,-2.59
262,-2.5791,-0.7971,-2.5395
263,-1.4613,-0.4166,-1.2562
264,-1.2353,-0.9749,-0.9806
265,-2.2763,-0.9649,-1.8882
266,-2.0107,-0.6773,-2.182
267,-1.3693,-1.8825,-1.8288
268,-1.7936,-1.0684,-2.1164
269,-0.0057,-1.0475,-1.6649
270,-1.169,-1.2686,-1.0788
271,-1.3396,5.2428,0.641
272,-2.574,-0.9808,-2.9659
273,-2.0258,-1.2762,-2.042
274,-1.2329,1.027,-0.623
275,-1.9165,-1.8045,-1.2257
276,-1.5952,-1.9705,0.2556
277,-1.7317,-0.9486,-1.9615
278,-2.3186,-1.1831,-1.8903
279,-1.5423,-0.7536,-1.5284
280,-1.8901,-2.2363,-1.0064
281,-1.0279,-1.3892,0.9456
282,1.0033,-0.9124,1.9186
283,-1.7306,1.6805,-0.7999
284,-2.3781,-1.8455,-1.6067
285,-2.1795,-1.8469,-1.7769
286,-1.6297,-1.2494,0.0735
287,-1.9653,-0.7069,-1.4617
288,-2.4097,-1.5811,-1.9708
289,-2.0246,-1.152,-2.5807
290,-1.6006,-2.0257,-1.3954
291,-1.9713,-0.96,-1.7137
292,-1.5704,0.77,-2.2534
293,-2.2105,-1.7072,-1.9853
294,-2.2615,-2.1149,-2.2718
295,-0.9263,1.4212,-0.2377
296,-0.4382,-1.2606,-1.2168
297,-1.9182,-0.095,-2.0489
298,-2.253,-0.7367,-2.3928
299,-1.8455,-0.6777,-0.1327
300,-1.6698,-1.728,-1.3289
301,-1.7183,-1.293,-1.5457
302,-1.3357,1.0042,0.7337
303,-0.2333,4.271,-1.1411
304,-0.3897,1.0018,1.2965
305,-1.8491,-0.7777,0.1129
306,-2.0934,-0.3823,0.1339
307,0.4121,0.8902,-1.0914
308,-1.328,0.8112,-0.4369
309,0.0911,2.0805,0.6329
310,0.8285,2.8119,0.0035
311,-0.9168,-0.834,-0.241
312,-1.4345,3.6428,0.4174
313,-0.6767,2.9789,0.1196
314,-1.3301,-1.8018,-0.6587
315,0.2764,1.7462,0.1842
316,0.751,-0.161,2.7754
317,-1.154,0.9467,0.2672
318,-1.9434,-1.2963,0.1722
319,-1.7186,-1.032,-0.0193
320,-0.2639,2.9356,1.1661
321,-0.2643,-1.472,-0.0923
322,0.2798,0.6027,-0.6469
323,-2.1492,-0.9271,0.5213
324,-0.8433,1.324,-1.0597
325,-0.0499,0.8627,0.4132
326,-1.8284,0.7799,-1.0091
327,0.1748,3.7128,0.1431
328,0.0934,2.2019,-0.7045
329,-0.5505,0.4751,-0.0404
330,0.3543,1.7791,1.4798
331,0.384,0.4361,0.6061
332,-2.4301,-1.9502,0.6181
333,0.6448,1.7063,-0.5389
334,-1.1097,-1.4101,-0.6206
335,-1.2406,-1.2618,0.2267
336,-0.3377,0.0351,0.7177
337,0.839,3.31,1.0332
338,-0.7789,0.3844,1.2588
339,0.0824,1.1664,1.8874
340,-1.6721,-0.7645,-2.4301
341,-0.5414,0.584,1.2652
342,-0.6373,-0.0589,-0.6997
343,0.3649,1.0035,-0.7984
