,A1E959,O60542,O60635,O95256,O95750,O95994,P00750,P01591,P05231,P08833,P09466,P14136,P14780,P15336,P16860,P19429,P19801,P21246,P43629,P51531,P55259,P60568,Q29980_Q29983,Q5JZY3,Q8IU54,Q8N2G4,Q92832,Q96JP9,Q9NRD8,Q9P0M4,Q9Y265,Q9Y653,Class Label
16,-0.7814,-3.0988,-0.3698,-2.4742,-1.0749,-1.4477,-0.6034,-1.3964,2.4846,0.1958,0.3015,0.381,-0.1087,-0.7132,-0.3029,-2.5828,-1.5672,-0.07,-2.5849,0.186,-0.2763,0.4418,-0.9296,-2.7045,1.2953,-0.8429,-3.3703,-1.75,-0.481,0.2867,-1.9832,0.7563,0
17,1.1151,-2.7207,-0.3803,-2.4553,-2.674,0.4398,-2.2762,0.4542,2.2088,-1.6845,0.5257,0.0492,-0.7206,-0.3047,0.9329,-2.3497,-2.2727,-0.808,-0.4155,-0.4915,-0.431,-0.2965,-2.1367,-1.9812,0.7792,-0.4284,-4.1935,-1.9721,-1.6135,1.6519,-0.5792,-0.4875,0
18,-0.6778,-1.4395,-0.5298,-0.9099,-2.3145,-0.2067,-1.3143,-1.1813,-1.8078,-0.9437,1.6973,-1.2867,-1.8273,-0.2475,-1.4307,-2.4995,-1.8789,-0.8499,-0.6836,-0.0896,0.1909,0.1199,-4.45,-2.4251,1.9018,-0.3727,-1.9576,-2.0728,-0.9927,-1.2732,-2.2604,-2.3941,0
19,-0.5346,-2.3864,0.0557,2.324,-1.7484,-0.8949,-2.632,-1.3892,-1.5662,-0.2287,-1.3807,-1.6155,0.2062,-0.461,-2.1714,-3.6085,-2.5867,-1.3627,-2.4844,0.0688,-2.35,0.1172,-1.5545,-1.4466,-0.4539,-0.2225,-2.2866,-1.9484,-0.7888,-0.9941,0.3229,-2.5527,0
20,-0.6569,-1.9347,-0.5123,-2.5068,-2.0829,4.1991,-0.1336,-1.2042,-1.6873,0.8399,1.0596,-1.5578,-0.39,-0.2044,-0.5617,-3.3278,-1.281,-0.174,-2.5851,-0.141,-1.8753,0.2532,-4.3378,-1.8663,1.9499,4.0713,-2.3801,-2.056,-1.0279,-0.8581,-1.0757,-1.3806,0
21,-0.4554,-5.3993,-0.7125,-3.1093,-3.2189,1.1062,-1.0164,-3.1099,-1.6837,-2.7426,-0.4898,-1.1081,-0.5215,-0.5718,-0.0282,-2.8816,-1.6808,-0.7618,-2.2307,-0.3865,-2.3148,0.1436,-1.2817,-2.2537,2.5028,-0.0478,-1.5086,-2.0907,-0.8135,-1.4254,-1.6399,-1.4878,0
22,-0.6527,-4.3588,-0.3379,-3.0508,-1.567,-0.2014,-2.9137,-2.1364,2.5023,-1.9215,0.4402,-1.0901,1.1859,-0.0915,1.3098,-2.748,-1.204,-0.7381,-0.824,0.0231,-2.3094,0.4399,-2.0326,-2.216,-0.2952,0.0939,-3.1253,-1.4293,0.44,-0.2189,1.0541,-2.624,0
23,0.0459,-3.1641,-0.4488,-3.0957,-0.9411,0.1148,-0.5713,-0.8645,2.3446,2.2202,-0.0346,0.6488,-0.2405,-0.4589,-0.926,-2.6625,-1.708,0.3204,-1.427,-0.1085,-1.4042,0.3267,-4.0641,-2.6831,3.4749,0.1668,-2.4211,-1.7212,-0.6322,0.0949,-0.9421,0.92,0
24,-1.0897,-3.5521,-0.5921,-2.6396,-1.7657,-0.5791,-2.8485,-1.3666,2.4936,-0.2504,5.5904,-1.3862,-0.7119,-0.9248,-0.9356,-3.429,-1.7005,-1.2446,-2.8531,0.1805,-1.6687,0.5171,-1.5126,-2.2631,1.104,-0.4102,-1.9284,-1.6825,-0.6512,-1.7853,0.8925,-2.2089,0
25,-0.1874,-4.8648,-0.4203,-1.0513,-2.9954,-0.8534,-0.4798,-1.8728,2.4931,0.3436,0.1931,0.6477,-1.8763,-0.0454,0.8134,-2.3944,-1.8302,0.0958,-2.1137,0.6257,-1.3765,0.3483,-2.04,-2.4496,1.6764,0.1342,-0.694,-1.7522,-0.5092,-0.8594,0.2045,-0.3697,0
26,-0.3976,-2.5147,-0.4407,0.4335,-2.5102,0.1337,0.9663,-1.631,2.4822,-3.5069,-1.0995,-1.3534,-0.1223,0.6286,-1.0862,-3.7616,-2.2052,-0.4357,-2.9987,-0.0166,-1.5292,-0.2751,0.2192,-2.4438,1.7039,0.0546,-1.6388,-1.9864,-0.4735,-1.771,1.7866,-1.9856,0
27,-0.0681,-4.2644,-0.5005,-1.1552,-0.5079,0.9931,-3.0577,-1.598,2.6183,-3.3602,-0.7452,-0.9432,-0.7502,-0.9057,-1.0111,-2.8639,-1.5931,-1.7363,-2.0396,-1.2795,-1.1191,-0.6163,-1.8749,-1.6736,-0.972,-0.2065,-2.3558,-1.7809,-0.3578,-2.1403,-0.2604,-2.6657,0
28,-0.8875,-3.4011,-0.4692,-2.7881,-0.211,-1.0374,-1.6363,-0.8618,3.4327,-1.5213,1.9219,-0.6794,2.169,-0.4807,2.3459,-3.4948,-2.7155,-1.7479,-2.5182,-0.8569,2.0859,-0.8567,0.0535,-1.9692,-0.5295,-0.3795,-2.4852,-2.2617,-0.7226,-0.4286,1.2207,0.724,0
29,-0.4912,-5.0914,-0.5418,-2.698,-1.7188,2.728,-1.64,-1.0557,3.8771,-0.7143,3.7525,-1.2513,-0.4074,-0.9884,-0.0934,-2.2861,-2.0135,-0.7705,-3.3922,-0.4178,-2.0896,0.1588,-2.1853,-2.0248,2.7934,0.2303,-2.4057,-1.6457,-1.09,-1.2526,-1.1726,-1.4142,0
30,-0.4334,-2.1895,-0.4103,-2.6879,-1.0859,0.4991,-1.6768,-0.7467,3.9017,-1.944,-0.2967,0.0029,0.1008,0.5465,-0.0357,0.8171,-2.1031,-1.5215,-0.5868,0.2518,-0.8248,-0.7398,-1.7593,-1.7528,1.699,-0.3251,-2.0769,-1.7547,-0.5632,-0.4277,-0.9036,-0.9516,0
31,-0.2367,-2.238,-0.2177,-2.3887,-2.9265,1.6908,-0.8661,-0.9523,3.8311,-0.9791,1.5395,0.7021,0.287,-0.175,-0.4797,-0.8234,-2.1039,-0.4888,-1.1089,0.3873,-0.9085,0.2791,-1.5536,-2.0175,1.4006,-0.2399,-2.2268,-1.6345,-0.3456,-0.7159,1.0341,-2.3992,0
32,-0.1688,-2.4882,-0.2899,-2.5553,-3.8293,1.2107,-1.5969,-1.3377,2.9826,-3.462,1.1498,-1.1469,-1.3667,1.4479,-0.3257,-2.85,-2.1442,-0.34,-2.6568,0.8084,-1.6479,0.3024,-3.8293,-1.5292,-1.2406,-0.3984,-2.2331,-1.6225,-0.4287,0.4643,-0.9546,-2.6264,0
