,A1E959,O14788,O60542,O60635,O95256,O95379,O95750,O95994,P01583,P05231,P06850,P08833,P09466,P14136,P14780,P15336,P16860,P19429,P19801,P21246,P30838,P34998,P36222,P43629,P51531,P55259,P58546,P60568,P68106,Q04759,Q12968,Q13231,Q15067,Q16552,Q29980_Q29983,Q5JZY3,Q8IU54,Q8IW75,Q8N2G4,Q8TDL5,Q8WTU2,Q92832,Q96JP9,Q9NRD8,Q9P0M4,Q9Y265,Q9Y5K2,Q9Y653
44,-0.7707,-2.9262,-3.274,-0.3404,-2.5972,-0.3581,-2.4623,2.1957,0.0394,-0.7722,-3.094,-2.2801,-0.0717,-1.4149,2.564,-0.3768,-1.2341,-2.672,-2.3369,-1.5983,-0.7766,-0.1324,1.0406,-1.8655,-0.1341,0.9123,1.6712,-0.1971,-0.0566,-0.2215,-1.0668,-2.2863,-0.4182,-0.813,-0.3793,-2.0841,1.5945,-2.0533,-0.2155,-2.2066,-3.6556,-1.3468,-1.8182,-0.8208,-1.9261,1.923,-1.9337,-0.7227
45,-0.148,-3.5365,-4.7042,-0.3993,-2.2878,0.23,-2.0991,-0.6097,0.157,-1.0532,-2.0957,-3.3232,-0.1339,-0.3656,-0.1926,-0.1615,-1.2316,-3.3833,-1.6879,-1.2628,-0.5178,-0.1201,-1.7108,-0.9482,0.6034,-0.9035,0.3215,-0.3088,-0.0093,0.1036,-1.3788,-7.1105,-0.0873,-0.4722,-2.1626,-1.9792,2.1587,-1.2634,-0.088,1.2174,-2.5514,-1.0781,-1.7818,-0.618,-2.1152,0.588,-1.4571,-1.7442
46,-0.4695,-2.8957,-1.8277,-0.8547,-1.8428,0.1497,-0.8923,0.7085,-0.2679,-1.4819,-0.4552,-1.7548,-1.3311,-1.6338,-1.1733,-0.2551,-1.8773,-2.8013,-2.1008,-1.1312,-0.9195,0.2295,-0.9932,-1.9062,-0.1892,-1.6465,-0.0793,-0.8733,-0.2725,0.2422,-0.8714,-2.3029,-0.8145,-0.215,-0.4293,-2.5092,1.6822,-1.9519,-0.3352,-1.7381,-3.6724,-1.2187,-1.2934,-1.4962,-0.1163,-1.8119,-2.614,-2.1267
47,-0.4719,-3.2184,-2.4674,-0.4684,-1.3939,-0.0639,-3.1318,-0.0611,-0.0227,-0.6228,-3.294,-0.8914,0.2005,-1.3531,1.0115,-0.3531,0.1196,-2.1427,-2.0082,-0.264,-1.035,0.0805,1.3878,-2.2292,-0.8417,-0.3812,0.1854,0.1756,0.3353,0.1446,-1.3563,-3.5193,0.2417,-0.6175,-5.8904,-2.2043,-0.6895,4.5424,-0.4407,-0.5548,-4.2432,-1.0659,-1.386,-0.7272,-1.2834,-0.9174,-1.6943,-2.9592
48,-0.4535,-3.1714,-2.2063,-0.4078,-3.1268,-0.1944,-1.0692,-0.5845,-0.0292,-1.001,-2.8289,1.7303,-0.3255,0.1014,-0.0476,-1.128,-1.0585,-3.1365,-2.0517,-0.0768,1.3626,-0.7473,-0.2404,-1.0729,-0.9999,-1.3327,0.1745,0.4039,0.1781,-0.3455,-1.1091,-1.8862,-0.4883,0.0502,-1.624,-3.0399,0.2135,-1.3931,-0.2466,-1.5402,-2.9862,-2.6351,-1.7335,-0.7006,0.6121,0.1813,0.8124,-1.479
49,-0.3122,-3.0867,-4.2978,-0.3992,-0.8103,-0.2737,-1.9455,1.0938,-0.2448,-0.5613,-2.3719,-0.0748,-1.2792,-0.476,0.1354,-0.4838,-0.8598,-3.5195,-2.0213,-0.7244,-0.2851,0.3156,-0.6138,-1.4552,-0.1024,0.2046,-0.0651,0.4232,-0.0011,0.0242,-1.4901,-2.1528,-0.5854,-0.0258,-1.8862,-2.1856,2.1712,-1.8331,-0.2777,-1.0898,-2.62,-0.4613,-1.8261,-0.9647,-1.16,-0.4816,-1.2696,-1.4837
50,-0.2738,-3.0942,-2.1052,-0.3396,-2.0932,-0.6112,-2.0247,-1.7595,-0.014,-0.7003,-3.6891,-0.3932,0.8286,-0.2996,0.4456,-0.4611,2.376,-1.9345,-1.5624,0.0009,-0.7101,0.6736,1.6883,-0.4594,0.2002,-0.9311,0.0585,0.2653,-0.1922,0.2879,-1.2447,-0.6037,0.0486,-0.257,-4.8704,-1.781,-0.0545,-1.541,-0.0703,-2.6308,-4.6802,-2.3967,-2.2291,-0.9749,-1.0105,0.0716,2.3044,-0.1552
51,-0.6622,-3.3067,-4.2562,-0.5603,-3.0011,0.5826,-2.0575,-0.9776,0.6775,2.7979,-2.1055,-1.1469,-0.02,0.3076,-0.1928,-0.1048,0.1903,-2.9966,-1.4769,-0.6819,-0.4972,0.0068,1.3924,-1.0861,0.7805,0.9874,0.0547,-0.0293,0.7427,0.3371,-0.8594,-7.8323,0.3135,-1.05,-1.4109,-2.0827,0.1939,-1.4041,-0.2354,-2.4969,-2.582,-1.3372,-1.6516,-0.122,-2.2708,0.8655,-2.1596,-2.0301
52,-0.9617,-2.9891,-3.4631,-0.8687,-0.2228,-0.0809,-2.3868,-1.9257,0.8524,3.1336,-2.3501,-0.5721,0.848,-1.2921,-0.4323,-0.2014,-0.5323,-4.0167,-1.4007,-1.2345,-0.6717,-0.2153,-1.3499,-1.6482,-0.3089,-1.1827,0.2412,0.1655,0.1355,-0.8578,-1.3706,-2.9512,-0.1076,-0.2981,-2.7957,-1.8668,-0.6844,5.3051,-0.2843,-2.4641,-4.4886,-2.1126,-1.9782,1.459,-1.6901,-1.1761,-2.3362,-2.5655
53,-0.6879,-3.7061,-2.8758,-0.4333,-2.623,-0.4922,-1.4293,-0.4963,3.3762,3.0846,-1.1151,-2.8834,-0.1989,-1.2179,-0.5887,-0.3956,-1.2542,-2.4258,-2.408,-1.8732,-0.8124,-0.1897,-1.1088,-1.3559,0.1303,-1.9592,0.1843,0.5221,0.1051,-0.1117,-1.2257,-2.3193,0.51,-0.5374,-1.9412,-2.1246,1.12,-1.3059,0.857,-0.4009,-4.4711,-1.4818,-1.6996,-0.4587,-0.6921,-1.7163,-2.3409,-1.9468
54,-0.8008,-2.8655,-3.7196,-0.6557,-2.2706,0.0963,-3.9181,2.001,0.164,1.2068,-2.5713,0.237,-0.2839,-1.362,0.9108,0.6848,-1.4084,-2.9232,-1.7572,2.5014,8.35,0.0679,0.1656,-1.1425,-0.3598,-1.6505,0.3909,-0.2388,-0.3398,0.4909,-1.2161,-6.5799,0.8379,-0.5171,0.3784,-1.5833,3.742,0.6478,-0.311,-2.8373,-1.8227,-1.4621,-1.49,-0.9229,-1.114,0.5709,-3.0322,-0.226
55,-0.7613,-3.8743,-0.916,-0.564,-2.6254,0.0764,-3.7937,3.5762,-0.1062,1.4022,-1.6053,-0.3768,-0.9187,-2.7838,0.1438,-0.5372,-1.112,-1.6874,-2.1315,-1.3482,-0.4517,-0.2554,-0.6514,-3.4199,-0.1636,-1.927,-0.0911,0.46,-0.0923,-0.1573,-1.3967,-2.2126,-0.1964,-0.3591,-1.3287,-1.9088,1.8805,-1.7815,-0.3757,-2.1509,-3.5452,-1.0408,-2.0316,-0.6855,-2.0408,-1.6045,-1.9688,-2.0838
56,-0.9456,-2.5464,-1.8215,-0.1772,-0.91,-0.5067,-1.3854,-0.5776,0.1652,1.2597,-0.9341,0.0675,0.0767,-0.4179,-0.1421,-0.6255,-1.5349,-2.7002,-2.0067,-0.3395,-0.5746,-0.0491,1.1732,-2.0691,-0.3921,-1.5545,0.2121,-0.0166,0.1175,-0.5276,-0.5942,-2.2625,-0.1982,-1.0295,-0.7038,-2.099,3.0855,-1.4058,-0.3759,-1.4352,-4.5656,-0.6743,-1.6621,-0.7946,-1.7687,-1.6212,-1.8861,-0.858
57,-0.901,-3.5223,-2.2154,0.4,-0.9131,-0.1701,-1.6769,0.6306,-0.1217,2.0771,-3.591,1.675,2.6845,0.0387,0.262,-0.3001,3.8459,-2.5782,-1.6828,0.363,1.6875,-1.3035,2.5535,-1.4686,-0.1137,0.7749,-0.1659,-0.2177,-0.2722,-0.1943,-0.827,-0.2391,-0.6351,-0.3595,0.844,-1.9561,-0.7934,-1.5789,-0.7018,-1.1511,-4.4857,-2.2192,-1.9152,-0.9189,-0.9122,2.9144,4.0517,2.2999
58,-0.719,-3.3552,-2.5984,-0.2928,-2.0517,0.1692,-1.6272,1.9179,-0.3149,1.956,-3.4082,-3.3921,-0.264,-1.8472,0.0566,-0.1927,-1.8353,-1.5645,-2.2043,-0.7348,-0.0977,0.1816,-0.9863,-1.2478,0.3876,-1.6006,0.0974,0.3437,0.0296,0.1571,-1.0216,-2.0022,0.5604,-0.6779,-1.1413,-1.9815,2.8428,-1.6899,-0.2284,-1.9137,-0.2748,-1.6259,-1.4994,0.2863,-1.6394,-0.068,-2.4138,-2.4561
59,-1.1717,-3.1314,-2.8803,1.8752,-1.6683,-0.3574,0.0565,-0.7533,1.486,1.9563,-2.9745,1.0439,1.7038,0.1802,0.049,-0.2031,0.5218,-2.9974,-2.115,-0.1989,-0.1477,0.7613,1.8884,-2.5608,0.1418,1.675,0.0714,0.2835,-0.4519,0.0395,-1.6459,-1.9764,0.0486,-0.6571,-0.9069,-2.1939,1.157,4.3237,-0.2585,-1.4388,-4.1635,-3.1185,-1.4418,-0.7809,-1.3007,-0.752,0.9341,0.8109
60,-0.2762,-2.4054,-3.6575,-0.2113,-2.6404,0.3839,-1.2287,6.985,1.2921,2.4738,-2.564,2.7252,0.5325,-0.1005,1.61,0.1389,-0.2598,1.0424,-1.3973,-0.5989,6.3448,-0.706,1.3268,-0.1157,0.7035,1.1285,0.2217,0.1444,0.7262,0.1897,-1.2813,-2.3729,0.477,0.8344,-1.7802,-1.2888,-0.6856,-0.1767,-0.059,-0.8548,-3.4156,-2.9063,-1.6507,-0.1043,2.9217,-0.4891,0.3195,-1.7414
61,0.1302,-2.9807,-2.1954,-0.4791,-1.5416,-0.433,-0.7224,-0.9476,-0.4773,1.7884,-3.5461,3.2163,1.0474,-0.3137,0.9894,0.4039,6.0139,3.5251,-1.333,3.4607,-0.2119,-0.6408,4.3997,-2.5667,0.33,2.351,0.3285,0.2808,0.0927,-0.5478,-1.5069,-1.2579,0.4123,2.4461,-0.2148,-1.7329,-1.7924,-0.0102,-0.1888,0.3409,-5.5965,-1.449,-1.9922,-0.6804,0.7957,0.1389,0.4118,1.3266
62,-0.2878,-2.4952,-2.766,-0.6029,-2.6728,-0.4094,-1.7934,-1.2681,-0.2781,1.891,-1.6649,-4.3444,0.0402,-1.7203,-1.3809,-0.6002,-1.7784,-3.0012,-1.6095,-1.7979,-1.1257,-0.337,-1.3229,-2.3338,0.452,-2.6218,0.3534,0.5546,0.1849,0.0306,-0.5978,-2.666,-0.091,-0.3995,-0.9632,-1.7917,0.8943,-2.9224,-0.1999,-4.034,0.9303,-2.1465,-1.1813,-0.4987,-2.1539,-1.1406,-2.9937,-2.8154
63,-0.6045,-3.2771,-4.7987,-0.4076,1.6143,-0.3643,-2.3567,-1.9918,-0.2641,2.0649,-1.4037,0.8977,-0.5606,-1.3854,-0.59,-0.5803,-1.4595,-3.2176,-1.6548,-1.1925,-0.4265,-0.3853,-2.1061,-2.4102,0.1904,-2.2016,0.3115,-0.2019,0.2574,-0.6713,-1.3808,-2.8566,-0.4527,-0.1698,-1.9931,-2.0637,0.5074,1.611,-0.4119,-1.6748,-3.9914,-1.5557,-1.5452,-0.6461,-1.2131,-1.0442,-1.1387,-2.605
64,-1.1882,-2.8032,-2.0158,-0.5948,-2.2263,0.0686,-1.1224,-1.1854,0.1808,1.282,-3.7107,1.8729,3.1318,0.0781,-0.4278,-0.4182,5.8237,-3.0562,-0.7361,0.2716,-0.5792,0.4299,0.6371,-1.3078,0.427,-0.4059,0.2683,0.5242,0.6203,0.2102,-1.2606,-0.5112,-0.1579,0.9654,-3.3357,-2.381,0.0156,0.8358,0.3525,-1.1376,-4.7195,-2.1667,-1.4758,-0.4995,0.3532,0.3602,4.2289,-1.104
65,0.0549,-2.8641,-4.4011,-0.4875,-2.4895,-0.2557,-2.1541,-0.0895,-0.1058,1.4159,-2.1063,-3.388,0.2145,-1.0524,0.0919,-0.8552,1.709,-2.811,-2.0923,-1.1257,-0.4458,0.0638,0.5877,-0.6816,-0.1838,-0.7528,0.2502,0.6682,-0.2799,-0.1625,-1.4202,-2.6149,-0.8072,-0.1291,-5.6083,-2.3032,2.6069,1.9274,-0.3125,-1.3119,-3.9892,-1.0216,-1.6501,-0.6214,-1.3861,4.8831,-0.9,-1.5809
66,-0.2599,-2.255,-2.4703,0.0234,-2.3165,-0.5976,-1.677,0.527,0.024,1.5541,-1.9529,0.1494,-0.4505,-0.5254,-0.7838,-0.327,-1.8813,-2.9058,-1.9716,-0.8336,-0.379,0.3248,0.4181,-1.2385,0.4742,0.3622,0.0808,-0.1266,-0.0725,0.3701,-1.0236,-1.6051,0.0679,-0.4592,-4.8505,-1.4921,1.8909,-1.7269,-0.0455,-0.3347,-4.643,-1.2172,-1.0157,-0.8467,0.4902,-0.4979,-0.8136,0.3121
67,-0.3588,-3.1725,-2.5481,-0.6028,-3.2364,0.2041,-1.5472,0.5457,0.6941,-0.153,-2.3283,-2.1855,0.2957,-0.4961,-0.0651,-0.4756,0.5591,-2.7993,-2.1121,0.4171,-0.2891,-0.1432,1.3579,-2.9874,-0.4245,-1.0927,0.1488,-0.2451,0.2508,-0.2573,-0.8958,-1.5877,-0.0199,0.2466,-1.5949,-2.2176,1.3565,-0.1489,-0.126,-1.3707,-0.4982,-3.4009,-1.6624,-0.8043,-0.2266,-1.4678,-0.8966,0.7486
68,-0.4552,-2.3999,-3.7665,-0.786,-1.9599,-0.175,-1.5973,1.8657,5.6068,-0.4056,-1.2284,-2.6334,0.2131,-0.6388,-0.8838,-0.7273,-0.3138,-3.2474,-2.3618,-0.8298,-0.8749,-0.5756,-1.6419,-0.47,0.3379,-1.1528,0.2738,0.4261,0.0608,-0.5509,-1.2264,-2.3034,0.2213,-0.5887,-3.0127,-2.1804,2.6968,-1.8358,-0.6051,-0.9671,-4.1025,-1.436,-2.0073,-0.9287,-1.2975,-1.1745,-0.9286,-1.6696
69,-0.5251,-2.5659,-2.1469,-0.6401,-1.5778,-0.3907,-2.2161,0.7937,-0.2766,-0.2014,-3.0375,-2.8681,-0.4846,-1.0101,-1.1261,-0.3543,-2.234,-3.6926,-2.3783,-1.4742,-0.4979,0.0313,-1.3325,-1.1097,-0.2896,-1.157,0.2766,0.245,-0.2246,0.0815,-1.492,-2.9903,0.3715,-0.6954,-1.4822,-2.419,1.0893,-1.6028,-0.4191,-2.2934,-2.8901,-2.5921,-2.0835,-0.8014,-1.8218,-1.0418,-1.8557,-2.6205
70,-0.6472,-2.4903,-2.986,-0.8684,-2.7821,0.0049,-1.2974,1.229,0.3643,-0.1721,-2.8368,-0.3824,-0.3221,-0.3561,1.167,-0.764,-0.6501,-2.042,-2.2239,-0.9788,4.3362,-0.2727,-0.4156,-0.935,0.1826,-1.937,0.1597,-0.0589,0.0084,2.4352,-1.1113,-1.6121,0.551,-0.5542,-1.7403,-2.4467,-0.469,-1.5809,-0.3063,-1.1624,-4.3477,-3.2997,-1.5316,-0.6663,-1.3702,-1.0813,-1.6239,-1.7694
71,-0.6208,-2.5034,-4.8711,-0.4407,-1.4329,0.2566,-3.0266,-1.289,2.6238,2.3667,-2.7966,-1.1542,-0.5198,-1.2902,-0.3896,0.1514,-0.7739,-4.345,-1.4965,-0.5065,-1.0354,-0.395,-0.8088,-2.6051,-0.4442,-0.7198,0.238,0.6603,0.0932,0.1351,-0.9221,-4.4276,0.1054,-0.6034,-2.4047,-2.1014,1.6375,2.7891,-0.1833,-1.7591,-5.4982,-1.6992,-1.1652,-0.6745,-1.3028,-0.9541,-1.6966,-1.9175
72,0.2676,-3.7178,-2.5881,-0.1209,-2.6602,0.4982,-3.0311,-1.9484,-0.5369,2.708,-2.6094,1.8237,0.6759,-0.0832,0.1121,-0.4234,-1.2852,-0.5783,-2.0998,-0.2611,0.5719,-0.1407,2.7531,-1.2928,0.4883,-1.1202,0.2349,-0.3322,-0.616,0.1719,-0.699,-7.4779,-0.0513,1.5203,-1.4375,-1.8499,1.6063,-1.7465,-0.2218,-1.82,-3.3082,-3.3957,-1.0097,-0.4501,4.0249,-1.8518,1.5565,-1.97
73,-0.8346,-2.9971,-5.5984,-0.6282,-2.9748,-0.0475,-2.0011,0.1329,1.4827,2.6944,-2.9799,2.1454,0.3999,-0.4616,-1.379,-0.6347,5.3827,-1.2869,-2.2006,-1.1687,-0.1334,-0.2956,-0.5111,-0.9061,-0.2827,-0.3242,-0.1662,0.4807,-0.0386,-0.4361,-0.9815,-2.1915,-0.1992,-0.2277,-1.0815,-2.1827,-0.0148,-1.3682,-0.4307,1.1053,-3.6964,-3.1138,-1.271,-1.0194,-0.2959,-1.2882,1.7785,-2.4189
74,-0.4848,-2.8122,-4.8336,-0.1697,-2.8899,-1.0562,-2.1003,0.799,-0.185,2.6549,-1.8709,-1.1161,-0.2258,-0.4113,-0.505,-0.5473,-1.3397,-3.3551,-1.8015,-1.3314,-0.457,-0.3453,-0.8857,-2.2238,-0.5438,-1.8526,0.1023,0.0436,-0.158,0.0027,-0.6999,-2.0375,-0.065,-0.5816,-1.3855,-2.3199,1.5101,-2.2415,-0.0364,-2.4985,-3.5042,-1.9688,-1.0401,-1.1152,-2.5424,-1.5444,-2.4257,0.3341
75,-0.6095,-3.3616,-4.7393,-0.4743,-2.8084,-0.0758,-1.8387,-0.7289,-0.7073,3.106,-2.0813,-3.8335,-0.3526,-1.4011,-0.2116,-0.4377,-1.3637,-3.256,-1.3912,-1.2284,-0.8578,0.3827,-1.071,-2.3582,-0.1327,-1.1488,-0.018,-0.4215,0.1976,0.4113,-1.2662,-4.0748,-0.0524,-0.4081,-3.3564,-1.6549,1.621,-1.8899,0.3076,-1.4503,-2.7773,-0.5848,-1.8751,-0.5135,-1.1136,-1.5992,-2.1687,-1.1394
76,-1.0255,-3.7451,-2.8443,-0.5708,-2.599,0.0628,-1.5406,2.4847,0.1261,3.2146,-2.0216,-0.4508,1.3064,-0.4923,0.0132,-0.3342,0.1257,-3.3038,-1.9461,0.1844,-0.3289,-0.0263,1.3953,-1.8974,0.3653,-0.4259,-0.04,-0.2252,0.1898,0.1689,-1.56,-3.0952,-0.0188,0.0242,-1.6281,-1.9389,-0.8323,-2.662,-0.3105,0.6111,-3.7595,-1.7167,-1.8079,-0.7556,-1.3096,-1.099,1.2692,-2.3592
77,-0.3411,-3.5901,-1.6428,-0.8541,1.9888,-0.5185,-3.3796,1.4849,0.5599,3.264,-2.0046,-2.6048,-0.6704,-0.8054,0.0395,1.6046,-2.455,-3.1917,-1.6468,-1.4753,-0.5804,-0.5345,0.1392,-1.7929,0.4075,-1.6921,0.1397,-0.3239,0.5172,0.4507,-1.369,-1.9585,0.7146,-0.7753,-4.9188,-2.3334,0.395,-1.6838,-0.2198,-1.5391,-3.2036,-1.7258,-1.7896,-0.8053,-0.7157,-0.8141,-3.4016,-2.6135
78,-0.2673,-3.1298,-1.6571,-0.3723,-1.3318,-0.6297,-1.7541,-1.4728,-0.265,3.3137,-1.5061,-3.6024,-0.4315,0.3222,-1.2074,-1.0871,0.0456,-3.4418,-2.1024,-0.3711,-0.0711,-0.0641,-1.4568,-1.155,-0.3759,-0.9087,0.1573,0.0685,0.3554,0.0897,-1.5441,-2.0644,0.1737,-0.5585,-5.6732,-1.8531,0.2103,-1.1681,0.8238,-1.9714,-3.1008,-2.0065,-1.7063,-0.7538,-0.1074,-1.15,-1.1535,-2.4789
79,0.1825,-2.9182,-2.8368,0.7526,-3.0379,-0.5626,-2.678,-0.5272,-0.287,5.6097,-3.3257,-5.3324,-0.6668,-0.7544,1.3069,-0.7697,-0.6457,-2.8613,-1.8019,-0.7029,-0.3037,0.2333,-1.2361,-1.6887,0.0099,-1.4625,0.2441,0.3088,-0.082,0.146,-1.3423,-2.0139,-0.0679,-0.7946,-1.5035,-1.9304,-0.3438,-0.4643,-0.3067,-1.9325,-2.5251,-2.0083,-1.7735,-0.7842,-2.6879,-0.3148,-2.1783,-2.9338
80,-0.3042,-2.9474,-5.6276,-0.4459,-1.5895,0.0272,-3.2446,-0.0567,-0.5074,5.6957,-1.5195,-5.5291,0.7072,-1.936,-0.4168,-0.2474,-1.8061,-2.996,-1.9385,-2.0093,-1.7609,0.0903,-2.8608,-1.9664,0.2511,-2.1725,0.398,-1.0846,-0.3946,-0.1984,-1.2588,-4.7722,-0.465,-0.418,-3.4075,-1.6883,1.1101,1.4433,-0.0103,-2.9768,-3.1404,-1.6252,-1.7417,-0.395,-1.7386,-0.5327,-3.9222,-2.9716
81,-0.6993,-3.1624,-0.2308,-0.5083,-2.525,0.0255,-3.0555,-2.2241,0.1199,5.8626,-2.2954,-1.4823,0.7893,-1.0567,1.4226,0.0553,4.0965,-3.2187,-2.327,-1.9631,1.4536,-0.2803,-0.0753,-2.0095,1.6959,-1.7372,-0.0397,0.087,0.0434,-0.0488,-1.2506,-1.1672,-0.371,-0.5109,-0.9638,-1.9907,-1.106,-0.7861,-0.4053,-0.1982,-3.8114,-2.519,1.179,-0.8376,-1.6502,-1.2552,-0.0729,-2.3585
82,-0.3674,-2.9679,-4.1587,-0.4247,-2.552,-0.025,-0.9438,-0.1236,0.3488,5.8426,-1.7037,-1.9163,-0.1405,-1.0576,-3.2371,-1.1127,-0.4584,-2.7579,-1.1556,-0.3344,0.2563,-0.2516,-0.681,-2.3086,-0.793,-1.4973,0.2619,-0.167,-0.0887,-0.2114,-0.9756,-3.7953,0.7053,-0.1739,-4.2215,-2.2813,1.011,-0.4093,-0.3693,-0.5628,-2.9413,-2.0214,-1.4581,-0.6746,-0.4439,-1.8898,0.7813,-2.1645
83,0.278,-3.6522,-3.0752,-0.3622,-1.9982,0.3427,-1.7612,-0.783,0.8448,3.5529,-1.6503,-2.879,0.3629,-1.8891,-0.3784,-1.3015,-0.9822,-3.5013,-1.4935,-0.6963,-0.415,0.2293,-1.6319,-1.3438,-0.3192,-1.1809,0.4677,-0.028,0.2636,0.8005,-0.8399,-4.7902,-0.0533,-0.3642,-4.911,-2.109,2.5592,-2.5531,0.1146,-1.8703,-2.2429,-0.8969,-1.7999,-0.4839,-2.0396,-0.4081,-2.8802,-1.0725
84,-1.1445,-2.6744,-2.9663,-0.6937,-1.7017,-1.6615,-1.6599,-0.403,1.121,3.551,-1.8784,0.4074,0.8233,-0.027,-1.905,-0.6286,0.3872,-0.095,-1.2438,-0.6535,-0.3289,-1.2973,0.4051,-2.5455,-0.0334,-1.193,-0.476,0.5091,0.4443,0.0343,-0.006,-2.8541,-0.4447,-0.423,-1.3028,-2.454,2.3139,-0.8457,0.4249,-2.3434,-3.9982,-2.6376,-2.0735,-1.0829,0.1633,0.5343,0.8208,-1.5833
85,-0.7343,-3.3395,-2.4309,-0.6603,-0.5894,-0.2839,-2.7924,-0.6725,-0.3827,3.7151,-3.5645,-1.8421,-0.0198,-0.8246,-0.2117,-0.3354,-1.9768,-3.4078,-1.8047,-1.5829,-0.7958,-0.1085,-0.4568,-3.0257,-0.2304,-1.1612,0.0901,0.5812,-0.0784,0.098,-1.1355,-2.5644,-0.2869,-0.6021,-5.6207,-2.2,1.1199,3.4235,-0.0441,-0.98,-4.3416,-1.1921,-1.3243,-1.0285,-1.7744,1.8497,-2.4074,-1.8386
86,-1.2203,-3.4628,-2.2181,-0.3779,-2.1833,-0.0829,-3.2983,0.5908,0.6117,3.6993,-2.5876,-2.1369,-0.2878,-1.7785,-0.1943,-0.6599,-4.2024,-3.1707,-2.4088,-2.0965,-0.9254,-0.402,-1.8371,-1.9989,-0.0243,-2.6236,0.321,0.4513,-0.2519,-0.054,-1.4825,-2.1684,-0.5009,-0.6159,-0.9445,-1.9351,2.1095,0.508,-0.3557,-1.8264,-2.1056,-0.7551,-2.205,-0.8482,-1.9024,-1.7841,-2.5698,-2.3192
87,-0.651,-3.629,-3.8246,-0.5437,-2.0736,0.4304,-2.5779,-0.6086,-0.015,1.8599,-0.3532,-1.5194,0.0142,-0.2792,-0.3462,-0.4385,-0.1729,-3.1448,-1.8649,0.73,-0.5129,-0.3084,1.7952,-1.8073,-0.0437,-1.5479,0.1821,-0.2705,-0.0535,0.2962,-1.3981,-2.8589,0.3237,-0.366,-0.7753,-1.7809,2.9602,-1.5293,-0.002,-1.2239,-4.0935,-1.4979,-1.4533,-1.3809,0.7143,-1.0242,-1.5169,1.5214
88,-0.4592,-2.6776,-4.0547,-0.5898,-1.6681,-0.3665,-3.4655,-1.3527,0.5482,1.9521,-2.5474,1.2334,3.402,0.574,-0.2897,-0.1027,6.1093,-1.24,-1.8905,5.0764,0.0476,-1.0244,0.6886,-1.9259,0.0545,0.8129,0.2095,0.5409,0.6631,0.4046,-1.0367,-7.6772,0.8823,-0.5423,0.5366,-1.8818,-1.3825,1.5951,-0.4946,-1.504,-5.3285,-2.7551,-1.8593,-0.526,-0.6177,-0.8384,2.3134,0.1883
89,0.1456,-3.4002,-2.6978,-0.3776,-2.6421,-0.2054,-2.7207,0.5186,-0.7481,1.9961,-1.223,-2.3467,-0.2117,-0.1049,-0.0893,-0.1219,-0.1056,-2.9421,-2.3653,-0.3438,-0.6724,-0.3122,1.8792,-1.2647,-0.1954,-0.9652,0.2938,-0.233,-0.3728,-0.651,-1.3973,-1.16,0.199,-1.6973,-1.7172,-2.3208,1.8328,3.1506,0.1815,-1.075,-3.7831,-1.5253,-1.8979,-0.5512,-1.0246,-0.828,-1.7093,-0.6337
90,-0.6212,-2.8783,-2.6669,-0.657,-2.4687,0.2894,0.6836,-1.4517,0.2237,2.0344,-2.1487,-1.72,1.4946,-0.9097,0.7489,0.3497,-1.6683,-3.87,-1.9318,-1.3645,-0.0918,-0.572,-1.5598,-0.8866,0.0838,0.2274,0.0674,0.4731,0.0392,0.5526,-1.4878,-2.7394,0.0856,-0.8934,-1.4433,-1.8576,0.2593,-1.6167,-0.049,-0.7695,-2.1736,-0.1944,-1.7485,-0.4843,-1.9363,-1.3937,-2.311,-2.5561
91,-0.7615,-2.2972,-4.6686,-0.2442,0.8294,0.1342,-0.97,-2.6457,0.0204,3.4715,-0.6327,-4.5166,0.3157,-1.2689,-0.1007,-0.3275,-1.2834,-2.0607,-1.747,-0.9144,-0.226,0.1909,-2.2032,-1.9819,0.2553,-1.4651,0.2604,-0.1603,0.2624,-0.3801,-1.5412,-3.3538,-0.3501,-0.6004,-5.4773,-2.0256,2.708,-1.4912,0.0014,-1.5402,-1.2838,-2.7485,-1.5584,-0.7939,-0.0127,0.1382,-1.6578,-1.9369
92,-0.8436,-3.5769,-2.7759,-0.5154,-2.3362,-0.092,-2.1186,0.3019,-0.266,3.582,-2.6187,-1.1406,-0.2079,-0.2169,-0.8594,-0.3375,0.2313,-3.2655,-2.2857,-1.6215,-0.9678,-0.3398,0.2763,-4.3637,0.0837,-1.6979,0.2265,0.6082,-0.0172,-0.1815,-1.149,-0.6628,0.6577,-0.1378,-0.7077,-2.2722,1.3475,-1.8053,-0.5728,-1.2566,-3.9163,-2.3435,-2.2101,-0.6874,-1.4633,-0.5738,-0.4911,-3.2921
93,-0.8179,-3.0631,-2.9761,-0.7773,-1.7347,-0.8549,-3.0665,2.4059,-0.0156,3.5762,-2.1621,-2.6211,-0.5509,-2.0712,-0.7475,0.5543,-0.2853,-2.337,-1.3611,-1.1526,-0.5052,3.5468,1.3013,-1.5003,-0.9461,-1.0726,0.216,0.1291,-0.4621,0.0565,-1.1115,-3.4451,-0.0848,-0.5248,-2.0063,-1.1033,1.7227,-1.5316,-0.155,-3.2033,-3.0534,-1.4951,-1.7866,-1.2329,-0.9805,-1.3522,-2.0602,-0.5657
