,A1E959,O14788,O60542,O60635,O95256,O95379,O95750,O95994,P01583,P05231,P06850,P08833,P09466,P14136,P14780,P15336,P16860,P19429,P19801,P21246,P30838,P34998,P36222,P43629,P51531,P55259,P58546,P60568,P68106,Q04759,Q12968,Q13231,Q15067,Q16552,Q29980_Q29983,Q5JZY3,Q8IU54,Q8IW75,Q8N2G4,Q8TDL5,Q8WTU2,Q92832,Q96JP9,Q9NRD8,Q9P0M4,Q9Y265,Q9Y5K2,Q9Y653
10,-0.742,-2.2425,-2.718,-0.5319,-0.8453,-0.1392,-1.7213,-3.8347,0.2841,2.199,-3.6522,-4.2622,2.6667,-0.6708,-0.0378,-1.0566,-1.0393,-3.3822,-1.9491,-1.8392,-1.4521,-0.6576,0.6063,-2.4791,-0.2256,-0.7049,0.1071,-0.0982,0.1664,-0.0654,-1.0211,-3.5133,-0.3299,-0.6176,-2.6529,-2.2672,-0.5778,-1.6249,-0.2514,-0.9488,-2.2905,-3.2057,-1.9575,-1.0309,-2.0576,-1.7281,-1.8434,-2.3418
11,-0.2767,-2.7057,-0.1355,0.4001,-1.5778,-0.0742,-1.5608,-0.8276,0.1691,2.0223,-1.7686,-1.1757,0.9978,-0.898,-0.6565,-0.614,3.1092,-2.6022,-1.4603,1.111,0.16,-0.0444,-0.8968,-2.8066,0.1743,-0.0926,0.1204,-0.5466,0.5192,0.5176,-0.9333,-0.5021,0.2436,-0.2992,-1.0954,-2.424,-0.1396,-1.7761,0.4304,-3.1111,-3.9976,-2.7005,-1.7447,-1.0448,-1.2532,-0.7728,-1.1034,-0.3552
12,-0.4118,-2.7755,-1.7903,-0.5338,-1.2159,-0.2135,-2.1751,-0.3466,-0.1573,2.4112,-2.7408,1.3136,0.6531,0.7451,-0.7923,-0.2674,3.629,0.1319,-1.7339,-0.9196,0.8905,-0.3124,0.3235,-2.9834,0.2127,0.5265,0.1846,-0.3207,0.2203,0.4271,-1.1545,0.2837,0.5142,-0.6555,-1.6562,-1.7633,-0.4241,-1.121,-0.4309,-0.031,-3.397,-1.8852,-1.8238,-0.4201,-0.2798,-0.7781,0.8446,0.811
13,-0.001,-2.1581,-4.9335,-0.154,0.7122,0.0634,-2.2971,-0.9311,0.2091,2.2295,-1.2461,-0.7199,0.3997,-0.4953,-0.0235,-0.4461,-0.7202,-3.335,-0.9338,-0.2195,3.4085,-0.4513,2.9634,-2.8361,0.0675,-1.9932,0.248,0.1968,0.1699,-0.807,-1.211,-0.7851,-0.0005,-0.1141,-6.1329,-0.6459,-0.5348,-1.4285,-0.1434,-0.2451,-2.9312,-2.6063,-1.773,-0.5477,-1.1169,3.4182,0.0176,-1.2235
14,-0.8099,-2.968,-4.6016,-0.6865,-2.3967,0.6045,-2.8009,-0.1885,-0.3005,2.0849,-1.5156,-1.1704,-0.3044,-0.5176,-0.3737,-0.4219,-1.1439,-2.4864,-0.7248,0.0285,-0.1085,-0.1804,1.1078,-3.7762,-0.9302,-2.0117,0.1619,-0.0812,0.1254,0.0201,-1.4159,-7.9643,0.2063,-0.815,-1.3698,-2.0156,1.1457,-1.57,-0.3111,-2.4458,-3.9627,-1.7551,-1.6523,-0.0226,-0.8708,-0.88,-2.104,0.7409
15,-0.1342,-2.5125,-1.0756,-0.5761,-2.013,-0.5387,-1.7248,-0.0034,0.4827,2.1826,-1.077,-0.4567,1.6621,0.126,0.2241,-0.6896,1.4285,-0.2009,-2.0912,0.2507,-0.8453,-0.0889,2.2468,-1.0129,0.4056,-0.819,0.1125,0.1128,0.3295,0.178,-0.7031,-2.2311,0.2263,-0.2694,-0.1558,-1.4093,0.2237,-0.9268,-0.4211,-1.0585,-4.0438,-2.6082,-2.0631,-0.6015,-0.7308,0.0877,-1.6677,0.3453
16,-0.7814,-2.7348,-3.0988,-0.3698,-2.4742,-0.4189,-1.0749,-1.4477,-0.1191,2.4846,-1.8847,0.1958,0.3015,0.381,-0.1087,-0.7132,-0.3029,-2.5828,-1.5672,-0.07,-0.2022,-0.2589,0.6925,-2.5849,0.186,-0.2763,0.2999,0.4418,0.0408,0.3177,-1.1245,-1.5172,0.3353,-0.0759,-0.9296,-2.7045,1.2953,-1.402,-0.8429,-1.9318,-3.4506,-3.3703,-1.75,-0.481,0.2867,-1.9832,0.2477,0.7563
17,1.1151,-2.5394,-2.7207,-0.3803,-2.4553,-0.3055,-2.674,0.4398,-0.2587,2.2088,-3.5661,-1.6845,0.5257,0.0492,-0.7206,-0.3047,0.9329,-2.3497,-2.2727,-0.808,0.4014,0.5361,0.7668,-0.4155,-0.4915,-0.431,-0.0862,-0.2965,-0.2348,-0.3547,-1.1939,-4.4913,-0.3522,-0.6442,-2.1367,-1.9812,0.7792,-1.2307,-0.4284,-1.0938,-2.6916,-4.1935,-1.9721,-1.6135,1.6519,-0.5792,2.2589,-0.4875
18,-0.6778,-2.5745,-1.4395,-0.5298,-0.9099,0.008,-2.3145,-0.2067,0.5128,-1.8078,-2.2588,-0.9437,1.6973,-1.2867,-1.8273,-0.2475,-1.4307,-2.4995,-1.8789,-0.8499,-0.8145,-0.3439,-1.3564,-0.6836,-0.0896,0.1909,0.0721,0.1199,0.1978,0.0733,-1.0509,-3.6148,-0.258,-0.6955,-4.45,-2.4251,1.9018,-1.8822,-0.3727,-1.7582,-1.049,-1.9576,-2.0728,-0.9927,-1.2732,-2.2604,-2.6593,-2.3941
19,-0.5346,-2.6262,-2.3864,0.0557,2.324,-0.49,-1.7484,-0.8949,-0.3072,-1.5662,-1.222,-0.2287,-1.3807,-1.6155,0.2062,-0.461,-2.1714,-3.6085,-2.5867,-1.3627,-1.2268,-0.2044,-0.302,-2.4844,0.0688,-2.35,0.2964,0.1172,0.0844,-0.0933,-0.571,-2.7597,-0.0493,-0.5236,-1.5545,-1.4466,-0.4539,-1.6618,-0.2225,-0.0157,-2.5538,-2.2866,-1.9484,-0.7888,-0.9941,0.3229,-2.7574,-2.5527
