,P07585,P52823,Q9P0M4,Q9UGM5,Q9Y653,Class Label
96,-1.6149,-0.6124,-0.5904,-1.814,-1.8982,0
97,-1.7112,0.7495,0.6014,-1.9861,-1.6619,0
98,-1.8736,-0.4422,-1.4588,-1.6759,-2.0069,0
99,-1.3739,-1.4589,-0.512,-1.6089,-1.7349,0
100,-2.6817,-0.3609,-2.1554,-2.0983,-2.2859,0
101,-2.2348,0.5546,-2.3054,-2.5537,0.3621,0
102,0.4861,0.1653,0.8313,-2.5296,-1.3527,0
103,-1.8613,-0.7821,-2.2072,-1.8695,-1.9461,0
104,-2.1993,-0.9329,0.7769,-2.7062,-0.8245,0
105,-0.0552,2.1297,-0.2815,-3.2757,1.4189,0
106,-1.7509,-1.0505,-0.5876,-1.9114,-1.4822,0
107,-2.1304,-0.2217,-1.7325,-1.5213,0.0998,0
108,-1.6582,0.6958,-1.0932,-1.2951,-1.7773,0
109,0.3221,0.6811,-0.5652,-1.445,-1.1602,0
110,-0.6004,2.0014,0.7413,-0.9766,1.5435,0
111,-0.8618,1.4576,0.7208,-1.8212,-1.082,0
112,-2.9414,-1.804,-1.0618,-0.3602,-1.9367,0
113,-2.8723,-1.7127,-2.4447,-1.0944,-2.9843,0
114,-1.837,0.6774,-1.7065,-2.6184,-1.2682,0
115,-1.9253,-1.7967,-1.8553,-0.9321,-1.8654,0
116,-2.63,1.0365,0.5255,-3.4164,-2.1145,0
117,-0.8138,3.4017,-0.7978,-1.8959,-0.8081,0
118,-1.6267,-0.7445,-0.7296,-1.6107,-2.3782,0
119,-2.3106,0.7478,-2.9989,-3.4642,-0.3071,0
120,-2.2741,-0.2564,-0.4172,-1.727,-2.9649,0
121,-1.1197,1.3,-1.2921,-3.1635,-1.3614,0
122,-1.4918,0.17,-1.3394,-1.1852,-1.2085,0
123,-2.5238,-1.0352,-1.658,-1.9867,-1.8712,0
124,-2.846,-1.4025,-1.2323,-1.4774,-2.5156,0
125,-2.1265,-1.1631,-2.0573,-1.1105,-2.8773,0
126,-2.4381,-0.9513,-1.8112,-1.6607,-2.5561,0
127,-1.4608,-1.3903,1.7847,-2.4286,0.6602,0
128,-1.5597,-1.1692,-0.6618,-0.8403,-0.808,0
129,-1.8778,-0.4291,-1.4687,-2.3825,-0.4982,0
