,P07585,Q9P0M4,Q9UGM5,Q9Y653
152,-1.092,-0.1813,-3.5053,0.3543
153,-2.0517,-0.6135,-1.6977,-2.0356
154,-1.5094,1.0575,-1.582,-1.5471
155,-0.9394,2.0231,-3.7345,-0.4382
156,-1.7521,0.5012,-1.9005,-2.6875
157,-1.8609,-1.6742,-1.8801,-2.5658
158,-2.3166,-1.7238,-1.8587,-1.5178
159,-2.099,-0.7574,-1.6879,-2.0995
160,-1.8572,-1.0539,-1.3729,-0.5812
161,-1.1228,-1.4037,-2.6577,-1.0736
162,-2.3092,-1.1485,-2.6719,-1.1277
163,-1.4238,-0.88,-1.4371,-1.2768
164,-0.8507,3.2687,-3.3786,-1.0221
165,-2.3141,-0.9218,-1.948,-0.1332
166,-2.7922,0.1259,-2.3538,-2.8915
167,-1.4352,-0.952,-1.0631,-1.6403
168,-0.1576,-0.2108,-1.2778,-1.3377
169,-1.7088,-0.1954,-4.6236,-1.6234
170,-2.0838,-1.4475,-2.3757,-2.1736
171,-1.9283,0.4157,-2.0036,-2.136
172,-1.1189,0.5215,-2.2536,-0.5386
173,-1.6933,-1.303,-2.2026,-1.9681
174,-2.0422,-0.9682,-0.3144,-2.2727
175,-2.6541,-2.3872,-1.6075,-2.3874
176,-1.9012,-1.5061,-2.4187,-1.4977
177,-1.8917,-1.3533,-1.2656,-1.8507
178,-1.5273,0.9099,-1.9316,-0.8346
179,-2.6815,-1.5784,-2.9797,-2.6046
180,-1.8269,-0.8715,-1.3294,-2.4204
181,-2.162,-1.7198,-3.5831,-1.7619
182,-1.4998,-2.1263,-1.6024,-1.4687
183,-2.689,-0.8919,-1.8419,-2.0024
184,-0.981,-1.7224,-1.928,-2.5932
185,-1.9764,0.9227,-3.3407,0.2318
186,0.3794,2.8034,-2.5192,-1.1193
187,-1.161,-1.1919,-1.1372,-2.1545
188,-0.61,-0.2053,-3.0868,0.0054
189,-2.0074,-1.961,-1.5045,-2.1215
190,-1.6852,0.0944,-1.3834,-1.9788
191,-1.9847,-2.3472,-1.5485,-1.1604
192,-2.5552,-0.4336,-2.1395,-2.2373
193,-0.9791,-0.1493,-1.5385,-1.0166
194,-2.1885,0.0749,-0.4244,-1.5974
195,-0.7779,1.0072,-2.6796,-0.0822
196,-2.2819,-0.7116,-2.2536,-1.3129
197,-1.7354,-0.6987,-2.7349,-1.8599
198,-2.3053,-1.1718,-1.2191,-2.0619
199,-1.9267,-1.1687,-1.2444,-3.3895
200,-2.4416,-1.7661,-2.0925,-1.5023
201,-1.9225,-0.9532,-2.5553,-2.1389
202,-1.8646,-1.9706,-1.295,-2.4532
203,-0.6369,1.1923,-2.9331,-2.691
204,-1.2349,-0.5128,-2.3298,1.3561
205,-1.7602,-1.3018,-2.158,-1.7102
206,-1.9677,-0.6518,-2.9668,-0.2482
207,-0.3699,0.146,-2.2602,1.3828
208,-1.3826,-1.8198,-2.1239,-1.6762
209,-2.5529,-1.6364,-2.4361,-1.9502
210,-1.3865,-1.1047,-2.0471,-1.3141
211,-1.2478,-1.5249,-2.7514,-2.0374
212,-1.4662,-0.2048,-1.6875,-1.5841
213,0.0562,1.0674,-2.0634,-1.8495
214,-3.117,-1.8769,-1.7082,-2.3257
215,-1.9958,-1.7206,-1.2278,-2.1518
216,-2.2149,-2.3948,-1.569,-1.8051
217,-1.9175,-0.0627,0.1824,-1.6532
218,-2.656,-1.3403,-1.8153,-3.0713
219,-1.6065,-0.5984,-3.1447,-0.4295
220,-2.4236,-2.973,-1.9943,-1.725
221,-1.1345,-0.5366,-1.463,0.014
222,0.2205,0.6575,-3.4289,-0.0208
223,-1.6871,-0.7019,-2.2464,0.266
224,-0.261,0.6627,-2.2472,0.6285
225,-1.787,-1.6607,-2.4358,-1.7473
226,0.8885,2.1852,-2.0551,-0.3393
227,-0.9695,0.5495,-2.4369,-0.6117
228,-1.5764,-1.9041,-2.3416,-0.3792
229,-1.2014,2.0649,-1.8198,-1.3295
230,-1.3667,-0.9737,-3.1919,0.3587
231,-1.7004,-0.9284,-1.4215,-0.9199
232,-2.275,-1.5299,-2.0213,-1.5679
233,-0.8034,-1.9186,-2.791,-1.9356
234,-1.6928,-0.909,-2.5992,-2.3302
235,-1.3366,-1.5282,-2.2535,-1.4815
236,0.3118,0.452,-2.1896,-0.666
237,-2.3467,-2.1372,-1.9002,-1.3697
238,-1.7507,-0.095,-1.7989,-0.0376
239,-1.7746,-0.2284,-2.3799,-2.1102
240,-1.7643,-0.6727,-1.8369,-2.4452
241,-1.8898,0.1474,-1.7307,-2.4727
