,O15232,O60635,P00750,P07585,P08727,P08833,P14136,P16234,P18627,P19429,P52823,P55259,Q9P0M4,Q9Y653
17,-1.0826,-0.3803,-2.2762,-0.3317,-0.0818,-1.6845,0.0492,-0.8738,0.0426,-2.3497,-0.2383,-0.431,1.6519,-0.4875
18,-1.8059,-0.5298,-1.3143,-2.1057,-0.1718,-0.9437,-1.2867,-1.7676,-0.2468,-2.4995,-1.1442,0.1909,-1.2732,-2.3941
19,-0.979,0.0557,-2.632,-2.4795,-2.136,-0.2287,-1.6155,-2.0664,-1.5527,-3.6085,-0.5193,-2.35,-0.9941,-2.5527
20,-0.4021,-0.5123,-0.1336,-1.5091,2.7585,0.8399,-1.5578,-0.8444,0.9474,-3.3278,0.0619,-1.8753,-0.8581,-1.3806
21,-1.407,-0.7125,-1.0164,-2.3644,0.5294,-2.7426,-1.1081,-1.6401,0.659,-2.8816,0.1803,-2.3148,-1.4254,-1.4878
22,-2.1865,-0.3379,-2.9137,-2.3466,-1.6883,-1.9215,-1.0901,-2.0383,-1.3058,-2.748,-1.6136,-2.3094,-0.2189,-2.624
23,-0.3548,-0.4488,-0.5713,0.0937,0.4,2.2202,0.6488,-0.9047,1.1594,-2.6625,0.6345,-1.4042,0.0949,0.92
24,-0.9766,-0.5921,-2.8485,-1.7024,-1.6008,-0.2504,-1.3862,-0.9625,-0.1645,-3.429,-1.5525,-1.6687,-1.7853,-2.2089
25,-0.9744,-0.4203,-0.4798,-1.5109,0.3835,0.3436,0.6477,-1.6073,-0.3905,-2.3944,-0.7555,-1.3765,-0.8594,-0.3697
26,-0.7919,-0.4407,0.9663,-1.5737,-0.6728,-3.5069,-1.3534,-1.734,0.0791,-3.7616,-0.647,-1.5292,-1.771,-1.9856
27,-2.0438,-0.5005,-3.0577,-2.6665,-1.0028,-3.3602,-0.9432,-1.5413,-1.7387,-2.8639,-2.0554,-1.1191,-2.1403,-2.6657
28,-0.5993,-0.4692,-1.6363,-1.4197,2.327,-1.5213,-0.6794,-0.7608,-0.5356,-3.4948,-0.3761,2.0859,-0.4286,0.724
29,-1.3889,-0.5418,-1.64,-2.0886,1.3373,-0.7143,-1.2513,-1.3886,0.3183,-2.2861,-0.1605,-2.0896,-1.2526,-1.4142
30,-1.41,-0.4103,-1.6768,-2.2409,-0.9011,-1.944,0.0029,-1.1928,0.4143,0.8171,-1.7484,-0.8248,-0.4277,-0.9516
31,0.3356,-0.2177,-0.8661,-1.5405,2.3232,-0.9791,0.7021,-1.3761,-0.224,-0.8234,-0.0687,-0.9085,-0.7159,-2.3992
32,-2.0486,-0.2899,-1.5969,-2.3771,-1.4838,-3.462,-1.1469,-1.9013,-0.5417,-2.85,-1.0272,-1.6479,0.4643,-2.6264
33,1.3212,-0.3272,0.2951,1.1527,3.2453,2.3017,2.6116,0.241,0.02,2.6864,2.3746,1.2906,3.5425,-0.1208
34,-1.1697,-0.016,-1.7601,-0.4917,-1.0321,0.8256,-0.5953,-0.8158,-0.3598,0.1301,0.2761,-0.9761,-0.7792,-0.1469
35,-0.7433,-0.2673,-1.0957,-2.5431,2.4025,-4.2872,-1.05,-1.4551,-1.2861,-2.3621,-0.1039,-1.4451,-1.1333,-2.6336
36,-0.7061,-0.3387,-0.5349,-1.2278,2.3377,1.4447,-0.1869,-0.8543,0.4258,1.5798,0.7707,-0.8346,-1.4618,2.2021
37,-1.1631,-0.7439,-2.1984,-2.7471,-0.7759,-1.1537,-0.2844,-2.0024,-0.7328,-2.1001,-1.5643,-1.0459,-2.3139,-2.5304
38,-0.9156,-0.8293,-1.0088,-2.1643,-1.1688,-2.5117,-1.0904,-2.1127,-1.1418,-3.4782,-1.5174,-0.7601,-1.0883,-2.0457
39,-1.1496,-0.08,-1.0369,-0.2834,0.1642,-2.0039,-0.6277,-1.506,-0.0222,-3.2826,-0.3686,-1.0227,-0.5944,1.239
40,0.2807,4.5702,-0.1205,-1.377,3.8743,2.6312,-0.007,-1.4353,0.3349,-0.343,0.3586,1.8285,-0.7155,2.2478
41,0.0158,-0.3007,-1.1582,-0.6947,2.5852,0.1573,0.1802,-0.7298,0.9496,-2.3252,0.4423,-0.1938,-0.7795,-1.1646
