,O15232,O60635,P00750,P08727,P08833,P14136,P16234,P18627,P19429,P21246,P52823,P55259,Q8IU54,Q96JP9,Q9P0M4,Q9Y653,Class Label
141,-0.1683,-0.2129,-1.193,-0.3521,-2.925,-1.1215,-1.4867,0.1883,-3.5394,-0.8402,-0.0099,-1.3883,2.7674,-2.0542,-1.8653,1.2048,0
142,-1.896,-0.3534,-2.1133,-1.4808,-2.949,0.6721,-1.7895,-1.0232,-2.8801,-0.0132,-1.7851,-1.2154,-1.1792,-1.5741,-0.1981,-0.541,0
143,-0.654,0.2477,0.3256,-1.661,-1.2609,-0.524,-2.1829,-0.5065,-1.584,-0.0977,0.0314,0.8253,-0.2209,-1.7971,-1.3207,0.6908,0
144,-0.9711,-0.5834,-1.6436,0.0582,-1.5511,-0.8711,-1.7645,-0.0455,-3.8744,-1.119,-0.255,-1.9239,2.3923,-1.6434,-1.527,-3.0034,0
145,-2.0546,-0.6163,-2.7308,-1.7926,-2.8781,-1.1365,-2.0502,-0.7239,-3.705,-1.2683,-1.9478,-1.2022,0.811,-2.2482,-1.5402,-2.1812,0
146,-1.5837,-0.706,-2.1525,-1.6372,-0.8268,-1.0099,-1.3265,-0.6559,-3.2975,2.3242,-1.6679,-1.7131,-0.7174,-0.9669,-0.485,-2.2439,0
147,-0.4416,-0.5258,0.5704,-0.5789,-2.6994,-0.7136,-0.9191,-0.6193,-2.3054,-1.4976,1.318,-0.255,0.5472,-1.3247,-0.2762,-0.7827,0
148,-1.5125,-0.6119,-1.7422,0.1127,0.4818,-0.9485,-1.7025,-0.7786,-2.5211,-0.5824,-1.1522,-1.2127,0.5184,-1.4921,-1.4462,-2.2104,0
149,-0.3781,0.0756,-0.5363,-0.7269,0.3284,-0.1991,-0.3905,-0.7599,-2.244,-0.6892,0.3641,0.3071,0.0429,-1.4781,0.2532,-1.7909,0
150,-0.3453,-0.5267,-0.7279,1.7343,-0.1761,-0.8932,-1.1953,-0.7404,-3.5905,-0.591,-0.3514,-1.7206,1.7389,-2.1257,-0.9118,-1.2681,0
151,0.5866,-0.3981,-1.3265,3.1105,-1.145,-0.1636,-1.229,-0.0313,-2.5381,0.5102,0.7223,-0.5405,3.1068,-1.5523,-0.811,-1.3793,0
152,-0.5955,0.0085,-2.0475,-1.0959,-0.7923,0.2961,-1.1483,-1.4405,-2.1605,-0.6612,-1.5576,2.8949,-0.1238,-1.9655,-0.1813,0.3543,0
153,-0.9762,-0.398,-1.3599,0.8728,-1.4987,-0.9177,-1.2772,-0.2617,-2.4758,-1.2488,-0.267,-0.9403,2.1693,-1.4937,-0.6135,-2.0356,0
154,-0.0643,0.5269,-1.001,1.4544,-2.0632,-0.3972,-1.471,0.0344,-1.7544,-1.3783,0.0193,-0.7237,2.4414,-2.624,1.0575,-1.5471,0
155,-0.7366,-0.1259,0.7277,-0.4775,0.5774,0.0868,-1.0335,-1.1585,-2.1205,0.9431,-0.1852,0.2838,-0.1291,-1.7809,2.0231,-0.4382,0
156,0.0659,-0.7038,-1.4621,-0.6806,-3.3421,-1.6469,-1.9715,-2.3832,-3.2802,-0.9625,-0.9663,0.4979,-0.3613,-0.8936,0.5012,-2.6875,0
157,-1.6614,-0.6844,-1.3889,-0.6074,-1.923,-0.9041,-1.8743,-1.2345,-3.7317,-0.6292,-1.454,1.2249,1.1613,-1.499,-1.6742,-2.5658,0
158,-0.7242,-0.2161,-1.0777,2.9657,-1.1286,-1.2553,-0.7369,0.1852,-2.7776,-0.4622,-0.11,-2.1513,3.0001,-1.1909,-1.7238,-1.5178,0
159,-1.8941,-0.6323,-2.228,-1.1371,-2.8102,-1.3611,-1.9858,-0.4803,-3.5484,-1.4692,-1.4457,-0.4812,1.2885,-1.6699,-0.7574,-2.0995,0
160,-1.005,-0.4621,-2.4644,-0.7463,1.4136,-0.8255,-1.2734,-0.6518,-2.5842,-0.4245,-1.3317,-1.1443,-0.1735,-1.6214,-1.0539,-0.5812,0
161,1.171,-0.6381,-0.8405,2.1332,-0.2486,-1.169,-1.4322,0.046,-3.0175,-1.7398,0.219,1.1459,0.6239,-1.8329,-1.4037,-1.0736,0
162,0.5941,-0.1707,-1.8639,2.0456,-1.0872,-0.9628,-1.6606,0.4002,-2.6462,-0.5631,-0.2436,-0.7144,1.9157,-1.6051,-1.1485,-1.1277,0
163,-0.8728,-0.542,-0.8538,0.2228,-0.4219,-0.8032,-1.6593,0.0827,-3.5581,-0.93,0.2762,-1.5327,1.9951,-1.3176,-0.88,-1.2768,0
164,-0.7708,-0.7844,-1.3724,-0.0822,2.3817,-1.0112,-0.1884,-1.5635,-3.171,1.6059,0.7929,-0.8759,0.2212,-2.1686,3.2687,-1.0221,0
165,-1.3177,-0.5211,-1.7643,3.2406,0.1265,-1.6049,-1.5167,-0.5466,-3.043,3.8405,-0.4878,-0.9067,-0.2682,-1.3858,-0.9218,-0.1332,0
166,-1.1311,-0.8031,-2.4449,-0.0937,-1.5603,-1.7751,-2.422,-1.3394,-4.0762,-1.5916,-0.7631,-2.0558,-0.155,-1.6483,0.1259,-2.8915,0
167,-0.2231,-0.48,-0.8791,0.5022,-0.2906,0.07,-1.1506,0.5069,-3.0804,-0.1999,-0.3454,-0.4921,2.6848,-1.3219,-0.952,-1.6403,0
168,0.198,-0.4108,-3.7245,-0.1704,0.2163,-1.0549,-0.4939,-0.6413,-0.0629,-0.2904,0.4995,1.2254,0.3483,-1.5298,-0.2108,-1.3377,0
169,-0.7824,-0.0173,-2.3019,1.7546,2.2284,-0.3493,-0.6798,-1.6433,-3.285,-1.4231,-1.9503,-0.0544,-0.5199,-1.4336,-0.1954,-1.6234,0
170,-0.6139,-0.5442,-1.5715,-1.2114,-2.0072,-0.7936,-1.8327,0.0713,-3.6229,-1.1506,-0.5933,-0.8712,2.0583,-1.8512,-1.4475,-2.1736,0
171,-1.4735,-0.188,-2.5461,-1.7959,-2.522,-0.9414,-1.6455,0.3365,-2.9275,-0.1285,-1.5028,-2.0284,2.771,-1.5778,0.4157,-2.136,0
172,-1.2988,-0.4921,-1.8611,-0.733,-0.0273,0.62,-1.389,0.9633,-1.4909,-0.2654,-1.2046,0.4908,-0.0317,-1.7495,0.5215,-0.5386,0
173,-0.5704,0.582,-1.7621,-0.9952,-2.6853,-1.1378,-2.2795,-0.8416,-2.4096,-0.5568,-1.148,-1.3859,1.7551,-1.7512,-1.303,-1.9681,0
174,-2.636,-0.3751,-2.1922,-1.841,-0.958,-0.7562,-1.9585,-0.2116,-3.5823,0.007,-2.1511,-1.9725,1.6951,-1.5049,-0.9682,-2.2727,0
175,-2.2718,-0.4569,-2.9266,-1.776,-2.7827,-1.1244,-1.9512,-0.8194,-3.7847,-0.6264,-0.9016,-1.9039,1.576,-1.5066,-2.3872,-2.3874,0
176,-1.4691,-0.3914,-1.9809,-2.8834,-3.0473,-1.1987,-1.5335,-0.8052,0.1472,-0.6327,-1.1411,-1.0827,-0.3589,-1.2585,-1.5061,-1.4977,0
177,-0.6962,-0.5839,-1.1353,-0.4537,-2.3913,-1.2173,-1.966,-0.1767,-3.148,-1.1879,-0.405,-0.2525,1.6148,-2.0972,-1.3533,-1.8507,0
178,-0.6295,-0.7539,-0.365,-0.8603,0.6091,-1.1382,-1.4401,0.8122,-3.0622,-0.4113,0.3342,-2.4194,-0.3017,-1.6481,0.9099,-0.8346,0
179,-0.856,-0.31,-2.8399,-1.1754,-3.1951,-1.2288,-1.4715,-0.9166,-2.5596,-0.8365,-0.9135,-0.944,0.6139,-1.1134,-1.5784,-2.6046,0
180,-1.4338,-0.262,-2.1875,-1.1713,-4.2818,-0.9239,-1.4843,-0.1222,-2.8602,-1.0414,-1.0748,-1.4789,1.0026,-1.397,-0.8715,-2.4204,0
181,0.1186,-0.3483,-1.5146,2.4806,0.8337,-0.4614,-1.2021,-1.4195,-2.6683,-1.3676,-0.5575,-0.5331,-0.2206,-2.1322,-1.7198,-1.7619,0
182,-1.0534,-0.6261,-0.9198,0.6802,-3.8748,-1.6085,-0.9162,0.2921,-4.3726,-1.0244,-0.3619,-1.9089,1.0974,-1.8303,-2.1263,-1.4687,0
183,-0.6785,-0.796,-1.0805,1.2653,-0.1189,-1.4003,-1.865,-0.1153,-2.489,-1.0098,-0.268,-0.1741,2.1053,-1.735,-0.8919,-2.0024,0
184,-1.3197,-0.6156,-0.2391,-1.4837,1.1865,-0.4409,-1.5571,-0.9964,-0.0285,2.2427,-1.4513,-1.5998,0.0471,-1.3309,-1.7224,-2.5932,0
185,0.0305,-0.1887,0.4013,3.7452,2.7793,-1.1968,-0.9651,0.439,-3.5957,-0.2492,1.4992,3.0477,2.3626,-2.1226,0.9227,0.2318,0
186,1.6747,-0.564,0.5841,2.9714,3.4898,0.9134,-0.3142,2.5342,-0.2309,-0.1254,2.4421,0.32,2.6758,-2.1951,2.8034,-1.1193,0
187,-0.5125,-0.6915,-0.0566,2.4895,-1.2637,0.1918,-1.1892,-0.0113,-3.4272,-0.2864,-0.3654,-1.1949,1.7694,-2.0196,-1.1919,-2.1545,0
188,-0.0434,-0.4765,-0.694,-0.0571,3.3988,-0.4435,0.191,0.1978,0.3128,-0.0977,1.3189,-0.1633,-0.5992,-1.5087,-0.2053,0.0054,0
189,-1.4649,-0.6271,-2.315,-1.5783,-2.2717,-1.1756,-1.689,-0.8633,-2.678,-0.7467,-1.3178,-2.4301,1.3953,-2.0186,-1.961,-2.1215,0
190,-1.3114,-0.5892,-1.1783,1.5082,-1.5194,0.2499,-1.3105,-1.2908,-3.0108,-0.9062,-0.4685,-1.8664,-0.6694,-1.3806,0.0944,-1.9788,0
191,-0.2609,-0.4078,-0.7449,1.2012,1.6101,0.0227,-1.5776,-0.0442,-2.8488,-0.8039,-0.5552,-0.9189,1.8952,0.3302,-2.3472,-1.1604,0
192,-1.4066,-0.2667,-1.1529,-0.8201,-0.9105,-0.6521,-1.2759,-0.369,-3.5006,-0.1289,-1.2434,-2.1221,1.4791,-1.6812,-0.4336,-2.2373,0
193,-0.1882,-0.4148,-0.7672,0.798,-0.43,-1.0108,-1.6225,0.4551,-3.3662,-0.5354,-0.1226,-1.294,2.4445,-1.7541,-0.1493,-1.0166,0
194,-1.1179,-0.5096,-1.0763,1.0998,-3.3154,-0.7625,-1.2751,1.0231,-2.7795,-1.2894,-0.061,-1.1075,1.4364,-1.4934,0.0749,-1.5974,0
195,-1.292,-0.3998,-1.8952,-0.1394,-0.9656,-0.0346,-1.347,-0.1645,-1.9619,-0.5161,-0.4417,-0.3335,-0.2653,-1.4016,1.0072,-0.0822,0
196,-0.6573,-0.8124,-1.2529,1.2102,-2.7066,-0.9749,-1.934,-0.204,-2.504,-1.4018,-1.4646,-1.3195,1.3471,-1.474,-0.7116,-1.3129,0
197,-0.2376,-0.4451,-1.4446,-0.3672,-0.7443,-0.0315,-0.5814,-1.1362,-1.9426,-0.5916,-0.3718,-0.6935,-1.0796,-2.0103,-0.6987,-1.8599,0
198,-1.3251,-0.8196,-0.9908,-0.365,-2.8008,-0.1153,-1.1756,0.1899,-2.7087,-1.3098,-0.7689,-2.2084,1.4558,-1.2349,-1.1718,-2.0619,0
199,-1.6137,-0.3911,-1.3302,0.2889,-0.8064,-1.0597,-2.0861,0.1509,-3.1013,-1.2411,-0.5585,-1.686,0.8739,-1.6803,-1.1687,-3.3895,0
200,-1.8651,-0.4731,-1.9212,-2.8218,-3.8067,-1.3903,-1.7077,-1.1547,-2.6473,-0.7662,-1.4197,-1.2227,0.9452,-2.2288,-1.7661,-1.5023,0
201,0.0933,-0.3805,-1.8158,0.272,-3.4146,-0.7961,-1.119,0.2501,-2.7088,-1.4931,-1.039,-0.6734,2.7236,-1.5739,-0.9532,-2.1389,0
202,-0.6135,-0.5498,-0.7748,0.5298,-2.9519,-0.6377,-1.4137,0.5963,-3.2108,-0.6131,-0.0838,-1.9877,2.6078,-2.1094,-1.9706,-2.4532,0
203,0.6958,-0.1674,-0.5345,1.6266,2.7033,-0.3354,-0.1019,0.7475,-2.3413,-0.5072,-0.9221,4.0274,0.3449,-1.8517,1.1923,-2.691,0
204,-0.1664,-0.5747,-1.61,-0.4849,-0.4235,-0.4408,-1.2436,1.4174,-3.1532,0.4312,-0.2801,-1.713,2.1524,-1.6594,-0.5128,1.3561,0
205,-1.0373,-0.6316,-0.81,-0.6938,-3.9614,-1.6611,-0.7931,0.0446,-2.7786,-1.0263,0.6007,-1.9656,1.0624,-1.645,-1.3018,-1.7102,0
206,-0.7965,-0.5231,-1.2792,2.0517,-3.0774,-0.699,-1.5897,-0.5289,-2.9943,-0.5553,-0.8075,-1.1185,0.6333,-1.4657,-0.6518,-0.2482,0
207,1.3901,-0.562,-0.2437,4.6708,1.5726,-0.4811,-0.6907,0.6561,-2.6347,-0.5437,0.8774,6.0037,3.1311,-1.9008,0.146,1.3828,0
208,-0.1571,-0.8339,-1.2449,1.5612,-1.9752,-0.7525,-1.1707,-0.2494,-2.4411,-1.1468,-0.2362,2.2262,2.4901,-1.6791,-1.8198,-1.6762,0
209,-0.8672,-0.7159,-1.3606,0.2864,-2.3757,-0.8904,-1.2595,-0.3745,-3.6464,-1.23,-1.1716,0.4152,3.0686,-1.3473,-1.6364,-1.9502,0
210,-0.7055,-0.6415,-1.0947,0.5518,-3.1132,-1.4545,-1.3587,-0.1474,-2.6642,-0.8318,0.1072,-0.8722,2.1872,-2.3873,-1.1047,-1.3141,0
211,-1.4486,-0.5845,-2.1916,-1.4268,-2.5269,-1.7148,-1.4362,-0.5546,-0.0782,-0.8878,1.1996,0.3339,0.0293,-1.6645,-1.5249,-2.0374,0
212,-0.3477,-0.595,-0.1687,2.1315,-3.1159,-1.0023,-1.0692,-0.0412,-3.1988,-0.1994,0.5521,-0.1436,2.8981,-1.6357,-0.2048,-1.5841,0
213,-0.9727,-0.4744,-2.1068,0.3907,0.6519,0.0635,-0.7957,0.8393,-2.7781,-0.5522,-0.3198,-0.3392,1.907,-1.4466,1.0674,-1.8495,0
214,-1.8281,-0.3995,-0.8768,-0.0682,-4.7316,-1.5555,-2.1619,-0.1451,-3.9396,-2.022,-0.9474,-1.9127,2.1551,-1.7191,-1.8769,-2.3257,0
215,-1.1032,-0.2898,-2.2475,-0.4441,-2.1864,-1.1417,-1.6358,0.2138,-3.4662,0.0296,-1.2171,-0.9349,2.086,-1.1758,-1.7206,-2.1518,0
216,-1.2955,-0.431,-1.4441,-0.8834,-1.9531,-1.3092,-1.8185,-0.1915,-2.3473,-1.3945,-0.6925,-0.9349,1.1049,-1.6537,-2.3948,-1.8051,0
217,-0.9846,-0.2308,-1.5023,-0.2661,2.1569,-0.8775,-1.4353,0.3311,-3.089,-0.4406,-1.0519,-1.3226,1.5912,3.38,-0.0627,-1.6532,0
218,-1.7186,-0.4885,-2.7315,-2.2283,-3.6474,-1.4984,-2.2658,-0.8951,-3.0874,-1.5697,-1.4796,-2.609,1.7729,-1.8813,-1.3403,-3.0713,0
219,-0.7024,-0.4121,-2.1561,-0.9677,2.6352,-0.821,-1.2119,-0.9024,-1.6118,-1.2405,-1.6213,-0.1068,-0.1782,-1.5387,-0.5984,-0.4295,0
220,-1.255,-0.5011,-0.7432,-1.5938,-0.017,-0.4761,-1.9784,-0.8111,5.1052,0.4989,-0.5163,-1.0168,0.2848,-1.5613,-2.973,-1.725,0
221,-1.4817,-0.4679,-1.3642,-0.1744,-1.6932,0.0507,-1.4573,-0.1376,-3.3676,-0.2784,-0.6588,1.2133,-0.3808,-1.2815,-0.5366,0.014,0
222,-0.3843,-0.2813,0.468,1.1433,2.5095,0.3606,-0.5424,0.5166,0.3506,0.5374,1.8225,-0.869,1.4501,-2.0356,0.6575,-0.0208,0
223,-0.6269,-0.2138,-1.8849,1.4842,-3.8096,-1.347,-1.5945,-0.2922,-0.8487,-1.6357,-1.2969,-1.4903,2.8568,-1.5756,-0.7019,0.266,0
224,-0.9812,-0.6715,-1.4176,-0.9386,0.2156,-0.1502,-0.2502,-0.1186,-1.7369,0.6882,0.2181,-0.8512,-0.8881,-1.6594,0.6627,0.6285,0
225,-2.0347,-0.3136,-1.2873,0.7062,-0.9566,-1.0638,-1.4042,-0.3725,-2.6226,-0.8353,-0.207,1.2416,2.5654,-2.0034,-1.6607,-1.7473,0
226,1.4679,-0.4264,-0.8339,4.8613,2.609,-0.0109,-0.3053,1.5526,-1.6417,-1.2491,1.85,1.4402,5.8376,-1.8844,2.1852,-0.3393,0
227,-0.1944,-0.4343,-0.9811,-0.4097,-0.6744,-0.8144,-1.2999,0.3855,-2.5467,4.5131,-0.9173,1.7674,-0.0121,-1.8535,0.5495,-0.6117,0
228,-1.0393,-0.5479,-1.3188,0.0615,-1.774,-1.8699,-1.6659,-0.6808,-2.8274,-0.9178,0.015,-1.3909,1.0133,-1.7614,-1.9041,-0.3792,0
229,-0.7627,-0.5404,0.5147,0.8759,3.8243,-0.4767,-1.7378,-0.5682,1.4702,0.4727,4.8475,-1.9408,-0.8053,-1.8182,2.0649,-1.3295,0
230,-0.8286,2.5645,-1.1725,0.7918,-0.968,0.0161,-1.0936,-0.2724,-2.3409,0.0757,0.1138,0.4009,0.6118,-1.6095,-0.9737,0.3587,0
231,-2.6115,-0.5546,-2.3314,1.8826,-0.9322,-0.1819,-1.255,-1.9657,-3.5048,-0.6364,-1.2688,0.7611,-0.2257,-1.6739,-0.9284,-0.9199,0
232,-1.3318,-0.8264,-1.0792,1.3888,-1.9092,-0.8314,-1.8692,0.2068,-3.8091,-0.8467,0.0791,-0.804,2.2669,-1.7848,-1.5299,-1.5679,0
233,0.7656,-0.4053,-0.7431,0.9492,-2.2348,0.2124,-1.2705,-0.1929,1.0175,-1.3564,-0.1659,1.6618,1.628,-1.9252,-1.9186,-1.9356,0
234,-2.0142,-0.1656,-1.731,-1.7673,-2.2783,-0.7276,-2.1785,-0.8687,-3.2377,-0.6322,-1.5571,0.6538,1.1903,-1.4996,-0.909,-2.3302,0
235,-0.0721,0.0985,0.7195,2.2726,-0.0391,-1.0886,-1.2426,-0.4788,-2.9179,-0.63,-1.2983,-1.035,0.936,-1.5563,-1.5282,-1.4815,0
236,2.6896,2.5832,-0.4082,4.6509,1.6913,0.3109,-0.0933,0.7904,0.3368,-0.1255,2.725,1.9989,2.2767,-0.271,0.452,-0.666,0
237,-0.7652,-0.439,-1.2503,-1.0424,-1.5824,-0.8605,-1.9159,-1.0683,-2.4148,-1.0105,-0.2255,-1.4486,1.1609,-2.0438,-2.1372,-1.3697,0
238,-0.3356,-0.6015,-0.2817,1.4132,-1.8141,0.0784,-0.9587,0.9145,-2.2551,-0.2471,-1.1252,-1.5968,0.2902,-1.8395,-0.095,-0.0376,0
239,0.4135,-0.4727,-1.2879,0.6413,-3.6446,-2.0368,-1.6386,-0.3167,-2.132,-0.5995,-0.1943,0.8123,2.6219,-1.7648,-0.2284,-2.1102,0
240,-0.3699,-0.1342,-3.0033,-1.5509,-3.1896,-1.6885,-1.9488,-0.0821,-3.2733,-0.1002,-0.6939,-0.9905,1.8009,-1.6799,-0.6727,-2.4452,0
241,-0.1093,-0.7449,-1.9052,-1.6307,-0.7969,-0.4354,-1.5345,0.7393,-3.3902,-0.6093,-0.3747,-1.2203,2.9069,-1.8927,0.1474,-2.4727,0
242,0.555,-0.6592,0.3401,3.0085,1.7304,0.0086,0.0619,1.9002,-2.5673,-0.557,1.1762,-0.0762,1.3727,-1.5636,-0.8709,1.5284,0
243,0.5111,1.3307,-0.6932,2.9727,0.1968,-0.2354,-1.6566,-0.7789,-0.811,-0.6041,-0.5926,2.7181,1.1551,-1.8714,-2.0206,-1.28,0
244,0.2677,-0.4372,-0.9605,2.6116,-1.4535,-0.4347,-1.0235,-0.2636,-2.6305,-0.7385,1.1418,-0.1737,-0.3174,-1.5299,-1.6124,-1.2362,0
245,-0.5627,-0.5534,-0.8952,0.5446,-1.4303,-0.8332,-1.1731,-0.7485,-0.0568,-0.7427,-0.3912,-0.6017,3.5619,-1.2157,-0.4176,-1.3727,0
246,-0.2915,-0.7799,-0.9838,1.1697,-0.4202,0.9013,-1.1233,-0.1645,-2.608,-0.5533,0.2014,-0.3556,2.1647,-1.7909,0.9284,-1.4503,0
247,-0.5135,-0.165,-1.4075,0.6623,-1.6966,-0.4319,-1.573,-0.4968,-2.6335,-1.3918,-0.8741,-0.2372,1.5431,-1.3332,-0.0481,-1.4376,0
248,-0.5046,-0.5012,-1.8722,-1.1925,0.3122,-0.6106,-1.2259,-1.5193,-2.1697,-1.6883,-0.322,-1.7346,-1.8496,-1.8293,-0.7045,-0.9607,0
249,0.2641,-0.1674,0.6436,4.3201,4.6327,-1.9582,-1.0468,0.4157,-0.8629,-0.7682,3.0223,1.8237,3.5385,-2.5614,-0.4167,0.7917,0
250,-1.1351,-0.843,-1.2098,-0.9551,-1.5511,-1.5802,-1.8621,0.03,-2.8918,-0.8327,-1.595,-0.9601,2.3826,-1.5742,0.2613,-2.683,0
251,-2.0924,0.329,-1.0629,-2.2481,-0.7355,-0.622,-2.1643,-1.9511,-2.4601,-0.9609,-1.3351,-0.0516,-0.7229,-1.2689,-1.8177,-0.9196,0
252,-2.7021,-0.5403,-1.1822,-0.3987,-2.5369,-0.6082,-1.9117,-0.479,-3.1402,-0.2409,-1.146,-1.9024,-0.0977,-1.5508,-0.7994,-0.8382,0
253,-0.8558,-0.3982,-1.7508,4.8389,1.0442,-0.4913,-1.281,0.4336,-2.5737,-0.5507,0.7578,-1.5352,2.5581,1.3422,-0.1961,-1.3867,0
254,-0.1336,0.1711,-1.9804,3.262,2.1096,-1.5474,-0.4133,-0.1051,-2.6754,-0.6321,-0.4037,-0.5491,1.7707,-1.6107,-1.8355,-0.3358,0
255,-0.1864,-0.4079,-0.5182,-0.5266,2.0131,0.0641,-0.0177,-0.1334,-1.5382,-0.2971,-0.292,0.782,-0.2147,-1.7809,-0.522,-0.8892,0
256,-0.2284,-0.4426,-0.7444,0.9168,1.0716,1.1843,-1.8358,-1.449,-2.2259,-0.5286,0.9662,1.5133,1.4482,-1.8934,0.6449,-1.4814,0
257,1.4447,-0.2002,0.157,2.5641,0.6475,3.2035,0.2823,0.6889,0.2696,1.4769,2.6497,2.1509,0.7849,-1.9301,0.9179,0.3014,0
258,-0.8134,-0.639,-1.0758,1.4685,-3.7066,-0.5045,-2.0648,-0.1105,-2.6306,-0.6821,-0.2982,-1.1021,2.357,-1.5134,-1.1212,-1.6773,0
259,0.1141,6.8982,-0.8958,1.8321,0.1372,-0.3588,-1.2421,0.0154,-1.6081,-0.7102,0.5266,1.2085,2.5476,-2.2248,-0.3957,-0.0211,0
260,-0.2236,-0.4767,-0.5249,0.1588,0.1426,-0.3863,-0.2906,-0.2822,-2.2416,-0.1813,-0.2943,-0.939,1.1111,-1.1679,-1.6236,-1.6413,0
261,-1.9027,-0.6979,-1.4821,-1.8721,-1.0768,-0.9641,-1.8042,-0.3817,-3.3289,-0.4431,-1.1821,-0.8217,2.3958,-2.1044,-1.3773,-2.59,0
262,-1.3687,-0.5469,-3.3479,-2.5068,-0.919,-1.3532,-2.1215,-2.0829,-4.3396,-1.2435,-2.4139,-2.3699,-0.9047,-1.7316,-0.7971,-2.5395,0
263,-1.7299,-0.1739,-0.4802,0.2665,-0.1671,-0.1035,-0.8129,1.6869,-2.1758,0.1384,-1.4115,-0.9989,0.2235,-1.7892,-0.4166,-1.2562,0
264,0.8903,-0.2912,-0.5667,3.7588,1.4541,0.4032,-1.4901,0.0305,-1.306,-0.3605,0.3554,0.2681,2.8445,-1.837,-0.9749,-0.9806,0
265,-0.2119,-0.6262,-1.3233,1.6836,-0.9862,-1.0501,-1.5867,0.256,-3.3393,-1.103,-0.577,-0.7369,0.6061,-2.0629,-0.9649,-1.8882,0
266,-1.6629,-0.3858,-2.7121,-0.7572,-0.3525,-0.1924,-1.5041,-0.4679,-2.6623,-0.5315,-1.1682,-0.1907,1.7018,-1.4926,-0.6773,-2.182,0
267,-1.4583,-0.4084,-1.0495,0.3367,1.0082,0.2597,-1.0019,0.1422,-2.8587,-1.1682,-0.8643,-0.7132,1.1259,-1.9723,-1.8825,-1.8288,0
268,-0.4597,-0.6894,-1.6734,0.991,-1.2352,-1.1815,-1.9424,-1.7074,-1.7306,-0.9569,0.2154,-0.6754,0.8752,-1.6554,-1.0684,-2.1164,0
269,0.2919,-0.5712,-1.037,0.027,-2.9999,-0.3481,-1.3572,-0.0042,-3.2044,-0.959,0.2312,0.1305,1.8217,-1.6849,-1.0475,-1.6649,0
270,1.3796,-0.3759,0.238,2.1117,-1.4135,-0.6504,-1.3006,-0.2948,-1.1579,-0.3051,0.2213,0.0172,2.1084,-1.8385,-1.2686,-1.0788,0
271,-0.9573,-0.5167,-2.4556,-0.3474,0.6179,-1.582,-1.046,-1.499,-2.6518,-1.1169,1.017,-1.2349,-0.7129,-1.4351,5.2428,0.641,0
272,-1.2665,-0.3792,-1.787,-0.3752,1.1059,-1.565,-1.7686,0.4285,-3.5773,-0.9536,-1.4633,-2.631,2.4462,-1.6648,-0.9808,-2.9659,0
273,-0.4502,0.8684,-0.8831,2.8627,2.7295,-0.5791,-1.3196,-0.7689,-1.8981,-1.407,1.3804,-0.429,1.3854,-2.1853,-1.2762,-2.042,0
274,0.6564,-0.3458,-0.9811,1.3728,-0.1535,0.1148,-1.5383,0.682,-2.4504,-0.4054,-0.5443,-0.2656,2.2515,-1.8708,1.027,-0.623,0
275,-1.1311,-0.3347,-0.5854,-0.0675,-1.6841,-0.4094,-1.4195,0.4057,-2.4063,-0.1113,-0.4043,-0.6307,0.509,-1.5179,-1.8045,-1.2257,0
276,-2.3532,-0.5445,-1.16,-2.2758,-1.6818,-0.9785,-2.0824,-1.5254,-2.4279,-1.0044,-1.1523,-2.1068,-0.7053,-1.5013,-1.9705,0.2556,0
277,-0.646,-0.4362,-0.8461,0.4965,-3.1369,-1.7963,-1.5757,-0.3901,-3.0093,-1.103,0.1105,-1.9259,3.0238,-1.2617,-0.9486,-1.9615,0
278,-0.4042,-0.5202,-2.9564,-1.7202,-2.5137,-1.2423,-1.4745,-0.7967,-3.3701,-0.7045,-1.0771,-1.6704,1.6623,-2.2972,-1.1831,-1.8903,0
279,-0.8023,-0.2841,-0.6673,0.7426,-0.6022,-0.9795,-1.4738,-0.4422,-2.5622,-0.4925,-0.9144,3.0019,0.3163,-1.7734,-0.7536,-1.5284,0
280,-0.1939,-0.42,-1.2806,1.2269,-1.3096,-0.2105,-1.2575,0.1489,-2.4805,-1.378,0.4446,-1.4289,3.2536,-1.3076,-2.2363,-1.0064,0
281,0.0558,-0.7117,-0.4157,1.7551,-0.3796,-0.7096,-1.293,0.2526,-3.0319,0.4749,0.4536,-2.297,3.8003,-1.653,-1.3892,0.9456,0
282,-0.1434,0.0733,0.0507,0.7772,0.3608,0.4527,-0.2349,1.9423,-1.8301,1.4713,0.1676,0.9806,2.9746,-1.8207,-0.9124,1.9186,0
283,-1.3421,-0.6361,-1.4618,-1.6901,-1.9883,-0.8989,-1.3749,-1.4899,-3.2899,-1.0732,-0.0779,-1.372,-0.3306,-1.6152,1.6805,-0.7999,0
284,-1.0217,-0.4396,-0.7798,-1.8826,-1.4758,-0.9824,-1.185,-0.5558,-2.4011,0.0331,-1.1465,-2.0804,-0.0293,-1.8238,-1.8455,-1.6067,0
285,-1.7152,-0.8635,-1.6056,-1.8777,1.1584,0.2623,-1.351,-0.4192,-1.2063,-0.4487,-1.3392,-0.7965,1.7253,-1.6701,-1.8469,-1.7769,0
286,-0.6513,-0.5786,-0.7962,1.8701,-0.2403,0.1511,-0.5164,-0.1701,-2.632,-1.4066,-1.0559,-1.8628,0.4909,-1.919,-1.2494,0.0735,0
