,O15232,O60635,P00750,P08727,P08833,P14136,P16234,P18627,P19429,P21246,P52823,P55259,Q8IU54,Q96JP9,Q9P0M4,Q9Y653,Class Label
32,-2.0486,-0.2899,-1.5969,-1.4838,-3.462,-1.1469,-1.9013,-0.5417,-2.85,-0.34,-1.0272,-1.6479,-1.2406,-1.6225,0.4643,-2.6264,0
33,1.3212,-0.3272,0.2951,3.2453,2.3017,2.6116,0.241,0.02,2.6864,-0.1182,2.3746,1.2906,0.4798,-1.1753,3.5425,-0.1208,0
34,-1.1697,-0.016,-1.7601,-1.0321,0.8256,-0.5953,-0.8158,-0.3598,0.1301,-0.1267,0.2761,-0.9761,-0.5925,-1.6973,-0.7792,-0.1469,0
35,-0.7433,-0.2673,-1.0957,2.4025,-4.2872,-1.05,-1.4551,-1.2861,-2.3621,-1.1344,-0.1039,-1.4451,0.9989,-1.2324,-1.1333,-2.6336,0
36,-0.7061,-0.3387,-0.5349,2.3377,1.4447,-0.1869,-0.8543,0.4258,1.5798,0.5628,0.7707,-0.8346,2.2708,-2.008,-1.4618,2.2021,0
37,-1.1631,-0.7439,-2.1984,-0.7759,-1.1537,-0.2844,-2.0024,-0.7328,-2.1001,-1.6669,-1.5643,-1.0459,-0.0329,-1.2996,-2.3139,-2.5304,0
38,-0.9156,-0.8293,-1.0088,-1.1688,-2.5117,-1.0904,-2.1127,-1.1418,-3.4782,-0.913,-1.5174,-0.7601,0.8747,-1.6555,-1.0883,-2.0457,0
39,-1.1496,-0.08,-1.0369,0.1642,-2.0039,-0.6277,-1.506,-0.0222,-3.2826,-0.0977,-0.3686,-1.0227,0.2881,-1.7636,-0.5944,1.239,0
40,0.2807,4.5702,-0.1205,3.8743,2.6312,-0.007,-1.4353,0.3349,-0.343,-0.4223,0.3586,1.8285,2.8906,-1.3463,-0.7155,2.2478,0
41,0.0158,-0.3007,-1.1582,2.5852,0.1573,0.1802,-0.7298,0.9496,-2.3252,0.8265,0.4423,-0.1938,3.7864,-1.9314,-0.7795,-1.1646,0
