P07478,Q9P0K1,Q9P0K1,Q9Y639
1.7872,0.4751,0.4751,-0.7739
-0.4984,-3.1555,-3.1555,-1.2363
-0.4825,-2.8004,-2.8004,-0.706
0.4046,-2.4684,-2.4684,-1.0082
-1.6122,-3.813,-3.813,-0.6725
-1.8413,-4.2119,-4.2119,-1.3326
1.2385,-1.9083,-1.9083,-1.6317
-0.3147,-4.3458,-4.3458,-0.9207
-0.8007,-2.9684,-2.9684,-1.2006
-2.3287,-2.6781,-2.6781,-1.777
1.1761,-2.747,-2.747,-2.0983
0.9517,-0.1807,-0.1807,-0.3187
-1.0173,-3.1656,-3.1656,-1.0158
-0.9312,-2.2358,-2.2358,-0.7464
-2.4769,-3.6373,-3.6373,-0.5893
0.6592,-1.9271,-1.9271,-0.9529
-0.4101,-2.2788,-2.2788,-0.8501
-1.4754,-3.1928,-3.1928,-1.6719
-0.4105,-2.4557,-2.4557,0.118
0.2785,-1.702,-1.702,-0.7198
-0.5552,-2.9968,-2.9968,-0.9146
-1.9747,-3.9176,-3.9176,-0.9933
-1.702,-4.3535,-4.3535,-0.1954
-1.8048,-2.7437,-2.7437,-0.6917
-1.6605,-2.1031,-2.1031,-1.0008
-0.6373,-3.3314,-3.3314,-0.7028
-1.9148,-3.0408,-3.0408,-0.4494
-1.3949,-3.0866,-3.0866,-0.5919
4.0939,-0.9819,-0.9819,-0.615
-0.3278,-2.855,-2.855,-1.1486
-1.4432,-3.684,-3.684,-0.7466
-0.7567,-3.0087,-3.0087,0.7791
1.3882,0.5553,0.5553,-0.8411
-4.2569,-2.1348,-2.1348,-0.6827
-1.5081,-3.7039,-3.7039,-1.3748
-1.7862,-3.5439,-3.5439,0.4533
-0.964,-1.422,-1.422,-0.671
-1.1752,-3.6431,-3.6431,-1.0594
-1.2978,-2.8917,-2.8917,-1.0423
-1.9324,-3.0095,-3.0095,-0.5466
-1.5127,-2.3694,-2.3694,-0.7411
-1.4209,-3.6398,-3.6398,-1.4578
-1.0575,-3.129,-3.129,-1.9393
0.0031,-3.8231,-3.8231,-0.8214
-1.3451,-3.0166,-3.0166,-0.3985
-1.2099,-3.7306,-3.7306,-1.9151
0.1274,-4.4569,-4.4569,-1.447
-1.8631,-4.2976,-4.2976,-0.4798
-2.5827,-2.659,-2.659,-0.8142
-2.0663,-3.7335,-3.7335,-0.7831
1.3337,-0.086,-0.086,-0.9125
-0.3338,-2.6875,-2.6875,-0.3915
-0.715,-1.1857,-1.1857,-0.6026
-2.1799,-4.1356,-4.1356,-1.29
-1.1392,-2.9063,-2.9063,-1.7862
-0.2855,-2.8908,-2.8908,-1.5241
-1.6583,-3.3905,-3.3905,-0.4451
-1.4941,-2.7395,-2.7395,-0.4816
-0.2252,-2.4748,-2.4748,-0.5643
-1.3482,-2.5064,-2.5064,-1.4886
-0.4977,-3.0526,-3.0526,-1.3251
-1.8638,-1.7948,-1.7948,-1.0006
-1.5566,-2.3929,-2.3929,-0.8539
-0.6878,-3.1181,-3.1181,0.083
-1.2272,-3.8358,-3.8358,-1.4161
-1.9658,-2.8481,-2.8481,0.4964
-0.3626,-3.3186,-3.3186,-1.9183
1.4926,-1.4255,-1.4255,-1.4151
-1.8443,-2.5676,-2.5676,-0.7503
-0.8238,-3.2156,-3.2156,-0.8518
-1.5288,-3.9276,-3.9276,-0.8125
0.3942,-3.6313,-3.6313,-1.0074
-1.3512,-3.1045,-3.1045,-0.9479
-1.6891,-3.7474,-3.7474,-1.3402
-0.4665,-3.3013,-3.3013,0.3178
-1.2196,-3.3453,-3.3453,-1.4897
