alpha,maxiter,tol,Training Accuracy,Testing Accuracy,Runs 
0.1,10000,0.0001,99.34,98.7,1
0.09,10000,0.0001,99.65,100,2
0.07,10000,0.0001,99.34,100,3
0.05,10000,0.0001,99.65,100,4
0.04,10000,0.0001,99.65,100,5
0.005,10000,0.0001,99.65,100,6
0.01,10000,0.02,99.65,100,7
0.08,10000,0.02,99.65,100,8
0.000999,100,0.02,99.65,100,9
0.022,10,0.1,99.65,100,10
