,P07585,P16234,P52823,Q9P0M4,Q9Y653,Class Label
99,-1.3739,-1.3024,-1.4589,-0.512,-1.7349,0
100,-2.6817,-2.1198,-0.3609,-2.1554,-2.2859,0
101,-2.2348,-1.6415,0.5546,-2.3054,0.3621,0
102,0.4861,-0.6552,0.1653,0.8313,-1.3527,0
103,-1.8613,-2.2218,-0.7821,-2.2072,-1.9461,0
104,-2.1993,-1.5694,-0.9329,0.7769,-0.8245,0
105,-0.0552,-0.7316,2.1297,-0.2815,1.4189,0
106,-1.7509,-0.7873,-1.0505,-0.5876,-1.4822,0
107,-2.1304,-1.2227,-0.2217,-1.7325,0.0998,0
108,-1.6582,-1.9096,0.6958,-1.0932,-1.7773,0
109,0.3221,0.0375,0.6811,-0.5652,-1.1602,0
110,-0.6004,0.0185,2.0014,0.7413,1.5435,0
111,-0.8618,-1.4823,1.4576,0.7208,-1.082,0
112,-2.9414,-1.6583,-1.804,-1.0618,-1.9367,0
113,-2.8723,-2.3055,-1.7127,-2.4447,-2.9843,0
114,-1.837,-1.4412,0.6774,-1.7065,-1.2682,0
115,-1.9253,-1.968,-1.7967,-1.8553,-1.8654,0
116,-2.63,-1.9325,1.0365,0.5255,-2.1145,0
117,-0.8138,-0.9265,3.4017,-0.7978,-0.8081,0
118,-1.6267,-1.9851,-0.7445,-0.7296,-2.3782,0
119,-2.3106,-1.643,0.7478,-2.9989,-0.3071,0
120,-2.2741,-1.7091,-0.2564,-0.4172,-2.9649,0
121,-1.1197,-1.5566,1.3,-1.2921,-1.3614,0
122,-1.4918,-1.0912,0.17,-1.3394,-1.2085,0
123,-2.5238,-1.8255,-1.0352,-1.658,-1.8712,0
124,-2.846,-2.2332,-1.4025,-1.2323,-2.5156,0
125,-2.1265,-1.7717,-1.1631,-2.0573,-2.8773,0
126,-2.4381,-1.728,-0.9513,-1.8112,-2.5561,0
127,-1.4608,-0.6306,-1.3903,1.7847,0.6602,0
128,-1.5597,-1.2779,-1.1692,-0.6618,-0.808,0
129,-1.8778,-2.2777,-0.4291,-1.4687,-0.4982,0
130,-2.0153,-2.0507,-0.7564,-1.5801,-2.4524,0
131,-2.4304,-1.6418,-1.2611,-2.0675,-1.8188,0
132,-1.7876,-1.2279,-0.9416,-0.8471,-2.1033,0
133,-2.5337,-1.8184,-0.7125,-0.5944,-2.7871,0
134,-0.5874,-0.947,-0.1712,-0.0148,-1.5997,0
135,-2.5751,-1.5178,-1.5003,-1.8398,-1.9098,0
136,-0.3091,-0.7692,0.3492,-0.2111,-1.9713,0
137,-1.7715,-1.5772,-0.6509,-2.3952,-1.5628,0
138,-2.3147,-1.6388,-0.4239,-0.5944,-1.9828,0
139,-1.5712,-0.1482,1.3575,-0.5187,-0.9276,0
140,-1.3509,-0.9779,-0.0131,-1.2544,0.2433,0
141,-2.516,-1.4867,-0.0099,-1.8653,1.2048,0
142,-1.9925,-1.7895,-1.7851,-0.1981,-0.541,0
143,-1.6613,-2.1829,0.0314,-1.3207,0.6908,0
144,-2.3295,-1.7645,-0.255,-1.527,-3.0034,0
145,-2.6326,-2.0502,-1.9478,-1.5402,-2.1812,0
146,-1.4787,-1.3265,-1.6679,-0.485,-2.2439,0
147,0.0695,-0.9191,1.318,-0.2762,-0.7827,0
148,-2.3699,-1.7025,-1.1522,-1.4462,-2.2104,0
149,-1.8577,-0.3905,0.3641,0.2532,-1.7909,0
150,-1.9532,-1.1953,-0.3514,-0.9118,-1.2681,0
151,-0.669,-1.229,0.7223,-0.811,-1.3793,0
152,-1.092,-1.1483,-1.5576,-0.1813,0.3543,0
153,-2.0517,-1.2772,-0.267,-0.6135,-2.0356,0
154,-1.5094,-1.471,0.0193,1.0575,-1.5471,0
155,-0.9394,-1.0335,-0.1852,2.0231,-0.4382,0
156,-1.7521,-1.9715,-0.9663,0.5012,-2.6875,0
157,-1.8609,-1.8743,-1.454,-1.6742,-2.5658,0
158,-2.3166,-0.7369,-0.11,-1.7238,-1.5178,0
159,-2.099,-1.9858,-1.4457,-0.7574,-2.0995,0
160,-1.8572,-1.2734,-1.3317,-1.0539,-0.5812,0
161,-1.1228,-1.4322,0.219,-1.4037,-1.0736,0
162,-2.3092,-1.6606,-0.2436,-1.1485,-1.1277,0
163,-1.4238,-1.6593,0.2762,-0.88,-1.2768,0
164,-0.8507,-0.1884,0.7929,3.2687,-1.0221,0
165,-2.3141,-1.5167,-0.4878,-0.9218,-0.1332,0
166,-2.7922,-2.422,-0.7631,0.1259,-2.8915,0
167,-1.4352,-1.1506,-0.3454,-0.952,-1.6403,0
168,-0.1576,-0.4939,0.4995,-0.2108,-1.3377,0
169,-1.7088,-0.6798,-1.9503,-0.1954,-1.6234,0
170,-2.0838,-1.8327,-0.5933,-1.4475,-2.1736,0
171,-1.9283,-1.6455,-1.5028,0.4157,-2.136,0
172,-1.1189,-1.389,-1.2046,0.5215,-0.5386,0
173,-1.6933,-2.2795,-1.148,-1.303,-1.9681,0
174,-2.0422,-1.9585,-2.1511,-0.9682,-2.2727,0
175,-2.6541,-1.9512,-0.9016,-2.3872,-2.3874,0
176,-1.9012,-1.5335,-1.1411,-1.5061,-1.4977,0
177,-1.8917,-1.966,-0.405,-1.3533,-1.8507,0
178,-1.5273,-1.4401,0.3342,0.9099,-0.8346,0
179,-2.6815,-1.4715,-0.9135,-1.5784,-2.6046,0
180,-1.8269,-1.4843,-1.0748,-0.8715,-2.4204,0
181,-2.162,-1.2021,-0.5575,-1.7198,-1.7619,0
182,-1.4998,-0.9162,-0.3619,-2.1263,-1.4687,0
183,-2.689,-1.865,-0.268,-0.8919,-2.0024,0
184,-0.981,-1.5571,-1.4513,-1.7224,-2.5932,0
185,-1.9764,-0.9651,1.4992,0.9227,0.2318,0
186,0.3794,-0.3142,2.4421,2.8034,-1.1193,0
187,-1.161,-1.1892,-0.3654,-1.1919,-2.1545,0
188,-0.61,0.191,1.3189,-0.2053,0.0054,0
189,-2.0074,-1.689,-1.3178,-1.961,-2.1215,0
190,-1.6852,-1.3105,-0.4685,0.0944,-1.9788,0
191,-1.9847,-1.5776,-0.5552,-2.3472,-1.1604,0
192,-2.5552,-1.2759,-1.2434,-0.4336,-2.2373,0
193,-0.9791,-1.6225,-0.1226,-0.1493,-1.0166,0
194,-2.1885,-1.2751,-0.061,0.0749,-1.5974,0
195,-0.7779,-1.347,-0.4417,1.0072,-0.0822,0
196,-2.2819,-1.934,-1.4646,-0.7116,-1.3129,0
197,-1.7354,-0.5814,-0.3718,-0.6987,-1.8599,0
198,-2.3053,-1.1756,-0.7689,-1.1718,-2.0619,0
199,-1.9267,-2.0861,-0.5585,-1.1687,-3.3895,0
200,-2.4416,-1.7077,-1.4197,-1.7661,-1.5023,0
201,-1.9225,-1.119,-1.039,-0.9532,-2.1389,0
202,-1.8646,-1.4137,-0.0838,-1.9706,-2.4532,0
203,-0.6369,-0.1019,-0.9221,1.1923,-2.691,0
204,-1.2349,-1.2436,-0.2801,-0.5128,1.3561,0
205,-1.7602,-0.7931,0.6007,-1.3018,-1.7102,0
206,-1.9677,-1.5897,-0.8075,-0.6518,-0.2482,0
207,-0.3699,-0.6907,0.8774,0.146,1.3828,0
208,-1.3826,-1.1707,-0.2362,-1.8198,-1.6762,0
209,-2.5529,-1.2595,-1.1716,-1.6364,-1.9502,0
210,-1.3865,-1.3587,0.1072,-1.1047,-1.3141,0
211,-1.2478,-1.4362,1.1996,-1.5249,-2.0374,0
212,-1.4662,-1.0692,0.5521,-0.2048,-1.5841,0
213,0.0562,-0.7957,-0.3198,1.0674,-1.8495,0
214,-3.117,-2.1619,-0.9474,-1.8769,-2.3257,0
215,-1.9958,-1.6358,-1.2171,-1.7206,-2.1518,0
216,-2.2149,-1.8185,-0.6925,-2.3948,-1.8051,0
217,-1.9175,-1.4353,-1.0519,-0.0627,-1.6532,0
218,-2.656,-2.2658,-1.4796,-1.3403,-3.0713,0
