Q9Y653,Q9P0M4,P07585,P16234,P52823,P14136,P08833,P55259,O60635,P19429,Class Label
-0.9199,-0.9284,-1.7004,-1.255,-1.2688,-0.1819,-0.9322,0.7611,-0.5546,-3.5048,0
-1.5679,-1.5299,-2.275,-1.8692,0.0791,-0.8314,-1.9092,-0.804,-0.8264,-3.8091,0
-1.9356,-1.9186,-0.8034,-1.2705,-0.1659,0.2124,-2.2348,1.6618,-0.4053,1.0175,0
-2.3302,-0.909,-1.6928,-2.1785,-1.5571,-0.7276,-2.2783,0.6538,-0.1656,-3.2377,0
-1.4815,-1.5282,-1.3366,-1.2426,-1.2983,-1.0886,-0.0391,-1.035,0.0985,-2.9179,0
-0.666,0.452,0.3118,-0.0933,2.725,0.3109,1.6913,1.9989,2.5832,0.3368,0
-1.3697,-2.1372,-2.3467,-1.9159,-0.2255,-0.8605,-1.5824,-1.4486,-0.439,-2.4148,0
-0.0376,-0.095,-1.7507,-0.9587,-1.1252,0.0784,-1.8141,-1.5968,-0.6015,-2.2551,0
-2.1102,-0.2284,-1.7746,-1.6386,-0.1943,-2.0368,-3.6446,0.8123,-0.4727,-2.132,0
-2.4452,-0.6727,-1.7643,-1.9488,-0.6939,-1.6885,-3.1896,-0.9905,-0.1342,-3.2733,0
-2.4727,0.1474,-1.8898,-1.5345,-0.3747,-0.4354,-0.7969,-1.2203,-0.7449,-3.3902,0
1.5284,-0.8709,-1.3589,0.0619,1.1762,0.0086,1.7304,-0.0762,-0.6592,-2.5673,0
-1.28,-2.0206,-2.039,-1.6566,-0.5926,-0.2354,0.1968,2.7181,1.3307,-0.811,0
-1.2362,-1.6124,-0.8861,-1.0235,1.1418,-0.4347,-1.4535,-0.1737,-0.4372,-2.6305,0
-1.3727,-0.4176,-1.1561,-1.1731,-0.3912,-0.8332,-1.4303,-0.6017,-0.5534,-0.0568,0
-1.4503,0.9284,-1.567,-1.1233,0.2014,0.9013,-0.4202,-0.3556,-0.7799,-2.608,0
-1.4376,-0.0481,-2.6332,-1.573,-0.8741,-0.4319,-1.6966,-0.2372,-0.165,-2.6335,0
-0.9607,-0.7045,-2.0581,-1.2259,-0.322,-0.6106,0.3122,-1.7346,-0.5012,-2.1697,0
0.7917,-0.4167,-0.9147,-1.0468,3.0223,-1.9582,4.6327,1.8237,-0.1674,-0.8629,0
-2.683,0.2613,-2.2792,-1.8621,-1.595,-1.5802,-1.5511,-0.9601,-0.843,-2.8918,0
-0.9196,-1.8177,-2.0816,-2.1643,-1.3351,-0.622,-0.7355,-0.0516,0.329,-2.4601,0
-0.8382,-0.7994,-1.4421,-1.9117,-1.146,-0.6082,-2.5369,-1.9024,-0.5403,-3.1402,0
-1.3867,-0.1961,-1.9859,-1.281,0.7578,-0.4913,1.0442,-1.5352,-0.3982,-2.5737,0
-0.3358,-1.8355,-1.7059,-0.4133,-0.4037,-1.5474,2.1096,-0.5491,0.1711,-2.6754,0
-0.8892,-0.522,-1.006,-0.0177,-0.292,0.0641,2.0131,0.782,-0.4079,-1.5382,0
-1.4814,0.6449,-1.144,-1.8358,0.9662,1.1843,1.0716,1.5133,-0.4426,-2.2259,0
0.3014,0.9179,1.4063,0.2823,2.6497,3.2035,0.6475,2.1509,-0.2002,0.2696,0
-1.6773,-1.1212,-1.5039,-2.0648,-0.2982,-0.5045,-3.7066,-1.1021,-0.639,-2.6306,0
-0.0211,-0.3957,-0.2906,-1.2421,0.5266,-0.3588,0.1372,1.2085,6.8982,-1.6081,0
-1.6413,-1.6236,-0.7283,-0.2906,-0.2943,-0.3863,0.1426,-0.939,-0.4767,-2.2416,0
-2.59,-1.3773,-2.5549,-1.8042,-1.1821,-0.9641,-1.0768,-0.8217,-0.6979,-3.3289,0
-2.5395,-0.7971,-2.5791,-2.1215,-2.4139,-1.3532,-0.919,-2.3699,-0.5469,-4.3396,0
-1.2562,-0.4166,-1.4613,-0.8129,-1.4115,-0.1035,-0.1671,-0.9989,-0.1739,-2.1758,0
-0.9806,-0.9749,-1.2353,-1.4901,0.3554,0.4032,1.4541,0.2681,-0.2912,-1.306,0
-1.8882,-0.9649,-2.2763,-1.5867,-0.577,-1.0501,-0.9862,-0.7369,-0.6262,-3.3393,0
-2.182,-0.6773,-2.0107,-1.5041,-1.1682,-0.1924,-0.3525,-0.1907,-0.3858,-2.6623,0
-1.8288,-1.8825,-1.3693,-1.0019,-0.8643,0.2597,1.0082,-0.7132,-0.4084,-2.8587,0
-2.1164,-1.0684,-1.7936,-1.9424,0.2154,-1.1815,-1.2352,-0.6754,-0.6894,-1.7306,0
-1.6649,-1.0475,-0.0057,-1.3572,0.2312,-0.3481,-2.9999,0.1305,-0.5712,-3.2044,0
-1.0788,-1.2686,-1.169,-1.3006,0.2213,-0.6504,-1.4135,0.0172,-0.3759,-1.1579,0
0.641,5.2428,-1.3396,-1.046,1.017,-1.582,0.6179,-1.2349,-0.5167,-2.6518,0
-2.9659,-0.9808,-2.574,-1.7686,-1.4633,-1.565,1.1059,-2.631,-0.3792,-3.5773,0
-2.042,-1.2762,-2.0258,-1.3196,1.3804,-0.5791,2.7295,-0.429,0.8684,-1.8981,0
-0.623,1.027,-1.2329,-1.5383,-0.5443,0.1148,-0.1535,-0.2656,-0.3458,-2.4504,0
-1.2257,-1.8045,-1.9165,-1.4195,-0.4043,-0.4094,-1.6841,-0.6307,-0.3347,-2.4063,0
0.2556,-1.9705,-1.5952,-2.0824,-1.1523,-0.9785,-1.6818,-2.1068,-0.5445,-2.4279,0
-1.9615,-0.9486,-1.7317,-1.5757,0.1105,-1.7963,-3.1369,-1.9259,-0.4362,-3.0093,0
-1.8903,-1.1831,-2.3186,-1.4745,-1.0771,-1.2423,-2.5137,-1.6704,-0.5202,-3.3701,0
-1.5284,-0.7536,-1.5423,-1.4738,-0.9144,-0.9795,-0.6022,3.0019,-0.2841,-2.5622,0
-1.0064,-2.2363,-1.8901,-1.2575,0.4446,-0.2105,-1.3096,-1.4289,-0.42,-2.4805,0
0.9456,-1.3892,-1.0279,-1.293,0.4536,-0.7096,-0.3796,-2.297,-0.7117,-3.0319,0
1.9186,-0.9124,1.0033,-0.2349,0.1676,0.4527,0.3608,0.9806,0.0733,-1.8301,0
-0.7999,1.6805,-1.7306,-1.3749,-0.0779,-0.8989,-1.9883,-1.372,-0.6361,-3.2899,0
-1.6067,-1.8455,-2.3781,-1.185,-1.1465,-0.9824,-1.4758,-2.0804,-0.4396,-2.4011,0
-1.7769,-1.8469,-2.1795,-1.351,-1.3392,0.2623,1.1584,-0.7965,-0.8635,-1.2063,0
0.0735,-1.2494,-1.6297,-0.5164,-1.0559,0.1511,-0.2403,-1.8628,-0.5786,-2.632,0
-1.4617,-0.7069,-1.9653,-1.4051,-0.532,-1.3855,-1.1685,-1.6582,-0.6472,-3.8421,0
-1.9708,-1.5811,-2.4097,-1.5304,-1.0062,-1.3203,-2.6678,-2.4216,-0.676,-2.6639,0
-2.5807,-1.152,-2.0246,-1.5382,-0.538,-0.7904,2.649,-0.4733,-0.3121,4.1672,0
-1.3954,-2.0257,-1.6006,-1.3011,-0.0854,-0.0877,0.5349,-1.2557,-0.4578,-2.5152,0
-1.7137,-0.96,-1.9713,-1.5784,-0.3551,-1.3465,-2.5961,-0.5979,-0.4138,-2.8877,0
-2.2534,0.77,-1.5704,-1.2246,-0.9493,-0.9906,-0.9933,-1.6455,-0.6892,-3.3497,0
-1.9853,-1.7072,-2.2105,-1.653,-1.0269,-0.3812,-2.3903,-0.8771,-0.3626,-3.8112,0
-2.2718,-2.1149,-2.2615,-1.8713,-1.4356,-1.6829,-2.0067,-1.5593,-0.5965,-2.6256,0
-0.2377,1.4212,-0.9263,-0.7195,-0.251,0.0326,0.4409,-0.91,1.3244,-1.8268,0
-1.2168,-1.2606,-0.4382,-0.3604,0.7121,-0.6654,0.2596,0.2987,-0.5311,-0.8565,0
-2.0489,-0.095,-1.9182,-1.2869,-1.4749,0.5595,-0.7251,0.2963,0.1849,-2.8973,0
-2.3928,-0.7367,-2.253,-1.4283,-1.2059,-0.8873,-4.2119,-0.8368,-0.5367,-4.0949,0
-0.1327,-0.6777,-1.8455,-1.0356,-0.3943,0.035,-0.7938,-0.9185,-0.2992,-2.9733,0
-1.3289,-1.728,-1.6698,-1.3658,-0.7358,-0.2783,-1.6961,-0.3089,0.2499,-4.2842,1
-1.5457,-1.293,-1.7183,-1.2928,0.2492,-0.8727,0.916,-0.7648,1.0006,-2.797,1
0.7337,1.0042,-1.3357,-0.6603,0.6477,-0.5701,0.6942,1.7489,1.2467,0.7359,1
-1.1411,4.271,-0.2333,-0.5264,0.0309,1.0051,2.0861,-0.7026,-0.612,-0.6645,1
1.2965,1.0018,-0.3897,-0.9107,-0.0671,-0.6312,2.0738,1.4209,5.2078,-1.901,1
0.1129,-0.7777,-1.8491,-1.2467,-0.3764,-0.6438,1.2613,-0.317,-0.6776,-2.6234,1
0.1339,-0.3823,-2.0934,-1.5926,0.2633,-0.7275,2.2664,-0.4432,-0.4551,0.783,1
-1.0914,0.8902,0.4121,-0.824,-0.4539,0.7766,0.4305,0.2356,-0.5284,-2.386,1
-0.4369,0.8112,-1.328,0.0431,1.07,1.437,2.8875,5.1099,-0.5389,-1.4657,1
0.6329,2.0805,0.0911,1.8799,0.0009,0.0446,0.2866,5.6295,-0.4093,0.1264,1
0.0035,2.8119,0.8285,1.1901,2.9389,0.3775,4.7982,0.5655,0.5287,2.1857,1
-0.241,-0.834,-0.9168,-0.2872,1.6184,-0.5245,3.4583,-1.8982,-0.4966,-3.2553,1
0.4174,3.6428,-1.4345,-1.0755,1.6595,-0.1688,1.6857,0.5176,-0.3011,-0.7654,1
0.1196,2.9789,-0.6767,-0.7349,0.9809,0.0769,2.1824,2.4893,0.5863,-1.2514,1
-0.6587,-1.8018,-1.3301,-1.7367,0.5496,-0.4493,2.0307,1.2624,-0.5093,-1.9053,1
0.1842,1.7462,0.2764,-0.4923,0.1294,-0.8922,1.1066,1.2068,0.129,-2.4714,1
2.7754,-0.161,0.751,1.9734,2.794,0.2367,2.1862,5.5642,-0.684,-0.822,1
0.2672,0.9467,-1.154,0.2125,0.5661,-1.3886,0.4747,3.1341,-0.1071,-0.7738,1
0.1722,-1.2963,-1.9434,-1.7744,-0.1993,-1.0272,0.6221,0.7016,1.5411,-2.2922,1
-0.0193,-1.032,-1.7186,-1.2151,1.1592,8.782,0.6362,-0.4189,-0.3054,-1.2535,1
1.1661,2.9356,-0.2639,-0.3832,4.3898,0.7103,2.7828,-0.7026,-0.5514,-0.104,1
-0.0923,-1.472,-0.2643,-1.2235,-0.2343,0.546,-0.2657,0.0355,-0.2398,-0.6489,1
-0.6469,0.6027,0.2798,0.0035,1.2751,1.2795,3.1437,0.4695,-0.4926,0.0519,1
0.5213,-0.9271,-2.1492,-1.4731,-0.4534,-0.9873,-1.7484,3.5062,-0.3746,-2.6826,1
-1.0597,1.324,-0.8433,-0.2074,-1.3455,0.405,3.5139,2.7313,1.6089,-1.6508,1
0.4132,0.8627,-0.0499,-0.7662,-0.5249,0.232,1.1069,-0.9876,-0.4779,-0.7977,1
-1.0091,0.7799,-1.8284,-1.2971,-0.7768,-0.7687,-0.4777,-1.7154,-0.1355,-2.1674,1
0.1431,3.7128,0.1748,-0.4985,3.0761,0.1786,3.1388,1.5323,-0.2589,-0.4623,1
-0.7045,2.2019,0.0934,-1.0352,3.8266,-0.1316,2.5116,-0.6327,-0.3704,-1.2957,1
-0.0404,0.4751,-0.5505,-0.805,0.2057,0.406,1.0497,-0.1362,-0.3265,-3.2083,1
1.4798,1.7791,0.3543,-0.2737,2.7772,0.2414,2.4033,-1.385,-0.7934,-1.0902,1
0.6061,0.4361,0.384,0.3562,3.3672,0.7328,2.793,2.5554,-0.4078,5.4988,1
0.6181,-1.9502,-2.4301,-1.7962,-0.8906,-1.9605,-2.773,-1.8216,-0.6952,-1.8411,1
-0.5389,1.7063,0.6448,0.4592,0.1199,1.3702,2.0194,1.6056,4.4864,0.2292,1
-0.6206,-1.4101,-1.1097,-1.2515,1.8152,-0.4265,-1.8295,0.8893,4.0726,-2.2021,1
0.2267,-1.2618,-1.2406,-0.9465,0.238,-0.5282,-1.0306,-0.3508,-0.3644,-3.9365,1
0.7177,0.0351,-0.3377,-1.1368,0.4851,-0.6059,-1.9354,0.7852,0.2041,-1.122,1
1.0332,3.31,0.839,-0.2291,1.1093,3.8622,0.6115,2.1214,-0.1947,-0.2847,1
1.2588,0.3844,-0.7789,-0.5488,0.8657,0.6561,-1.2372,-0.7243,-0.4507,-2.7011,1
1.8874,1.1664,0.0824,-0.3291,2.3867,-0.4734,2.1331,0.9885,0.3672,1.4611,1
-2.4301,-0.7645,-1.6721,-1.5509,-0.8692,-0.1533,0.126,0.1633,1.7721,-1.8811,1
1.2652,0.584,-0.5414,-0.8855,1.5468,-1.5574,0.722,-0.648,-0.5824,-2.1349,1
-0.6997,-0.0589,-0.6373,-1.4417,1.2397,1.0758,2.1902,0.5175,1.0917,-1.7921,1
-0.7984,1.0035,0.3649,-0.1488,1.7518,0.8472,2.8681,-0.1014,0.0548,2.0131,1
