Q9Y653,Q9P0M4,P07585,P16234,P52823,P14136,P08833,P55259,O60635,P19429,Class Label
-1.9468,-0.6921,-2.6332,-1.4112,-0.4169,-1.2179,-2.8834,-1.9592,-0.4333,-2.4258,0
-0.226,-1.114,-1.2633,-1.3242,-0.0883,-1.362,0.237,-1.6505,-0.6557,-2.9232,0
-2.0838,-2.0408,-2.4329,-1.5166,0.3499,-2.7838,-0.3768,-1.927,-0.564,-1.6874,0
-0.858,-1.7687,-0.6498,-0.9113,-0.7558,-0.4179,0.0675,-1.5545,-0.1772,-2.7002,0
2.2999,-0.9122,-0.2032,0.737,0.0552,0.0387,1.675,0.7749,0.4,-2.5782,0
-2.4561,-1.6394,-2.0416,-1.7452,0.2167,-1.8472,-3.3921,-1.6006,-0.2928,-1.5645,0
0.8109,-1.3007,-1.4352,-0.3345,-0.9835,0.1802,1.0439,1.675,1.8752,-2.9974,0
-1.7414,2.9217,-1.4506,-1.1556,2.7774,-0.1005,2.7252,1.1285,-0.2113,1.0424,0
1.3266,0.7957,0.3713,0.7303,3.9282,-0.3137,3.2163,2.351,-0.4791,3.5251,0
-2.8154,-2.1539,-2.5472,-1.6033,-1.1544,-1.7203,-4.3444,-2.6218,-0.6029,-3.0012,0
-2.605,-1.2131,-1.6951,-1.3276,-0.4205,-1.3854,0.8977,-2.2016,-0.4076,-3.2176,0
-1.104,0.3532,-0.6268,-0.2325,-0.7384,0.0781,1.8729,-0.4059,-0.5948,-3.0562,0
-1.5809,-1.3861,-2.0779,-1.6777,-0.1573,-1.0524,-3.388,-0.7528,-0.4875,-2.811,0
0.3121,0.4902,-1.4941,-1.2828,0.0823,-0.5254,0.1494,0.3622,0.0234,-2.9058,0
0.7486,-0.2266,-0.6235,-1.1432,-0.5943,-0.4961,-2.1855,-1.0927,-0.6028,-2.7993,0
-1.6696,-1.2975,-1.1919,-1.2113,-0.9776,-0.6388,-2.6334,-1.1528,-0.786,-3.2474,0
-2.6205,-1.8218,-3.0606,-2.0111,-1.1599,-1.0101,-2.8681,-1.157,-0.6401,-3.6926,0
-1.7694,-1.3702,-1.4969,-1.6434,0.0122,-0.3561,-0.3824,-1.937,-0.8684,-2.042,0
-1.9175,-1.3028,-2.3959,-1.7827,-0.5076,-1.2902,-1.1542,-0.7198,-0.4407,-4.345,0
-1.97,4.0249,-1.1835,-0.1326,-0.3147,-0.0832,1.8237,-1.1202,-0.1209,-0.5783,0
-2.4189,-0.2959,-1.7623,-1.202,-1.0787,-0.4616,2.1454,-0.3242,-0.6282,-1.2869,0
0.3341,-2.5424,-2.342,-1.6907,-0.6347,-0.4113,-1.1161,-1.8526,-0.1697,-3.3551,0
-1.1394,-1.1136,-1.8198,-1.5015,-0.3686,-1.4011,-3.8335,-1.1488,-0.4743,-3.256,0
-2.3592,-1.3096,-1.9491,-1.1431,-1.8331,-0.4923,-0.4508,-0.4259,-0.5708,-3.3038,0
-2.6135,-0.7157,-2.7689,-2.0204,-0.7274,-0.8054,-2.6048,-1.6921,-0.8541,-3.1917,0
-2.4789,-0.1074,-1.8284,-1.4461,-1.1365,0.3222,-3.6024,-0.9087,-0.3723,-3.4418,0
-2.9338,-2.6879,-2.9238,-1.9794,-1.4744,-0.7544,-5.3324,-1.4625,0.7526,-2.8613,0
-2.9716,-1.7386,-2.551,-2.2023,-1.6333,-1.936,-5.5291,-2.1725,-0.4459,-2.996,0
-2.3585,-1.6502,-2.4863,-1.5903,-0.6591,-1.0567,-1.4823,-1.7372,-0.5083,-3.2187,0
-2.1645,-0.4439,-1.4757,-1.1058,-1.6729,-1.0576,-1.9163,-1.4973,-0.4247,-2.7579,0
-1.0725,-2.0396,-1.9408,-1.5097,-1.0947,-1.8891,-2.879,-1.1809,-0.3622,-3.5013,0
-1.5833,0.1633,-1.9922,-0.8782,0.1668,-0.027,0.4074,-1.193,-0.6937,-0.095,0
-1.8386,-1.7744,-2.1515,-1.8027,-0.6976,-0.8246,-1.8421,-1.1612,-0.6603,-3.4078,0
-2.3192,-1.9024,-2.52,-1.7687,-0.3422,-1.7785,-2.1369,-2.6236,-0.3779,-3.1707,0
1.5214,0.7143,-1.0087,-1.1603,1.0257,-0.2792,-1.5194,-1.5479,-0.5437,-3.1448,0
0.1883,-0.6177,-0.1649,0.3529,0.1461,0.574,1.2334,0.8129,-0.5898,-1.24,0
-0.6337,-1.0246,-1.7197,-1.2672,0.3137,-0.1049,-2.3467,-0.9652,-0.3776,-2.9421,0
-2.5561,-1.9363,-1.4224,-1.5261,0.3645,-0.9097,-1.72,0.2274,-0.657,-3.87,0
-1.9369,-0.0127,-1.8327,-1.3937,-1.036,-1.2689,-4.5166,-1.4651,-0.2442,-2.0607,0
-3.2921,-1.4633,-1.8003,-1.0862,0.4893,-0.2169,-1.1406,-1.6979,-0.5154,-3.2655,0
-0.5657,-0.9805,-2.1074,-1.5102,0.1502,-2.0712,-2.6211,-1.0726,-0.7773,-2.337,0
-0.7076,0.4292,-1.5818,-1.5825,-0.5179,0.6278,-0.3576,-0.3596,-0.3706,-4.5936,0
-1.2862,-0.4389,-0.9892,-1.6142,-0.5851,-1.1401,-5.2188,-0.9488,-0.287,-2.2265,0
-1.8982,-0.5904,-1.6149,-1.8883,-0.6124,-0.6186,-1.5295,-1.1895,0.1917,-2.7122,0
-1.6619,0.6014,-1.7112,-1.6817,0.7495,0.2371,1.1031,0.0557,-0.3884,2.013,0
-2.0069,-1.4588,-1.8736,-1.3927,-0.4422,-1.3902,-1.3299,-2.3166,-0.576,-3.4108,0
-1.7349,-0.512,-1.3739,-1.3024,-1.4589,-0.5134,1.4413,-1.3916,-0.346,-2.7855,0
-2.2859,-2.1554,-2.6817,-2.1198,-0.3609,-1.142,-1.9633,-2.2701,-0.6044,-4.0833,0
0.3621,-2.3054,-2.2348,-1.6415,0.5546,-0.9724,-1.0756,-1.3697,0.0089,-2.7957,0
-1.3527,0.8313,0.4861,-0.6552,0.1653,0.0474,-0.2303,1.7113,-0.5795,-3.3542,0
-1.9461,-2.2072,-1.8613,-2.2218,-0.7821,-1.193,-2.814,-0.3853,-0.19,-3.3983,0
-0.8245,0.7769,-2.1993,-1.5694,-0.9329,-1.2052,-1.4177,-2.4762,-0.6829,-2.617,0
1.4189,-0.2815,-0.0552,-0.7316,2.1297,-0.8051,2.0013,3.1662,1.2687,-1.717,0
-1.4822,-0.5876,-1.7509,-0.7873,-1.0505,-0.2829,1.9083,-2.2311,-0.8096,-3.3083,0
0.0998,-1.7325,-2.1304,-1.2227,-0.2217,-1.9735,-1.6704,-0.2163,0.309,-2.9514,0
-1.7773,-1.0932,-1.6582,-1.9096,0.6958,-1.3388,-3.8141,-2.1744,-0.2616,-3.0386,0
-1.1602,-0.5652,0.3221,0.0375,0.6811,0.3344,0.9418,0.7363,-0.5937,-1.2448,0
1.5435,0.7413,-0.6004,0.0185,2.0014,-0.8892,2.4703,0.1505,-0.5728,-3.3259,0
